Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,4,1,Mia,4,1,Mia,4,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Sofia,3,2,Sofia,3,2,Sofia,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Maria,3,2,Maria,3,2,Maria,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Anina,3,2,Anina,3,2,Anina,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Emilia,2,5,Emilia,2,5,Emilia,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Mila,2,5,Mila,2,5,Mila,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Lia,2,5,Lia,2,5,Lia,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Elina,2,5,Elina,2,5,Elina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Nina,2,5,Nina,2,5,Nina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Ella,2,5,Ella,2,5,Ella,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Aria,2,5,Aria,2,5,Aria,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Lou,2,5,Lou,2,5,Lou,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Sienna,2,5,Sienna,2,5,Sienna,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Gianna,2,5,Gianna,2,5,Gianna,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Marina,2,5,Marina,2,5,Marina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Maila,2,5,Maila,2,5,Maila,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
5,Rahel,2,5,Rahel,2,5,Rahel,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Lina,1,18,Lina,1,18,Lina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Nora,1,18,Nora,1,18,Nora,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Lea,1,18,Lea,1,18,Lea,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Alina,1,18,Alina,1,18,Alina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Malea,1,18,Malea,1,18,Malea,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Amelia,1,18,Amelia,1,18,Amelia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Anna,1,18,Anna,1,18,Anna,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Chiara,1,18,Chiara,1,18,Chiara,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Yara,1,18,Yara,1,18,Yara,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Lena,1,18,Lena,1,18,Lena,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Giulia,1,18,Giulia,1,18,Giulia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Luana,1,18,Luana,1,18,Luana,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Valentina,1,18,Valentina,1,18,Valentina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Malia,1,18,Malia,1,18,Malia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Juna,1,18,Juna,1,18,Juna,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Livia,1,18,Livia,1,18,Livia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Emily,1,18,Emily,1,18,Emily,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Mara,1,18,Mara,1,18,Mara,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Hana,1,18,Hana,1,18,Hana,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Noemi,1,18,Noemi,1,18,Noemi,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Diana,1,18,Diana,1,18,Diana,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Yuna,1,18,Yuna,1,18,Yuna,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Fiona,1,18,Fiona,1,18,Fiona,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Clara,1,18,Clara,1,18,Clara,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Lynn,1,18,Lynn,1,18,Lynn,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Ronja,1,18,Ronja,1,18,Ronja,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Amelie,1,18,Amelie,1,18,Amelie,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Amaya,1,18,Amaya,1,18,Amaya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Louise,1,18,Louise,1,18,Louise,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Charlotte,1,18,Charlotte,1,18,Charlotte,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Ellie,1,18,Ellie,1,18,Ellie,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Helena,1,18,Helena,1,18,Helena,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Alicia,1,18,Alicia,1,18,Alicia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Leana,1,18,Leana,1,18,Leana,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Iris,1,18,Iris,1,18,Iris,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Amalia,1,18,Amalia,1,18,Amalia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Anouk,1,18,Anouk,1,18,Anouk,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Liara,1,18,Liara,1,18,Liara,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Malou,1,18,Malou,1,18,Malou,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Eliana,1,18,Eliana,1,18,Eliana,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Leni,1,18,Leni,1,18,Leni,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Matilde,1,18,Matilde,1,18,Matilde,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Lilly,1,18,Lilly,1,18,Lilly,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Milena,1,18,Milena,1,18,Milena,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Amara,1,18,Amara,1,18,Amara,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Daria,1,18,Daria,1,18,Daria,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Freya,1,18,Freya,1,18,Freya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Sina,1,18,Sina,1,18,Sina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Camille,1,18,Camille,1,18,Camille,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Yael,1,18,Yael,1,18,Yael,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Aliya,1,18,Aliya,1,18,Aliya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Leandra,1,18,Leandra,1,18,Leandra,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Leya,1,18,Leya,1,18,Leya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Gaia,1,18,Gaia,1,18,Gaia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Mona,1,18,Mona,1,18,Mona,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Céline,1,18,Céline,1,18,Céline,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Léonie,1,18,Léonie,1,18,Léonie,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Chloe,1,18,Chloe,1,18,Chloe,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Grace,1,18,Grace,1,18,Grace,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Ilaria,1,18,Ilaria,1,18,Ilaria,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Anja,1,18,Anja,1,18,Anja,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Elif,1,18,Elif,1,18,Elif,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Naya,1,18,Naya,1,18,Naya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Rosa,1,18,Rosa,1,18,Rosa,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Vittoria,1,18,Vittoria,1,18,Vittoria,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Marta,1,18,Marta,1,18,Marta,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Carolina,1,18,Carolina,1,18,Carolina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Carlotta,1,18,Carlotta,1,18,Carlotta,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Lotta,1,18,Lotta,1,18,Lotta,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Alexandra,1,18,Alexandra,1,18,Alexandra,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Nerea,1,18,Nerea,1,18,Nerea,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Noémie,1,18,Noémie,1,18,Noémie,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Kim,1,18,Kim,1,18,Kim,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Timea,1,18,Timea,1,18,Timea,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Giorgia,1,18,Giorgia,1,18,Giorgia,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Dina,1,18,Dina,1,18,Dina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Zoya,1,18,Zoya,1,18,Zoya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Louane,1,18,Louane,1,18,Louane,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Valea,1,18,Valea,1,18,Valea,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Noelle,1,18,Noelle,1,18,Noelle,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Joya,1,18,Joya,1,18,Joya,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Jolina,1,18,Jolina,1,18,Jolina,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
18,Melanie,1,18,Melanie,1,18,Melanie,1,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
