Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Lina,3,1,Lina,3,1,Lina,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Nora,3,1,Nora,3,1,Nora,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Elina,3,1,Elina,3,1,Elina,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Nina,3,1,Nina,3,1,Nina,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Chiara,3,1,Chiara,3,1,Chiara,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Leonie,3,1,Leonie,3,1,Leonie,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Julia,3,1,Julia,3,1,Julia,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Melina,3,1,Melina,3,1,Melina,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Anouk,3,1,Anouk,3,1,Anouk,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Yara,2,10,Yara,2,10,Yara,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Eva,2,10,Eva,2,10,Eva,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Elin,2,10,Elin,2,10,Elin,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Ava,2,10,Ava,2,10,Ava,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Noemi,2,10,Noemi,2,10,Noemi,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Ronja,2,10,Ronja,2,10,Ronja,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Helena,2,10,Helena,2,10,Helena,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Alicia,2,10,Alicia,2,10,Alicia,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Johanna,2,10,Johanna,2,10,Johanna,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Matilda,2,10,Matilda,2,10,Matilda,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Ayana,2,10,Ayana,2,10,Ayana,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Aliya,2,10,Aliya,2,10,Aliya,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
10,Lotta,2,10,Lotta,2,10,Lotta,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Emma,1,23,Emma,1,23,Emma,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Sofia,1,23,Sofia,1,23,Sofia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Elena,1,23,Elena,1,23,Elena,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Mila,1,23,Mila,1,23,Mila,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Olivia,1,23,Olivia,1,23,Olivia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Lia,1,23,Lia,1,23,Lia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Alina,1,23,Alina,1,23,Alina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Malea,1,23,Malea,1,23,Malea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Amelia,1,23,Amelia,1,23,Amelia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Anna,1,23,Anna,1,23,Anna,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Alice,1,23,Alice,1,23,Alice,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Maria,1,23,Maria,1,23,Maria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Aria,1,23,Aria,1,23,Aria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Livia,1,23,Livia,1,23,Livia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Sara,1,23,Sara,1,23,Sara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Sophie,1,23,Sophie,1,23,Sophie,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Liv,1,23,Liv,1,23,Liv,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Hanna,1,23,Hanna,1,23,Hanna,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Lynn,1,23,Lynn,1,23,Lynn,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Alessia,1,23,Alessia,1,23,Alessia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Lisa,1,23,Lisa,1,23,Lisa,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Liara,1,23,Liara,1,23,Liara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Selina,1,23,Selina,1,23,Selina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Solea,1,23,Solea,1,23,Solea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Eline,1,23,Eline,1,23,Eline,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Jael,1,23,Jael,1,23,Jael,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Linda,1,23,Linda,1,23,Linda,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Leyla,1,23,Leyla,1,23,Leyla,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Aylin,1,23,Aylin,1,23,Aylin,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Sina,1,23,Sina,1,23,Sina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Enya,1,23,Enya,1,23,Enya,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Gianna,1,23,Gianna,1,23,Gianna,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Malina,1,23,Malina,1,23,Malina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Anastasia,1,23,Anastasia,1,23,Anastasia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Leonor,1,23,Leonor,1,23,Leonor,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Alena,1,23,Alena,1,23,Alena,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Thea,1,23,Thea,1,23,Thea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Yael,1,23,Yael,1,23,Yael,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Malin,1,23,Malin,1,23,Malin,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Vera,1,23,Vera,1,23,Vera,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Carla,1,23,Carla,1,23,Carla,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Bora,1,23,Bora,1,23,Bora,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Delia,1,23,Delia,1,23,Delia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Céline,1,23,Céline,1,23,Céline,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Medina,1,23,Medina,1,23,Medina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Frida,1,23,Frida,1,23,Frida,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Iva,1,23,Iva,1,23,Iva,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Maeva,1,23,Maeva,1,23,Maeva,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Alisa,1,23,Alisa,1,23,Alisa,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Kaia,1,23,Kaia,1,23,Kaia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Raya,1,23,Raya,1,23,Raya,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Carolina,1,23,Carolina,1,23,Carolina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Nelia,1,23,Nelia,1,23,Nelia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Nuria,1,23,Nuria,1,23,Nuria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Flora,1,23,Flora,1,23,Flora,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Ilenia,1,23,Ilenia,1,23,Ilenia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Anina,1,23,Anina,1,23,Anina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Samira,1,23,Samira,1,23,Samira,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Valerie,1,23,Valerie,1,23,Valerie,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Meara,1,23,Meara,1,23,Meara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Francisca,1,23,Francisca,1,23,Francisca,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Riana,1,23,Riana,1,23,Riana,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,June,1,23,June,1,23,June,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Lenia,1,23,Lenia,1,23,Lenia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Ophelia,1,23,Ophelia,1,23,Ophelia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Salome,1,23,Salome,1,23,Salome,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Sarina,1,23,Sarina,1,23,Sarina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Filippa,1,23,Filippa,1,23,Filippa,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Jora,1,23,Jora,1,23,Jora,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Liah,1,23,Liah,1,23,Liah,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Mathea,1,23,Mathea,1,23,Mathea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Sole,1,23,Sole,1,23,Sole,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Svenja,1,23,Svenja,1,23,Svenja,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Simona,1,23,Simona,1,23,Simona,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Katja,1,23,Katja,1,23,Katja,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Loana,1,23,Loana,1,23,Loana,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Aila,1,23,Aila,1,23,Aila,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
23,Enna,1,23,Enna,1,23,Enna,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
