Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,27,1,Mia,27,1,Mia,27,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
1,Lina,27,1,Lina,27,1,Lina,27,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
3,Lea,24,3,Lea,24,3,Lea,24,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
4,Malea,23,4,Malea,23,4,Malea,23,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
5,Emilia,22,5,Emilia,22,5,Emilia,22,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
6,Elina,21,6,Elina,21,6,Elina,21,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
6,Alina,21,6,Alina,21,6,Alina,21,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
8,Elena,20,8,Elena,20,8,Elena,20,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
8,Leonie,20,8,Leonie,20,8,Leonie,20,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
10,Lara,19,10,Lara,19,10,Lara,19,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
11,Nora,18,11,Nora,18,11,Nora,18,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
11,Laura,18,11,Laura,18,11,Laura,18,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
13,Lia,17,13,Lia,17,13,Lia,17,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
13,Luana,17,13,Luana,17,13,Luana,17,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
13,Julia,17,13,Julia,17,13,Julia,17,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Emma,16,16,Emma,16,16,Emma,16,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Juna,16,16,Juna,16,16,Juna,16,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
18,Sophia,15,18,Sophia,15,18,Sophia,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
18,Alea,15,18,Alea,15,18,Alea,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
18,Hana,15,18,Hana,15,18,Hana,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
18,Noemi,15,18,Noemi,15,18,Noemi,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
22,Ella,14,22,Ella,14,22,Ella,14,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
22,Elin,14,22,Elin,14,22,Elin,14,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
22,Fiona,14,22,Fiona,14,22,Fiona,14,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
25,Amelia,13,25,Amelia,13,25,Amelia,13,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
25,Anna,13,25,Anna,13,25,Anna,13,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
25,Chiara,13,25,Chiara,13,25,Chiara,13,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
28,Lena,12,28,Lena,12,28,Lena,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
28,Dua,12,28,Dua,12,28,Dua,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
28,Inaya,12,28,Inaya,12,28,Inaya,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
