Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,6,1,Emma,6,1,Emma,6,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
1,Mia,6,1,Mia,6,1,Mia,6,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
1,Sofia,6,1,Sofia,6,1,Sofia,6,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
4,Amelia,4,4,Amelia,4,4,Amelia,4,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Nora,3,5,Nora,3,5,Nora,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Alina,3,5,Alina,3,5,Alina,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Dua,3,5,Dua,3,5,Dua,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Ayla,3,5,Ayla,3,5,Ayla,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Noemi,3,5,Noemi,3,5,Noemi,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Luisa,3,5,Luisa,3,5,Luisa,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Diana,3,5,Diana,3,5,Diana,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Liara,3,5,Liara,3,5,Liara,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Ida,3,5,Ida,3,5,Ida,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Sina,3,5,Sina,3,5,Sina,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Liya,3,5,Liya,3,5,Liya,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Medina,3,5,Medina,3,5,Medina,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
5,Una,3,5,Una,3,5,Una,3,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Mila,2,18,Mila,2,18,Mila,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Lea,2,18,Lea,2,18,Lea,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Elina,2,18,Elina,2,18,Elina,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Sophia,2,18,Sophia,2,18,Sophia,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Anna,2,18,Anna,2,18,Anna,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Lena,2,18,Lena,2,18,Lena,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Eva,2,18,Eva,2,18,Eva,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Giulia,2,18,Giulia,2,18,Giulia,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Julia,2,18,Julia,2,18,Julia,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Aria,2,18,Aria,2,18,Aria,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Alma,2,18,Alma,2,18,Alma,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Mara,2,18,Mara,2,18,Mara,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Zoe,2,18,Zoe,2,18,Zoe,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Maya,2,18,Maya,2,18,Maya,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Yuna,2,18,Yuna,2,18,Yuna,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Jana,2,18,Jana,2,18,Jana,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Hanna,2,18,Hanna,2,18,Hanna,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Elea,2,18,Elea,2,18,Elea,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Mira,2,18,Mira,2,18,Mira,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Helena,2,18,Helena,2,18,Helena,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Arya,2,18,Arya,2,18,Arya,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Amalia,2,18,Amalia,2,18,Amalia,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Lily,2,18,Lily,2,18,Lily,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Solea,2,18,Solea,2,18,Solea,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Aline,2,18,Aline,2,18,Aline,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Freya,2,18,Freya,2,18,Freya,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Louisa,2,18,Louisa,2,18,Louisa,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Ladina,2,18,Ladina,2,18,Ladina,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
18,Malin,2,18,Malin,2,18,Malin,2,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
