Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Lina,13,1,Lina,13,1,Lina,13,Solothurn,Solothurn,Soleure,Solothurn,Soletta
1,Dua,13,1,Dua,13,1,Dua,13,Solothurn,Solothurn,Soleure,Solothurn,Soletta
3,Alea,12,3,Alea,12,3,Alea,12,Solothurn,Solothurn,Soleure,Solothurn,Soletta
4,Emma,11,4,Emma,11,4,Emma,11,Solothurn,Solothurn,Soleure,Solothurn,Soletta
4,Lea,11,4,Lea,11,4,Lea,11,Solothurn,Solothurn,Soleure,Solothurn,Soletta
4,Alina,11,4,Alina,11,4,Alina,11,Solothurn,Solothurn,Soleure,Solothurn,Soletta
4,Malea,11,4,Malea,11,4,Malea,11,Solothurn,Solothurn,Soleure,Solothurn,Soletta
8,Emilia,10,8,Emilia,10,8,Emilia,10,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Mia,9,9,Mia,9,9,Mia,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Elena,9,9,Elena,9,9,Elena,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Lia,9,9,Lia,9,9,Lia,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Amelia,9,9,Amelia,9,9,Amelia,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Yara,9,9,Yara,9,9,Yara,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Alice,9,9,Alice,9,9,Alice,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
9,Liana,9,9,Liana,9,9,Liana,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
16,Sofia,8,16,Sofia,8,16,Sofia,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
16,Mila,8,16,Mila,8,16,Mila,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
16,Nora,8,16,Nora,8,16,Nora,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
