Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,12,1,Mia,12,1,Mia,12,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
2,Leonie,9,2,Leonie,9,2,Leonie,9,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
3,Elena,8,3,Elena,8,3,Elena,8,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
3,Anna,8,3,Anna,8,3,Anna,8,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
5,Emilia,7,5,Emilia,7,5,Emilia,7,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
5,Elina,7,5,Elina,7,5,Elina,7,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
5,Lara,7,5,Lara,7,5,Lara,7,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
5,Fiona,7,5,Fiona,7,5,Fiona,7,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
9,Mila,6,9,Mila,6,9,Mila,6,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
9,Lena,6,9,Lena,6,9,Lena,6,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
9,Melina,6,9,Melina,6,9,Melina,6,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Sofia,5,12,Sofia,5,12,Sofia,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Lea,5,12,Lea,5,12,Lea,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Nina,5,12,Nina,5,12,Nina,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Sophia,5,12,Sophia,5,12,Sophia,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Chiara,5,12,Chiara,5,12,Chiara,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Laura,5,12,Laura,5,12,Laura,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Luana,5,12,Luana,5,12,Luana,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Valentina,5,12,Valentina,5,12,Valentina,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Ronja,5,12,Ronja,5,12,Ronja,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
12,Aurelia,5,12,Aurelia,5,12,Aurelia,5,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Emma,4,22,Emma,4,22,Emma,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Lia,4,22,Lia,4,22,Lia,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Malea,4,22,Malea,4,22,Malea,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Giulia,4,22,Giulia,4,22,Giulia,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Liana,4,22,Liana,4,22,Liana,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Mara,4,22,Mara,4,22,Mara,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Liv,4,22,Liv,4,22,Liv,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
22,Yuna,4,22,Yuna,4,22,Yuna,4,Schwyz,Schwyz,Schwyz,Schwyz,Svitto
