Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Leonie,15,1,Leonie,15,1,Leonie,15,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
2,Emilia,14,2,Emilia,14,2,Emilia,14,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
2,Lia,14,2,Lia,14,2,Lia,14,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
4,Mia,13,4,Mia,13,4,Mia,13,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
4,Mila,13,4,Mila,13,4,Mila,13,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
4,Juna,13,4,Juna,13,4,Juna,13,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Malea,12,7,Malea,12,7,Malea,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Lena,12,7,Lena,12,7,Lena,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Malia,12,7,Malia,12,7,Malia,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
10,Alina,11,10,Alina,11,10,Alina,11,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
10,Amelie,11,10,Amelie,11,10,Amelie,11,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Elena,10,12,Elena,10,12,Elena,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Elina,10,12,Elina,10,12,Elina,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Anna,10,12,Anna,10,12,Anna,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Hanna,10,12,Hanna,10,12,Hanna,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
16,Sofia,9,16,Sofia,9,16,Sofia,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
16,Chiara,9,16,Chiara,9,16,Chiara,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
16,Yara,9,16,Yara,9,16,Yara,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
16,Aurelia,9,16,Aurelia,9,16,Aurelia,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Lina,8,20,Lina,8,20,Lina,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Sophia,8,20,Sophia,8,20,Sophia,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Elin,8,20,Elin,8,20,Elin,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Alea,8,20,Alea,8,20,Alea,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Emily,8,20,Emily,8,20,Emily,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Jana,8,20,Jana,8,20,Jana,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
20,Enya,8,20,Enya,8,20,Enya,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
27,Lea,7,27,Lea,7,27,Lea,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
27,Sara,7,27,Sara,7,27,Sara,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
27,Noelia,7,27,Noelia,7,27,Noelia,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
27,Paula,7,27,Paula,7,27,Paula,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Emma,6,31,Emma,6,31,Emma,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Nora,6,31,Nora,6,31,Nora,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Valentina,6,31,Valentina,6,31,Valentina,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Aria,6,31,Aria,6,31,Aria,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Ava,6,31,Ava,6,31,Ava,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Livia,6,31,Livia,6,31,Livia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Dua,6,31,Dua,6,31,Dua,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Ayla,6,31,Ayla,6,31,Ayla,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Elisa,6,31,Elisa,6,31,Elisa,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Hana,6,31,Hana,6,31,Hana,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Noemi,6,31,Noemi,6,31,Noemi,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Ronja,6,31,Ronja,6,31,Ronja,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Mira,6,31,Mira,6,31,Mira,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Amalia,6,31,Amalia,6,31,Amalia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Mina,6,31,Mina,6,31,Mina,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
31,Jael,6,31,Jael,6,31,Jael,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Olivia,5,47,Olivia,5,47,Olivia,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Giulia,5,47,Giulia,5,47,Giulia,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Laura,5,47,Laura,5,47,Laura,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Julia,5,47,Julia,5,47,Julia,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Victoria,5,47,Victoria,5,47,Victoria,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Mara,5,47,Mara,5,47,Mara,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Luisa,5,47,Luisa,5,47,Luisa,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Fiona,5,47,Fiona,5,47,Fiona,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Lynn,5,47,Lynn,5,47,Lynn,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Melina,5,47,Melina,5,47,Melina,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Elea,5,47,Elea,5,47,Elea,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Alessia,5,47,Alessia,5,47,Alessia,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Amira,5,47,Amira,5,47,Amira,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Ayana,5,47,Ayana,5,47,Ayana,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Jara,5,47,Jara,5,47,Jara,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Amy,5,47,Amy,5,47,Amy,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
47,Maila,5,47,Maila,5,47,Maila,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Amelia,4,64,Amelia,4,64,Amelia,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Aurora,4,64,Aurora,4,64,Aurora,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Liana,4,64,Liana,4,64,Liana,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Diana,4,64,Diana,4,64,Diana,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Clara,4,64,Clara,4,64,Clara,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Amaya,4,64,Amaya,4,64,Amaya,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Leana,4,64,Leana,4,64,Leana,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Anouk,4,64,Anouk,4,64,Anouk,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Romy,4,64,Romy,4,64,Romy,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Elodie,4,64,Elodie,4,64,Elodie,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Ela,4,64,Ela,4,64,Ela,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Johanna,4,64,Johanna,4,64,Johanna,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Selina,4,64,Selina,4,64,Selina,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Aylin,4,64,Aylin,4,64,Aylin,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Malin,4,64,Malin,4,64,Malin,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Maja,4,64,Maja,4,64,Maja,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Iva,4,64,Iva,4,64,Iva,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Eleni,4,64,Eleni,4,64,Eleni,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Svea,4,64,Svea,4,64,Svea,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
83,Nina,3,83,Nina,3,83,Nina,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
83,Ella,3,83,Ella,3,83,Ella,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
