Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Lia,17,1,Lia,17,1,Lia,17,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
2,Mia,16,2,Mia,16,2,Mia,16,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
2,Emilia,16,2,Emilia,16,2,Emilia,16,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
4,Emma,15,4,Emma,15,4,Emma,15,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
5,Sofia,12,5,Sofia,12,5,Sofia,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
5,Elena,12,5,Elena,12,5,Elena,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Lara,11,7,Lara,11,7,Lara,11,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Alina,11,7,Alina,11,7,Alina,11,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
9,Lina,10,9,Lina,10,9,Lina,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
9,Yara,10,9,Yara,10,9,Yara,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
9,Elea,10,9,Elea,10,9,Elea,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Leonie,9,12,Leonie,9,12,Leonie,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Laura,9,12,Laura,9,12,Laura,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Juna,9,12,Juna,9,12,Juna,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
15,Lea,8,15,Lea,8,15,Lea,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
15,Malea,8,15,Malea,8,15,Malea,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
15,Valentina,8,15,Valentina,8,15,Valentina,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Ella,7,18,Ella,7,18,Ella,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Sophia,7,18,Sophia,7,18,Sophia,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Eva,7,18,Eva,7,18,Eva,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Elin,7,18,Elin,7,18,Elin,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Dua,7,18,Dua,7,18,Dua,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Amelie,7,18,Amelie,7,18,Amelie,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Romy,7,18,Romy,7,18,Romy,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
18,Malin,7,18,Malin,7,18,Malin,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Olivia,6,26,Olivia,6,26,Olivia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Elina,6,26,Elina,6,26,Elina,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Julia,6,26,Julia,6,26,Julia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Amelia,6,26,Amelia,6,26,Amelia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Emily,6,26,Emily,6,26,Emily,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Elisa,6,26,Elisa,6,26,Elisa,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Malia,6,26,Malia,6,26,Malia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Jana,6,26,Jana,6,26,Jana,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Zoe,6,26,Zoe,6,26,Zoe,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Hanna,6,26,Hanna,6,26,Hanna,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Diana,6,26,Diana,6,26,Diana,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Amalia,6,26,Amalia,6,26,Amalia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Ida,6,26,Ida,6,26,Ida,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Ela,6,26,Ela,6,26,Ela,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Neyla,6,26,Neyla,6,26,Neyla,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Mona,6,26,Mona,6,26,Mona,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Larina,6,26,Larina,6,26,Larina,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
26,Elenia,6,26,Elenia,6,26,Elenia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Nora,5,44,Nora,5,44,Nora,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Mila,5,44,Mila,5,44,Mila,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Alice,5,44,Alice,5,44,Alice,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Nina,5,44,Nina,5,44,Nina,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Aurora,5,44,Aurora,5,44,Aurora,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Chiara,5,44,Chiara,5,44,Chiara,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Livia,5,44,Livia,5,44,Livia,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Yuna,5,44,Yuna,5,44,Yuna,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Lou,5,44,Lou,5,44,Lou,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Hana,5,44,Hana,5,44,Hana,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Alea,5,44,Alea,5,44,Alea,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Melina,5,44,Melina,5,44,Melina,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Lynn,5,44,Lynn,5,44,Lynn,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Liv,5,44,Liv,5,44,Liv,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Milena,5,44,Milena,5,44,Milena,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Eliana,5,44,Eliana,5,44,Eliana,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Ayana,5,44,Ayana,5,44,Ayana,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Hailey,5,44,Hailey,5,44,Hailey,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Leni,5,44,Leni,5,44,Leni,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
44,Jasmin,5,44,Jasmin,5,44,Jasmin,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Anna,4,64,Anna,4,64,Anna,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Sophie,4,64,Sophie,4,64,Sophie,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Sara,4,64,Sara,4,64,Sara,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Inaya,4,64,Inaya,4,64,Inaya,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Noemi,4,64,Noemi,4,64,Noemi,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Liana,4,64,Liana,4,64,Liana,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Fiona,4,64,Fiona,4,64,Fiona,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Ronja,4,64,Ronja,4,64,Ronja,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Ellie,4,64,Ellie,4,64,Ellie,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Naomi,4,64,Naomi,4,64,Naomi,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Lorena,4,64,Lorena,4,64,Lorena,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Noelia,4,64,Noelia,4,64,Noelia,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Aria,4,64,Aria,4,64,Aria,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Kiara,4,64,Kiara,4,64,Kiara,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Stella,4,64,Stella,4,64,Stella,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Lisa,4,64,Lisa,4,64,Lisa,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Isabella,4,64,Isabella,4,64,Isabella,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Freya,4,64,Freya,4,64,Freya,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Solea,4,64,Solea,4,64,Solea,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Maja,4,64,Maja,4,64,Maja,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Aliya,4,64,Aliya,4,64,Aliya,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Lucy,4,64,Lucy,4,64,Lucy,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Arianna,4,64,Arianna,4,64,Arianna,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Tamara,4,64,Tamara,4,64,Tamara,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
64,Clea,4,64,Clea,4,64,Clea,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Lena,3,89,Lena,3,89,Lena,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Alma,3,89,Alma,3,89,Alma,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Maria,3,89,Maria,3,89,Maria,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Zoé,3,89,Zoé,3,89,Zoé,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Ava,3,89,Ava,3,89,Ava,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Leana,3,89,Leana,3,89,Leana,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
89,Luisa,3,89,Luisa,3,89,Luisa,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
