Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Aurora,27,1,Aurora,27,1,Aurora,27,Ticino,Ticino,Tessin,Tessin,Ticino
2,Sofia,22,2,Sofia,22,2,Sofia,22,Ticino,Ticino,Tessin,Tessin,Ticino
3,Ginevra,20,3,Ginevra,20,3,Ginevra,20,Ticino,Ticino,Tessin,Tessin,Ticino
4,Emma,19,4,Emma,19,4,Emma,19,Ticino,Ticino,Tessin,Tessin,Ticino
5,Alice,17,5,Alice,17,5,Alice,17,Ticino,Ticino,Tessin,Tessin,Ticino
6,Gaia,15,6,Gaia,15,6,Gaia,15,Ticino,Ticino,Tessin,Tessin,Ticino
6,Ambra,15,6,Ambra,15,6,Ambra,15,Ticino,Ticino,Tessin,Tessin,Ticino
8,Matilde,14,8,Matilde,14,8,Matilde,14,Ticino,Ticino,Tessin,Tessin,Ticino
9,Lea,13,9,Lea,13,9,Lea,13,Ticino,Ticino,Tessin,Tessin,Ticino
9,Nina,13,9,Nina,13,9,Nina,13,Ticino,Ticino,Tessin,Tessin,Ticino
9,Noemi,13,9,Noemi,13,9,Noemi,13,Ticino,Ticino,Tessin,Tessin,Ticino
9,Camilla,13,9,Camilla,13,9,Camilla,13,Ticino,Ticino,Tessin,Tessin,Ticino
9,Ludovica,13,9,Ludovica,13,9,Ludovica,13,Ticino,Ticino,Tessin,Tessin,Ticino
14,Mia,12,14,Mia,12,14,Mia,12,Ticino,Ticino,Tessin,Tessin,Ticino
14,Sophie,12,14,Sophie,12,14,Sophie,12,Ticino,Ticino,Tessin,Tessin,Ticino
16,Giulia,11,16,Giulia,11,16,Giulia,11,Ticino,Ticino,Tessin,Tessin,Ticino
16,Beatrice,11,16,Beatrice,11,16,Beatrice,11,Ticino,Ticino,Tessin,Tessin,Ticino
18,Olivia,10,18,Olivia,10,18,Olivia,10,Ticino,Ticino,Tessin,Tessin,Ticino
18,Chloe,10,18,Chloe,10,18,Chloe,10,Ticino,Ticino,Tessin,Tessin,Ticino
20,Amelia,9,20,Amelia,9,20,Amelia,9,Ticino,Ticino,Tessin,Tessin,Ticino
20,Anna,9,20,Anna,9,20,Anna,9,Ticino,Ticino,Tessin,Tessin,Ticino
20,Chiara,9,20,Chiara,9,20,Chiara,9,Ticino,Ticino,Tessin,Tessin,Ticino
20,Isabel,9,20,Isabel,9,20,Isabel,9,Ticino,Ticino,Tessin,Tessin,Ticino
