Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,54,1,Emma,54,1,Emma,54,Vaud,Vaud,Vaud,Waadt,Vaud
2,Olivia,46,2,Olivia,46,2,Olivia,46,Vaud,Vaud,Vaud,Waadt,Vaud
3,Sofia,40,3,Sofia,40,3,Sofia,40,Vaud,Vaud,Vaud,Waadt,Vaud
4,Eva,36,4,Eva,36,4,Eva,36,Vaud,Vaud,Vaud,Waadt,Vaud
5,Mia,31,5,Mia,31,5,Mia,31,Vaud,Vaud,Vaud,Waadt,Vaud
6,Louise,29,6,Louise,29,6,Louise,29,Vaud,Vaud,Vaud,Waadt,Vaud
7,Alma,28,7,Alma,28,7,Alma,28,Vaud,Vaud,Vaud,Waadt,Vaud
8,Alba,26,8,Alba,26,8,Alba,26,Vaud,Vaud,Vaud,Waadt,Vaud
8,Chloé,26,8,Chloé,26,8,Chloé,26,Vaud,Vaud,Vaud,Waadt,Vaud
10,Nina,25,10,Nina,25,10,Nina,25,Vaud,Vaud,Vaud,Waadt,Vaud
10,Victoria,25,10,Victoria,25,10,Victoria,25,Vaud,Vaud,Vaud,Waadt,Vaud
10,Iris,25,10,Iris,25,10,Iris,25,Vaud,Vaud,Vaud,Waadt,Vaud
13,Luna,24,13,Luna,24,13,Luna,24,Vaud,Vaud,Vaud,Waadt,Vaud
14,Mila,23,14,Mila,23,14,Mila,23,Vaud,Vaud,Vaud,Waadt,Vaud
14,Alice,23,14,Alice,23,14,Alice,23,Vaud,Vaud,Vaud,Waadt,Vaud
14,Léa,23,14,Léa,23,14,Léa,23,Vaud,Vaud,Vaud,Waadt,Vaud
17,Elena,20,17,Elena,20,17,Elena,20,Vaud,Vaud,Vaud,Waadt,Vaud
17,Zoé,20,17,Zoé,20,17,Zoé,20,Vaud,Vaud,Vaud,Waadt,Vaud
19,Nora,19,19,Nora,19,19,Nora,19,Vaud,Vaud,Vaud,Waadt,Vaud
19,Inaya,19,19,Inaya,19,19,Inaya,19,Vaud,Vaud,Vaud,Waadt,Vaud
19,Clara,19,19,Clara,19,19,Clara,19,Vaud,Vaud,Vaud,Waadt,Vaud
22,Mathilde,18,22,Mathilde,18,22,Mathilde,18,Vaud,Vaud,Vaud,Waadt,Vaud
22,Margot,18,22,Margot,18,22,Margot,18,Vaud,Vaud,Vaud,Waadt,Vaud
24,Ella,17,24,Ella,17,24,Ella,17,Vaud,Vaud,Vaud,Waadt,Vaud
24,Ava,17,24,Ava,17,24,Ava,17,Vaud,Vaud,Vaud,Waadt,Vaud
24,Maya,17,24,Maya,17,24,Maya,17,Vaud,Vaud,Vaud,Waadt,Vaud
24,Jade,17,24,Jade,17,24,Jade,17,Vaud,Vaud,Vaud,Waadt,Vaud
28,Lina,16,28,Lina,16,28,Lina,16,Vaud,Vaud,Vaud,Waadt,Vaud
28,Maria,16,28,Maria,16,28,Maria,16,Vaud,Vaud,Vaud,Waadt,Vaud
28,Diana,16,28,Diana,16,28,Diana,16,Vaud,Vaud,Vaud,Waadt,Vaud
28,Juliette,16,28,Juliette,16,28,Juliette,16,Vaud,Vaud,Vaud,Waadt,Vaud
32,Giulia,15,32,Giulia,15,32,Giulia,15,Vaud,Vaud,Vaud,Waadt,Vaud
32,Liana,15,32,Liana,15,32,Liana,15,Vaud,Vaud,Vaud,Waadt,Vaud
32,Charlotte,15,32,Charlotte,15,32,Charlotte,15,Vaud,Vaud,Vaud,Waadt,Vaud
32,Lily,15,32,Lily,15,32,Lily,15,Vaud,Vaud,Vaud,Waadt,Vaud
32,Adèle,15,32,Adèle,15,32,Adèle,15,Vaud,Vaud,Vaud,Waadt,Vaud
37,Elina,14,37,Elina,14,37,Elina,14,Vaud,Vaud,Vaud,Waadt,Vaud
37,Liv,14,37,Liv,14,37,Liv,14,Vaud,Vaud,Vaud,Waadt,Vaud
37,Rose,14,37,Rose,14,37,Rose,14,Vaud,Vaud,Vaud,Waadt,Vaud
37,Camila,14,37,Camila,14,37,Camila,14,Vaud,Vaud,Vaud,Waadt,Vaud
37,Nour,14,37,Nour,14,37,Nour,14,Vaud,Vaud,Vaud,Waadt,Vaud
42,Kiara,13,42,Kiara,13,42,Kiara,13,Vaud,Vaud,Vaud,Waadt,Vaud
42,Héloïse,13,42,Héloïse,13,42,Héloïse,13,Vaud,Vaud,Vaud,Waadt,Vaud
44,Emilia,12,44,Emilia,12,44,Emilia,12,Vaud,Vaud,Vaud,Waadt,Vaud
44,Lara,12,44,Lara,12,44,Lara,12,Vaud,Vaud,Vaud,Waadt,Vaud
44,Lucie,12,44,Lucie,12,44,Lucie,12,Vaud,Vaud,Vaud,Waadt,Vaud
44,Charlie,12,44,Charlie,12,44,Charlie,12,Vaud,Vaud,Vaud,Waadt,Vaud
48,Amelia,11,48,Amelia,11,48,Amelia,11,Vaud,Vaud,Vaud,Waadt,Vaud
48,Anna,11,48,Anna,11,48,Anna,11,Vaud,Vaud,Vaud,Waadt,Vaud
48,Ayla,11,48,Ayla,11,48,Ayla,11,Vaud,Vaud,Vaud,Waadt,Vaud
