Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Sofia,66,1,Sofia,66,1,Sofia,66,Zürich,Zürich,Zurich,Zürich,Zurigo
2,Emma,64,2,Emma,64,2,Emma,64,Zürich,Zürich,Zurich,Zürich,Zurigo
3,Emilia,56,3,Emilia,56,3,Emilia,56,Zürich,Zürich,Zurich,Zürich,Zurigo
4,Mia,53,4,Mia,53,4,Mia,53,Zürich,Zürich,Zurich,Zürich,Zurigo
5,Mila,49,5,Mila,49,5,Mila,49,Zürich,Zürich,Zurich,Zürich,Zurigo
6,Anna,48,6,Anna,48,6,Anna,48,Zürich,Zürich,Zurich,Zürich,Zurigo
7,Olivia,47,7,Olivia,47,7,Olivia,47,Zürich,Zürich,Zurich,Zürich,Zurigo
8,Nora,45,8,Nora,45,8,Nora,45,Zürich,Zürich,Zurich,Zürich,Zurigo
9,Sophia,44,9,Sophia,44,9,Sophia,44,Zürich,Zürich,Zurich,Zürich,Zurigo
10,Lina,42,10,Lina,42,10,Lina,42,Zürich,Zürich,Zurich,Zürich,Zurigo
11,Malea,41,11,Malea,41,11,Malea,41,Zürich,Zürich,Zurich,Zürich,Zurigo
12,Lea,40,12,Lea,40,12,Lea,40,Zürich,Zürich,Zurich,Zürich,Zurigo
12,Elina,40,12,Elina,40,12,Elina,40,Zürich,Zürich,Zurich,Zürich,Zurigo
12,Amelia,40,12,Amelia,40,12,Amelia,40,Zürich,Zürich,Zurich,Zürich,Zurigo
15,Luna,39,15,Luna,39,15,Luna,39,Zürich,Zürich,Zurich,Zürich,Zurigo
15,Ella,39,15,Ella,39,15,Ella,39,Zürich,Zürich,Zurich,Zürich,Zurigo
17,Leonie,38,17,Leonie,38,17,Leonie,38,Zürich,Zürich,Zurich,Zürich,Zurigo
18,Elena,37,18,Elena,37,18,Elena,37,Zürich,Zürich,Zurich,Zürich,Zurigo
19,Aurora,36,19,Aurora,36,19,Aurora,36,Zürich,Zürich,Zurich,Zürich,Zurigo
20,Lia,35,20,Lia,35,20,Lia,35,Zürich,Zürich,Zurich,Zürich,Zurigo
21,Alina,34,21,Alina,34,21,Alina,34,Zürich,Zürich,Zurich,Zürich,Zurigo
21,Lara,34,21,Lara,34,21,Lara,34,Zürich,Zürich,Zurich,Zürich,Zurigo
21,Zoe,34,21,Zoe,34,21,Zoe,34,Zürich,Zürich,Zurich,Zürich,Zurigo
24,Yara,33,24,Yara,33,24,Yara,33,Zürich,Zürich,Zurich,Zürich,Zurigo
24,Luana,33,24,Luana,33,24,Luana,33,Zürich,Zürich,Zurich,Zürich,Zurigo
24,Elisa,33,24,Elisa,33,24,Elisa,33,Zürich,Zürich,Zurich,Zürich,Zurigo
27,Laura,32,27,Laura,32,27,Laura,32,Zürich,Zürich,Zurich,Zürich,Zurigo
27,Alea,32,27,Alea,32,27,Alea,32,Zürich,Zürich,Zurich,Zürich,Zurigo
29,Maria,31,29,Maria,31,29,Maria,31,Zürich,Zürich,Zurich,Zürich,Zurigo
29,Juna,31,29,Juna,31,29,Juna,31,Zürich,Zürich,Zurich,Zürich,Zurigo
29,Mira,31,29,Mira,31,29,Mira,31,Zürich,Zürich,Zurich,Zürich,Zurigo
32,Chiara,29,32,Chiara,29,32,Chiara,29,Zürich,Zürich,Zurich,Zürich,Zurigo
32,Dua,29,32,Dua,29,32,Dua,29,Zürich,Zürich,Zurich,Zürich,Zurigo
34,Nina,28,34,Nina,28,34,Nina,28,Zürich,Zürich,Zurich,Zürich,Zurigo
34,Valentina,28,34,Valentina,28,34,Valentina,28,Zürich,Zürich,Zurich,Zürich,Zurigo
34,Luisa,28,34,Luisa,28,34,Luisa,28,Zürich,Zürich,Zurich,Zürich,Zurigo
37,Lena,27,37,Lena,27,37,Lena,27,Zürich,Zürich,Zurich,Zürich,Zurigo
37,Elin,27,37,Elin,27,37,Elin,27,Zürich,Zürich,Zurich,Zürich,Zurigo
37,Aria,27,37,Aria,27,37,Aria,27,Zürich,Zürich,Zurich,Zürich,Zurigo
37,Emily,27,37,Emily,27,37,Emily,27,Zürich,Zürich,Zurich,Zürich,Zurigo
37,Charlotte,27,37,Charlotte,27,37,Charlotte,27,Zürich,Zürich,Zurich,Zürich,Zurigo
42,Sara,26,42,Sara,26,42,Sara,26,Zürich,Zürich,Zurich,Zürich,Zurigo
42,Ayla,26,42,Ayla,26,42,Ayla,26,Zürich,Zürich,Zurich,Zürich,Zurigo
42,Mara,26,42,Mara,26,42,Mara,26,Zürich,Zürich,Zurich,Zürich,Zurigo
45,Diana,25,45,Diana,25,45,Diana,25,Zürich,Zürich,Zurich,Zürich,Zurigo
45,Elea,25,45,Elea,25,45,Elea,25,Zürich,Zürich,Zurich,Zürich,Zurigo
47,Alice,24,47,Alice,24,47,Alice,24,Zürich,Zürich,Zurich,Zürich,Zurigo
47,Giulia,24,47,Giulia,24,47,Giulia,24,Zürich,Zürich,Zurich,Zürich,Zurigo
47,Malia,24,47,Malia,24,47,Malia,24,Zürich,Zürich,Zurich,Zürich,Zurigo
47,Maya,24,47,Maya,24,47,Maya,24,Zürich,Zürich,Zurich,Zürich,Zurigo
47,Clara,24,47,Clara,24,47,Clara,24,Zürich,Zürich,Zurich,Zürich,Zurigo
47,Ronja,24,47,Ronja,24,47,Ronja,24,Zürich,Zürich,Zurich,Zürich,Zurigo
53,Sophie,23,53,Sophie,23,53,Sophie,23,Zürich,Zürich,Zurich,Zürich,Zurigo
54,Ava,22,54,Ava,22,54,Ava,22,Zürich,Zürich,Zurich,Zürich,Zurigo
54,Inaya,22,54,Inaya,22,54,Inaya,22,Zürich,Zürich,Zurich,Zürich,Zurigo
54,Liv,22,54,Liv,22,54,Liv,22,Zürich,Zürich,Zurich,Zürich,Zurigo
54,Noemi,22,54,Noemi,22,54,Noemi,22,Zürich,Zürich,Zurich,Zürich,Zurigo
54,Matilda,22,54,Matilda,22,54,Matilda,22,Zürich,Zürich,Zurich,Zürich,Zurigo
59,Eva,21,59,Eva,21,59,Eva,21,Zürich,Zürich,Zurich,Zürich,Zurigo
59,Julia,21,59,Julia,21,59,Julia,21,Zürich,Zürich,Zurich,Zürich,Zurigo
59,Alba,21,59,Alba,21,59,Alba,21,Zürich,Zürich,Zurich,Zürich,Zurigo
59,Hana,21,59,Hana,21,59,Hana,21,Zürich,Zürich,Zurich,Zürich,Zurigo
63,Livia,20,63,Livia,20,63,Livia,20,Zürich,Zürich,Zurich,Zürich,Zurigo
63,Amelie,20,63,Amelie,20,63,Amelie,20,Zürich,Zürich,Zurich,Zürich,Zurigo
63,Elodie,20,63,Elodie,20,63,Elodie,20,Zürich,Zürich,Zurich,Zürich,Zurigo
66,Zoé,19,66,Zoé,19,66,Zoé,19,Zürich,Zürich,Zurich,Zürich,Zurigo
66,Fiona,19,66,Fiona,19,66,Fiona,19,Zürich,Zürich,Zurich,Zürich,Zurigo
66,Helena,19,66,Helena,19,66,Helena,19,Zürich,Zürich,Zurich,Zürich,Zurigo
66,Alicia,19,66,Alicia,19,66,Alicia,19,Zürich,Zürich,Zurich,Zürich,Zurigo
66,Anouk,19,66,Anouk,19,66,Anouk,19,Zürich,Zürich,Zurich,Zürich,Zurigo
66,Romy,19,66,Romy,19,66,Romy,19,Zürich,Zürich,Zurich,Zürich,Zurigo
72,Liana,18,72,Liana,18,72,Liana,18,Zürich,Zürich,Zurich,Zürich,Zurigo
72,Victoria,18,72,Victoria,18,72,Victoria,18,Zürich,Zürich,Zurich,Zürich,Zurigo
72,Yuna,18,72,Yuna,18,72,Yuna,18,Zürich,Zürich,Zurich,Zürich,Zurigo
72,Aurelia,18,72,Aurelia,18,72,Aurelia,18,Zürich,Zürich,Zurich,Zürich,Zurigo
72,Ariana,18,72,Ariana,18,72,Ariana,18,Zürich,Zürich,Zurich,Zürich,Zurigo
72,Malou,18,72,Malou,18,72,Malou,18,Zürich,Zürich,Zurich,Zürich,Zurigo
78,Amalia,17,78,Amalia,17,78,Amalia,17,Zürich,Zürich,Zurich,Zürich,Zurigo
78,Stella,17,78,Stella,17,78,Stella,17,Zürich,Zürich,Zurich,Zürich,Zurigo
80,Amaya,16,80,Amaya,16,80,Amaya,16,Zürich,Zürich,Zurich,Zürich,Zurigo
80,Leana,16,80,Leana,16,80,Leana,16,Zürich,Zürich,Zurich,Zürich,Zurigo
80,Lily,16,80,Lily,16,80,Lily,16,Zürich,Zürich,Zurich,Zürich,Zurigo
80,Liara,16,80,Liara,16,80,Liara,16,Zürich,Zürich,Zurich,Zürich,Zurigo
80,Valeria,16,80,Valeria,16,80,Valeria,16,Zürich,Zürich,Zurich,Zürich,Zurigo
80,Sienna,16,80,Sienna,16,80,Sienna,16,Zürich,Zürich,Zurich,Zürich,Zurigo
86,Melina,15,86,Melina,15,86,Melina,15,Zürich,Zürich,Zurich,Zürich,Zurigo
86,Amélie,15,86,Amélie,15,86,Amélie,15,Zürich,Zürich,Zurich,Zürich,Zurigo
86,Johanna,15,86,Johanna,15,86,Johanna,15,Zürich,Zürich,Zurich,Zürich,Zurigo
86,Hannah,15,86,Hannah,15,86,Hannah,15,Zürich,Zürich,Zurich,Zürich,Zurigo
86,Freya,15,86,Freya,15,86,Freya,15,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Alma,14,91,Alma,14,91,Alma,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Lynn,14,91,Lynn,14,91,Lynn,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Ellie,14,91,Ellie,14,91,Ellie,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Noelia,14,91,Noelia,14,91,Noelia,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Amina,14,91,Amina,14,91,Amina,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Lou,14,91,Lou,14,91,Lou,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Mina,14,91,Mina,14,91,Mina,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Eliana,14,91,Eliana,14,91,Eliana,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Ela,14,91,Ela,14,91,Ela,14,Zürich,Zürich,Zurich,Zürich,Zurigo
91,Sarah,14,91,Sarah,14,91,Sarah,14,Zürich,Zürich,Zurich,Zürich,Zurigo
