Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Liam,48,1,Liam,48,1,Liam,48
2,Lian,36,2,Lian,36,2,Lian,36
3,Noah,33,3,Noah,33,3,Noah,33
4,Leano,29,4,Leano,29,4,Leano,29
4,Leon,29,4,Leon,29,4,Leon,29
6,Matteo,27,6,Matteo,27,6,Matteo,27
6,Lio,27,6,Lio,27,6,Lio,27
8,Elias,26,8,Elias,26,8,Elias,26
9,Aaron,25,9,Aaron,25,9,Aaron,25
10,Theo,22,10,Theo,22,10,Theo,22
10,Luan,22,10,Luan,22,10,Luan,22
12,Leo,21,12,Leo,21,12,Leo,21
13,Nael,19,13,Nael,19,13,Nael,19
14,Emil,18,14,Emil,18,14,Emil,18
14,Mael,18,14,Mael,18,14,Mael,18
16,Luca,17,16,Luca,17,16,Luca,17
16,Finn,17,16,Finn,17,16,Finn,17
16,Luka,17,16,Luka,17,16,Luka,17
19,Gabriel,16,19,Gabriel,16,19,Gabriel,16
19,Ben,16,19,Ben,16,19,Ben,16
19,Livio,16,19,Livio,16,19,Livio,16
19,Leandro,16,19,Leandro,16,19,Leandro,16
19,Levin,16,19,Levin,16,19,Levin,16
24,Nino,15,24,Nino,15,24,Nino,15
24,David,15,24,David,15,24,David,15
24,Malik,15,24,Malik,15,24,Malik,15
24,Nico,15,24,Nico,15,24,Nico,15
24,Oliver,15,24,Oliver,15,24,Oliver,15
24,Rayan,15,24,Rayan,15,24,Rayan,15
30,Leonardo,14,30,Leonardo,14,30,Leonardo,14
30,Levi,14,30,Levi,14,30,Levi,14
30,Adam,14,30,Adam,14,30,Adam,14
30,Mattia,14,30,Mattia,14,30,Mattia,14
30,Kian,14,30,Kian,14,30,Kian,14
30,Dario,14,30,Dario,14,30,Dario,14
30,Laurin,14,30,Laurin,14,30,Laurin,14
30,Lionel,14,30,Lionel,14,30,Lionel,14
30,Nevio,14,30,Nevio,14,30,Nevio,14
30,Kiyan,14,30,Kiyan,14,30,Kiyan,14
40,Louis,13,40,Louis,13,40,Louis,13
40,Samuel,13,40,Samuel,13,40,Samuel,13
40,Emilio,13,40,Emilio,13,40,Emilio,13
40,Jonas,13,40,Jonas,13,40,Jonas,13
40,Jon,13,40,Jon,13,40,Jon,13
45,Alexander,12,45,Alexander,12,45,Alexander,12
45,Nelio,12,45,Nelio,12,45,Nelio,12
45,Noel,12,45,Noel,12,45,Noel,12
45,Kilian,12,45,Kilian,12,45,Kilian,12
49,Elia,11,49,Elia,11,49,Elia,11
49,Diego,11,49,Diego,11,49,Diego,11
49,Enea,11,49,Enea,11,49,Enea,11
49,Valentin,11,49,Valentin,11,49,Valentin,11
49,Gian,11,49,Gian,11,49,Gian,11
49,Adrian,11,49,Adrian,11,49,Adrian,11
55,Lino,10,55,Lino,10,55,Lino,10
55,Rafael,10,55,Rafael,10,55,Rafael,10
55,Lenny,10,55,Lenny,10,55,Lenny,10
55,Benjamin,10,55,Benjamin,10,55,Benjamin,10
55,Luis,10,55,Luis,10,55,Luis,10
55,Loris,10,55,Loris,10,55,Loris,10
55,Maximilian,10,55,Maximilian,10,55,Maximilian,10
55,Amar,10,55,Amar,10,55,Amar,10
55,Teo,10,55,Teo,10,55,Teo,10
55,Hamza,10,55,Hamza,10,55,Hamza,10
65,Mateo,9,65,Mateo,9,65,Mateo,9
65,Noé,9,65,Noé,9,65,Noé,9
65,Robin,9,65,Robin,9,65,Robin,9
65,Tim,9,65,Tim,9,65,Tim,9
65,Alessio,9,65,Alessio,9,65,Alessio,9
65,Mauro,9,65,Mauro,9,65,Mauro,9
65,John,9,65,John,9,65,John,9
65,Jason,9,65,Jason,9,65,Jason,9
65,Silas,9,65,Silas,9,65,Silas,9
65,Flavio,9,65,Flavio,9,65,Flavio,9
75,Julian,8,75,Julian,8,75,Julian,8
75,Max,8,75,Max,8,75,Max,8
75,Maël,8,75,Maël,8,75,Maël,8
75,Fabio,8,75,Fabio,8,75,Fabio,8
75,Henry,8,75,Henry,8,75,Henry,8
75,Aron,8,75,Aron,8,75,Aron,8
75,Joel,8,75,Joel,8,75,Joel,8
75,Jaron,8,75,Jaron,8,75,Jaron,8
75,Janis,8,75,Janis,8,75,Janis,8
75,Manuel,8,75,Manuel,8,75,Manuel,8
75,Rian,8,75,Rian,8,75,Rian,8
75,Andrej,8,75,Andrej,8,75,Andrej,8
87,Elio,7,87,Elio,7,87,Elio,7
87,Lukas,7,87,Lukas,7,87,Lukas,7
87,Paul,7,87,Paul,7,87,Paul,7
87,Andrin,7,87,Andrin,7,87,Andrin,7
87,Nicolas,7,87,Nicolas,7,87,Nicolas,7
87,Jaro,7,87,Jaro,7,87,Jaro,7
87,Lars,7,87,Lars,7,87,Lars,7
87,Jan,7,87,Jan,7,87,Jan,7
87,Gino,7,87,Gino,7,87,Gino,7
87,Zayn,7,87,Zayn,7,87,Zayn,7
87,Louie,7,87,Louie,7,87,Louie,7
87,Tiago,7,87,Tiago,7,87,Tiago,7
87,Ilyas,7,87,Ilyas,7,87,Ilyas,7
87,Lean,7,87,Lean,7,87,Lean,7
