Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Luca,3,1,Luca,3,1,Luca,3
1,Robin,3,1,Robin,3,1,Robin,3
1,Gian,3,1,Gian,3,1,Gian,3
1,Lukas,3,1,Lukas,3,1,Lukas,3
5,Leano,2,5,Leano,2,5,Leano,2
5,Livio,2,5,Livio,2,5,Livio,2
5,Leandro,2,5,Leandro,2,5,Leandro,2
5,Nick,2,5,Nick,2,5,Nick,2
5,Erik,2,5,Erik,2,5,Erik,2
10,Noah,1,10,Noah,1,10,Noah,1
10,Leo,1,10,Leo,1,10,Leo,1
10,Levi,1,10,Levi,1,10,Levi,1
10,Lio,1,10,Lio,1,10,Lio,1
10,Leonardo,1,10,Leonardo,1,10,Leonardo,1
10,Luan,1,10,Luan,1,10,Luan,1
10,Noé,1,10,Noé,1,10,Noé,1
10,David,1,10,David,1,10,David,1
10,Finn,1,10,Finn,1,10,Finn,1
10,Lian,1,10,Lian,1,10,Lian,1
10,Arthur,1,10,Arthur,1,10,Arthur,1
10,Mattia,1,10,Mattia,1,10,Mattia,1
10,Emil,1,10,Emil,1,10,Emil,1
10,Laurin,1,10,Laurin,1,10,Laurin,1
10,Levin,1,10,Levin,1,10,Levin,1
10,Jonas,1,10,Jonas,1,10,Jonas,1
10,Nelio,1,10,Nelio,1,10,Nelio,1
10,Enzo,1,10,Enzo,1,10,Enzo,1
10,Mauro,1,10,Mauro,1,10,Mauro,1
10,Aurelio,1,10,Aurelio,1,10,Aurelio,1
10,Simon,1,10,Simon,1,10,Simon,1
10,Gino,1,10,Gino,1,10,Gino,1
10,Liano,1,10,Liano,1,10,Liano,1
10,Aurel,1,10,Aurel,1,10,Aurel,1
10,Jaron,1,10,Jaron,1,10,Jaron,1
10,Noe,1,10,Noe,1,10,Noe,1
10,Jano,1,10,Jano,1,10,Jano,1
10,Andri,1,10,Andri,1,10,Andri,1
10,Fabian,1,10,Fabian,1,10,Fabian,1
10,Yuri,1,10,Yuri,1,10,Yuri,1
10,Flavio,1,10,Flavio,1,10,Flavio,1
10,Silas,1,10,Silas,1,10,Silas,1
10,Anton,1,10,Anton,1,10,Anton,1
10,Ramon,1,10,Ramon,1,10,Ramon,1
10,Mats,1,10,Mats,1,10,Mats,1
10,Bruno,1,10,Bruno,1,10,Bruno,1
10,Karl,1,10,Karl,1,10,Karl,1
10,Lauro,1,10,Lauro,1,10,Lauro,1
10,Luciano,1,10,Luciano,1,10,Luciano,1
10,Luano,1,10,Luano,1,10,Luano,1
10,Etienne,1,10,Etienne,1,10,Etienne,1
10,Armando,1,10,Armando,1,10,Armando,1
10,Nik,1,10,Nik,1,10,Nik,1
10,Severin,1,10,Severin,1,10,Severin,1
10,August,1,10,August,1,10,August,1
10,Maurus,1,10,Maurus,1,10,Maurus,1
10,Lenio,1,10,Lenio,1,10,Lenio,1
10,Enias,1,10,Enias,1,10,Enias,1
10,Seth,1,10,Seth,1,10,Seth,1
10,Silvano,1,10,Silvano,1,10,Silvano,1
60,Liam,0,60,Liam,0,60,Liam,0
60,Matteo,0,60,Matteo,0,60,Matteo,0
60,Gabriel,0,60,Gabriel,0,60,Gabriel,0
60,Louis,0,60,Louis,0,60,Louis,0
60,Elio,0,60,Elio,0,60,Elio,0
60,Leon,0,60,Leon,0,60,Leon,0
60,Elias,0,60,Elias,0,60,Elias,0
60,Aaron,0,60,Aaron,0,60,Aaron,0
60,Elia,0,60,Elia,0,60,Elia,0
60,Theo,0,60,Theo,0,60,Theo,0
60,Nino,0,60,Nino,0,60,Nino,0
60,Malik,0,60,Malik,0,60,Malik,0
60,Enea,0,60,Enea,0,60,Enea,0
60,Nico,0,60,Nico,0,60,Nico,0
60,Samuel,0,60,Samuel,0,60,Samuel,0
60,Mateo,0,60,Mateo,0,60,Mateo,0
60,Adam,0,60,Adam,0,60,Adam,0
60,Emilio,0,60,Emilio,0,60,Emilio,0
60,Nael,0,60,Nael,0,60,Nael,0
60,Mael,0,60,Mael,0,60,Mael,0
60,Henry,0,60,Henry,0,60,Henry,0
60,Julian,0,60,Julian,0,60,Julian,0
60,Diego,0,60,Diego,0,60,Diego,0
60,Kian,0,60,Kian,0,60,Kian,0
60,Ben,0,60,Ben,0,60,Ben,0
60,Oliver,0,60,Oliver,0,60,Oliver,0
60,Lino,0,60,Lino,0,60,Lino,0
60,Dario,0,60,Dario,0,60,Dario,0
60,Nathan,0,60,Nathan,0,60,Nathan,0
60,Alessio,0,60,Alessio,0,60,Alessio,0
60,Rafael,0,60,Rafael,0,60,Rafael,0
60,Lucas,0,60,Lucas,0,60,Lucas,0
60,Milo,0,60,Milo,0,60,Milo,0
60,Alexander,0,60,Alexander,0,60,Alexander,0
60,Lenny,0,60,Lenny,0,60,Lenny,0
60,Felix,0,60,Felix,0,60,Felix,0
60,Noel,0,60,Noel,0,60,Noel,0
60,Luka,0,60,Luka,0,60,Luka,0
60,Loris,0,60,Loris,0,60,Loris,0
60,Maël,0,60,Maël,0,60,Maël,0
60,Rayan,0,60,Rayan,0,60,Rayan,0
