Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Luan,5,1,Luan,5,1,Luan,5
1,Nino,5,1,Nino,5,1,Nino,5
1,Fabio,5,1,Fabio,5,1,Fabio,5
1,Kilian,5,1,Kilian,5,1,Kilian,5
5,Julian,4,5,Julian,4,5,Julian,4
5,Tim,4,5,Tim,4,5,Tim,4
7,Leo,3,7,Leo,3,7,Leo,3
7,Elio,3,7,Elio,3,7,Elio,3
7,Leano,3,7,Leano,3,7,Leano,3
7,Levi,3,7,Levi,3,7,Levi,3
7,Elia,3,7,Elia,3,7,Elia,3
7,Finn,3,7,Finn,3,7,Finn,3
7,Leandro,3,7,Leandro,3,7,Leandro,3
7,Laurin,3,7,Laurin,3,7,Laurin,3
7,Felix,3,7,Felix,3,7,Felix,3
7,Andrin,3,7,Andrin,3,7,Andrin,3
7,Timo,3,7,Timo,3,7,Timo,3
7,Marco,3,7,Marco,3,7,Marco,3
19,Noah,2,19,Noah,2,19,Noah,2
19,Liam,2,19,Liam,2,19,Liam,2
19,Matteo,2,19,Matteo,2,19,Matteo,2
19,Elias,2,19,Elias,2,19,Elias,2
19,Theo,2,19,Theo,2,19,Theo,2
19,Nico,2,19,Nico,2,19,Nico,2
19,Lian,2,19,Lian,2,19,Lian,2
19,Diego,2,19,Diego,2,19,Diego,2
19,Dario,2,19,Dario,2,19,Dario,2
19,Nelio,2,19,Nelio,2,19,Nelio,2
19,Gian,2,19,Gian,2,19,Gian,2
19,Max,2,19,Max,2,19,Max,2
19,Simon,2,19,Simon,2,19,Simon,2
19,Marlon,2,19,Marlon,2,19,Marlon,2
19,Miro,2,19,Miro,2,19,Miro,2
19,Eliano,2,19,Eliano,2,19,Eliano,2
19,John,2,19,John,2,19,John,2
19,Silas,2,19,Silas,2,19,Silas,2
19,Lorenz,2,19,Lorenz,2,19,Lorenz,2
19,Loic,2,19,Loic,2,19,Loic,2
39,Gabriel,1,39,Gabriel,1,39,Gabriel,1
39,Luca,1,39,Luca,1,39,Luca,1
39,Louis,1,39,Louis,1,39,Louis,1
39,Leon,1,39,Leon,1,39,Leon,1
39,Lio,1,39,Lio,1,39,Lio,1
39,Enea,1,39,Enea,1,39,Enea,1
39,David,1,39,David,1,39,David,1
39,Livio,1,39,Livio,1,39,Livio,1
39,Samuel,1,39,Samuel,1,39,Samuel,1
39,Adam,1,39,Adam,1,39,Adam,1
39,Mattia,1,39,Mattia,1,39,Mattia,1
39,Nael,1,39,Nael,1,39,Nael,1
39,Emil,1,39,Emil,1,39,Emil,1
39,Oliver,1,39,Oliver,1,39,Oliver,1
39,Jonas,1,39,Jonas,1,39,Jonas,1
39,Nathan,1,39,Nathan,1,39,Nathan,1
39,Alessio,1,39,Alessio,1,39,Alessio,1
39,Rafael,1,39,Rafael,1,39,Rafael,1
39,Noel,1,39,Noel,1,39,Noel,1
39,Jaro,1,39,Jaro,1,39,Jaro,1
39,Paul,1,39,Paul,1,39,Paul,1
39,Jan,1,39,Jan,1,39,Jan,1
39,Mauro,1,39,Mauro,1,39,Mauro,1
39,Romeo,1,39,Romeo,1,39,Romeo,1
39,Théo,1,39,Théo,1,39,Théo,1
39,Milan,1,39,Milan,1,39,Milan,1
39,Nils,1,39,Nils,1,39,Nils,1
39,Thomas,1,39,Thomas,1,39,Thomas,1
39,Damian,1,39,Damian,1,39,Damian,1
39,Arian,1,39,Arian,1,39,Arian,1
39,Raphael,1,39,Raphael,1,39,Raphael,1
39,Vincent,1,39,Vincent,1,39,Vincent,1
39,Valerio,1,39,Valerio,1,39,Valerio,1
39,Joshua,1,39,Joshua,1,39,Joshua,1
39,Nick,1,39,Nick,1,39,Nick,1
39,Noe,1,39,Noe,1,39,Noe,1
39,Ryan,1,39,Ryan,1,39,Ryan,1
39,Fynn,1,39,Fynn,1,39,Fynn,1
39,Jano,1,39,Jano,1,39,Jano,1
39,Elijah,1,39,Elijah,1,39,Elijah,1
39,Hamza,1,39,Hamza,1,39,Hamza,1
39,Jonah,1,39,Jonah,1,39,Jonah,1
39,Andri,1,39,Andri,1,39,Andri,1
39,Fabian,1,39,Fabian,1,39,Fabian,1
39,Marlo,1,39,Marlo,1,39,Marlo,1
39,Nando,1,39,Nando,1,39,Nando,1
39,Levio,1,39,Levio,1,39,Levio,1
39,Marin,1,39,Marin,1,39,Marin,1
39,Siar,1,39,Siar,1,39,Siar,1
39,Dominik,1,39,Dominik,1,39,Dominik,1
39,Ezra,1,39,Ezra,1,39,Ezra,1
39,Eric,1,39,Eric,1,39,Eric,1
39,Flavio,1,39,Flavio,1,39,Flavio,1
39,Mika,1,39,Mika,1,39,Mika,1
39,Tobias,1,39,Tobias,1,39,Tobias,1
39,Sam,1,39,Sam,1,39,Sam,1
39,Mats,1,39,Mats,1,39,Mats,1
39,Mike,1,39,Mike,1,39,Mike,1
39,Roman,1,39,Roman,1,39,Roman,1
39,Francisco,1,39,Francisco,1,39,Francisco,1
39,Rio,1,39,Rio,1,39,Rio,1
39,Ayaz,1,39,Ayaz,1,39,Ayaz,1
