Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,70,1,Noah,70,1,Noah,70
2,Liam,46,2,Liam,46,2,Liam,46
3,Nino,44,3,Nino,44,3,Nino,44
4,Matteo,43,4,Matteo,43,4,Matteo,43
5,Louis,34,5,Louis,34,5,Louis,34
6,Lio,33,6,Lio,33,6,Lio,33
6,Luan,33,6,Luan,33,6,Luan,33
8,Luca,32,8,Luca,32,8,Luca,32
9,Leano,31,9,Leano,31,9,Leano,31
10,Ben,30,10,Ben,30,10,Ben,30
11,Elio,29,11,Elio,29,11,Elio,29
11,Noé,29,11,Noé,29,11,Noé,29
13,Leo,28,13,Leo,28,13,Leo,28
14,Levi,27,14,Levi,27,14,Levi,27
15,Elias,26,15,Elias,26,15,Elias,26
15,Enea,26,15,Enea,26,15,Enea,26
15,Nico,26,15,Nico,26,15,Nico,26
15,Finn,26,15,Finn,26,15,Finn,26
15,Lino,26,15,Lino,26,15,Lino,26
20,Leon,25,20,Leon,25,20,Leon,25
20,Elia,25,20,Elia,25,20,Elia,25
20,Emilio,25,20,Emilio,25,20,Emilio,25
23,Malik,24,23,Malik,24,23,Malik,24
23,Livio,24,23,Livio,24,23,Livio,24
25,Mael,23,25,Mael,23,25,Mael,23
25,Levin,23,25,Levin,23,25,Levin,23
27,Milo,21,27,Milo,21,27,Milo,21
28,Henry,20,28,Henry,20,28,Henry,20
28,Loris,20,28,Loris,20,28,Loris,20
30,Theo,19,30,Theo,19,30,Theo,19
30,Nael,19,30,Nael,19,30,Nael,19
30,Nelio,19,30,Nelio,19,30,Nelio,19
30,Lars,19,30,Lars,19,30,Lars,19
30,Maleo,19,30,Maleo,19,30,Maleo,19
35,Gabriel,18,35,Gabriel,18,35,Gabriel,18
35,Leandro,18,35,Leandro,18,35,Leandro,18
35,Linus,18,35,Linus,18,35,Linus,18
38,Samuel,17,38,Samuel,17,38,Samuel,17
38,Mateo,17,38,Mateo,17,38,Mateo,17
38,Lian,17,38,Lian,17,38,Lian,17
38,Emil,17,38,Emil,17,38,Emil,17
38,Dario,17,38,Dario,17,38,Dario,17
38,Gian,17,38,Gian,17,38,Gian,17
38,Louie,17,38,Louie,17,38,Louie,17
45,Noel,16,45,Noel,16,45,Noel,16
45,Lukas,16,45,Lukas,16,45,Lukas,16
45,Jaro,16,45,Jaro,16,45,Jaro,16
45,Fabian,16,45,Fabian,16,45,Fabian,16
49,Laurin,15,49,Laurin,15,49,Laurin,15
49,Alessio,15,49,Alessio,15,49,Alessio,15
49,Aurelio,15,49,Aurelio,15,49,Aurelio,15
49,Marlon,15,49,Marlon,15,49,Marlon,15
53,Aaron,14,53,Aaron,14,53,Aaron,14
53,Mattia,14,53,Mattia,14,53,Mattia,14
53,Julian,14,53,Julian,14,53,Julian,14
53,Kian,14,53,Kian,14,53,Kian,14
53,Robin,14,53,Robin,14,53,Robin,14
53,Nevio,14,53,Nevio,14,53,Nevio,14
53,Miro,14,53,Miro,14,53,Miro,14
53,Kilian,14,53,Kilian,14,53,Kilian,14
53,Nick,14,53,Nick,14,53,Nick,14
53,Jona,14,53,Jona,14,53,Jona,14
63,Jonas,13,63,Jonas,13,63,Jonas,13
63,Lenny,13,63,Lenny,13,63,Lenny,13
63,Maël,13,63,Maël,13,63,Maël,13
63,Max,13,63,Max,13,63,Max,13
63,Manuel,13,63,Manuel,13,63,Manuel,13
68,Nilo,12,68,Nilo,12,68,Nilo,12
69,Leonardo,11,69,Leonardo,11,69,Leonardo,11
69,David,11,69,David,11,69,David,11
69,Adam,11,69,Adam,11,69,Adam,11
69,Arthur,11,69,Arthur,11,69,Arthur,11
69,Felix,11,69,Felix,11,69,Felix,11
69,Aron,11,69,Aron,11,69,Aron,11
69,Tim,11,69,Tim,11,69,Tim,11
69,Timo,11,69,Timo,11,69,Timo,11
69,Jon,11,69,Jon,11,69,Jon,11
69,Fabio,11,69,Fabio,11,69,Fabio,11
69,Nils,11,69,Nils,11,69,Nils,11
69,Damian,11,69,Damian,11,69,Damian,11
69,Levio,11,69,Levio,11,69,Levio,11
69,Loïc,11,69,Loïc,11,69,Loïc,11
69,Luc,11,69,Luc,11,69,Luc,11
84,Diego,10,84,Diego,10,84,Diego,10
84,Benjamin,10,84,Benjamin,10,84,Benjamin,10
84,Lean,10,84,Lean,10,84,Lean,10
84,Yanis,10,84,Yanis,10,84,Yanis,10
88,Mauro,9,88,Mauro,9,88,Mauro,9
88,Gino,9,88,Gino,9,88,Gino,9
88,Milan,9,88,Milan,9,88,Milan,9
88,Oscar,9,88,Oscar,9,88,Oscar,9
88,Eden,9,88,Eden,9,88,Eden,9
88,Ennio,9,88,Ennio,9,88,Ennio,9
88,Joel,9,88,Joel,9,88,Joel,9
88,Miran,9,88,Miran,9,88,Miran,9
88,Moritz,9,88,Moritz,9,88,Moritz,9
88,Marlo,9,88,Marlo,9,88,Marlo,9
88,Yuri,9,88,Yuri,9,88,Yuri,9
99,Nathan,8,99,Nathan,8,99,Nathan,8
99,Rafael,8,99,Rafael,8,99,Rafael,8
