Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,20,1,Noah,20,1,Noah,20
2,Liam,13,2,Liam,13,2,Liam,13
3,Emilio,11,3,Emilio,11,3,Emilio,11
4,Matteo,10,4,Matteo,10,4,Matteo,10
4,Gabriel,10,4,Gabriel,10,4,Gabriel,10
4,Leo,10,4,Leo,10,4,Leo,10
4,Elio,10,4,Elio,10,4,Elio,10
4,Leano,10,4,Leano,10,4,Leano,10
4,Levi,10,4,Levi,10,4,Levi,10
4,Aaron,10,4,Aaron,10,4,Aaron,10
4,Luan,10,4,Luan,10,4,Luan,10
4,Kian,10,4,Kian,10,4,Kian,10
13,Leon,9,13,Leon,9,13,Leon,9
14,Theo,8,14,Theo,8,14,Theo,8
14,Finn,8,14,Finn,8,14,Finn,8
14,Noel,8,14,Noel,8,14,Noel,8
17,Elias,7,17,Elias,7,17,Elias,7
17,Mateo,7,17,Mateo,7,17,Mateo,7
17,Lian,7,17,Lian,7,17,Lian,7
17,Lino,7,17,Lino,7,17,Lino,7
17,Loris,7,17,Loris,7,17,Loris,7
17,Lars,7,17,Lars,7,17,Lars,7
23,Louis,6,23,Louis,6,23,Louis,6
23,Lio,6,23,Lio,6,23,Lio,6
23,Elia,6,23,Elia,6,23,Elia,6
23,David,6,23,David,6,23,David,6
23,Mael,6,23,Mael,6,23,Mael,6
23,Emil,6,23,Emil,6,23,Emil,6
23,Julian,6,23,Julian,6,23,Julian,6
23,Laurin,6,23,Laurin,6,23,Laurin,6
23,Alexander,6,23,Alexander,6,23,Alexander,6
23,Daniel,6,23,Daniel,6,23,Daniel,6
23,Andrin,6,23,Andrin,6,23,Andrin,6
23,Aurel,6,23,Aurel,6,23,Aurel,6
35,Luca,5,35,Luca,5,35,Luca,5
35,Nino,5,35,Nino,5,35,Nino,5
35,Malik,5,35,Malik,5,35,Malik,5
35,Enea,5,35,Enea,5,35,Enea,5
35,Ben,5,35,Ben,5,35,Ben,5
35,Dario,5,35,Dario,5,35,Dario,5
35,Nelio,5,35,Nelio,5,35,Nelio,5
35,Milo,5,35,Milo,5,35,Milo,5
35,Jaro,5,35,Jaro,5,35,Jaro,5
35,Paul,5,35,Paul,5,35,Paul,5
35,Valentin,5,35,Valentin,5,35,Valentin,5
35,Aron,5,35,Aron,5,35,Aron,5
35,Jan,5,35,Jan,5,35,Jan,5
35,Max,5,35,Max,5,35,Max,5
35,Miro,5,35,Miro,5,35,Miro,5
35,Oskar,5,35,Oskar,5,35,Oskar,5
35,Maximilian,5,35,Maximilian,5,35,Maximilian,5
35,Maleo,5,35,Maleo,5,35,Maleo,5
35,Fynn,5,35,Fynn,5,35,Fynn,5
35,Ali,5,35,Ali,5,35,Ali,5
55,Noé,4,55,Noé,4,55,Noé,4
55,Samuel,4,55,Samuel,4,55,Samuel,4
55,Mattia,4,55,Mattia,4,55,Mattia,4
55,Nael,4,55,Nael,4,55,Nael,4
55,Oliver,4,55,Oliver,4,55,Oliver,4
55,Gian,4,55,Gian,4,55,Gian,4
55,Nevio,4,55,Nevio,4,55,Nevio,4
55,Timo,4,55,Timo,4,55,Timo,4
55,Marlon,4,55,Marlon,4,55,Marlon,4
55,Adrian,4,55,Adrian,4,55,Adrian,4
55,Milan,4,55,Milan,4,55,Milan,4
55,Colin,4,55,Colin,4,55,Colin,4
55,Lean,4,55,Lean,4,55,Lean,4
55,Kai,4,55,Kai,4,55,Kai,4
55,Jaron,4,55,Jaron,4,55,Jaron,4
55,Thiago,4,55,Thiago,4,55,Thiago,4
55,Kiyan,4,55,Kiyan,4,55,Kiyan,4
55,Moritz,4,55,Moritz,4,55,Moritz,4
55,Levio,4,55,Levio,4,55,Levio,4
55,Adriano,4,55,Adriano,4,55,Adriano,4
55,Danilo,4,55,Danilo,4,55,Danilo,4
76,Leonardo,3,76,Leonardo,3,76,Leonardo,3
76,Arthur,3,76,Arthur,3,76,Arthur,3
76,Leandro,3,76,Leandro,3,76,Leandro,3
76,Henry,3,76,Henry,3,76,Henry,3
76,Jonas,3,76,Jonas,3,76,Jonas,3
76,Luka,3,76,Luka,3,76,Luka,3
76,Tim,3,76,Tim,3,76,Tim,3
76,Benjamin,3,76,Benjamin,3,76,Benjamin,3
76,Aurelio,3,76,Aurelio,3,76,Aurelio,3
76,Santiago,3,76,Santiago,3,76,Santiago,3
76,Nils,3,76,Nils,3,76,Nils,3
76,Damian,3,76,Damian,3,76,Damian,3
76,Nicolas,3,76,Nicolas,3,76,Nicolas,3
76,Raphael,3,76,Raphael,3,76,Raphael,3
76,Ennio,3,76,Ennio,3,76,Ennio,3
76,Zayn,3,76,Zayn,3,76,Zayn,3
76,Joshua,3,76,Joshua,3,76,Joshua,3
76,Louie,3,76,Louie,3,76,Louie,3
76,Noe,3,76,Noe,3,76,Noe,3
76,Miran,3,76,Miran,3,76,Miran,3
76,Jano,3,76,Jano,3,76,Jano,3
76,Maxim,3,76,Maxim,3,76,Maxim,3
76,Elijah,3,76,Elijah,3,76,Elijah,3
76,Michael,3,76,Michael,3,76,Michael,3
76,Kiano,3,76,Kiano,3,76,Kiano,3
