Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Gabriel,26,1,Gabriel,26,1,Gabriel,26
2,Noah,24,2,Noah,24,2,Noah,24
3,Liam,20,3,Liam,20,3,Liam,20
4,Noé,18,4,Noé,18,4,Noé,18
5,Louis,17,5,Louis,17,5,Louis,17
6,Arthur,15,6,Arthur,15,6,Arthur,15
7,Jules,14,7,Jules,14,7,Jules,14
8,Aaron,12,8,Aaron,12,8,Aaron,12
8,Isaac,12,8,Isaac,12,8,Isaac,12
8,Ayden,12,8,Ayden,12,8,Ayden,12
11,Luca,11,11,Luca,11,11,Luca,11
11,William,11,11,William,11,11,William,11
11,Nolan,11,11,Nolan,11,11,Nolan,11
11,Martin,11,11,Martin,11,11,Martin,11
15,Matteo,10,15,Matteo,10,15,Matteo,10
15,Elio,10,15,Elio,10,15,Elio,10
15,Mattia,10,15,Mattia,10,15,Mattia,10
15,Nathan,10,15,Nathan,10,15,Nathan,10
15,Maël,10,15,Maël,10,15,Maël,10
15,Rayan,10,15,Rayan,10,15,Rayan,10
15,Léo,10,15,Léo,10,15,Léo,10
15,Léon,10,15,Léon,10,15,Léon,10
15,Emile,10,15,Emile,10,15,Emile,10
24,Elias,9,24,Elias,9,24,Elias,9
25,Leo,8,25,Leo,8,25,Leo,8
25,Leano,8,25,Leano,8,25,Leano,8
25,Livio,8,25,Livio,8,25,Livio,8
25,Oliver,8,25,Oliver,8,25,Oliver,8
25,Noam,8,25,Noam,8,25,Noam,8
25,Eliott,8,25,Eliott,8,25,Eliott,8
25,Thibault,8,25,Thibault,8,25,Thibault,8
32,Mael,7,32,Mael,7,32,Mael,7
32,Lucas,7,32,Lucas,7,32,Lucas,7
32,Lenny,7,32,Lenny,7,32,Lenny,7
32,Paul,7,32,Paul,7,32,Paul,7
32,Valentin,7,32,Valentin,7,32,Valentin,7
32,Benjamin,7,32,Benjamin,7,32,Benjamin,7
32,Lorenzo,7,32,Lorenzo,7,32,Lorenzo,7
32,Alexis,7,32,Alexis,7,32,Alexis,7
32,Raphaël,7,32,Raphaël,7,32,Raphaël,7
32,Clément,7,32,Clément,7,32,Clément,7
32,Charly,7,32,Charly,7,32,Charly,7
43,Nino,6,43,Nino,6,43,Nino,6
43,Malik,6,43,Malik,6,43,Malik,6
43,David,6,43,David,6,43,David,6
43,Nael,6,43,Nael,6,43,Nael,6
43,Alessio,6,43,Alessio,6,43,Alessio,6
43,Rafael,6,43,Rafael,6,43,Rafael,6
43,Enzo,6,43,Enzo,6,43,Enzo,6
43,Santiago,6,43,Santiago,6,43,Santiago,6
43,Milan,6,43,Milan,6,43,Milan,6
43,Thomas,6,43,Thomas,6,43,Thomas,6
43,Victor,6,43,Victor,6,43,Victor,6
43,Maxime,6,43,Maxime,6,43,Maxime,6
43,Malo,6,43,Malo,6,43,Malo,6
43,Aloïs,6,43,Aloïs,6,43,Aloïs,6
43,Justin,6,43,Justin,6,43,Justin,6
58,Leon,5,58,Leon,5,58,Leon,5
58,Leonardo,5,58,Leonardo,5,58,Leonardo,5
58,Luan,5,58,Luan,5,58,Luan,5
58,Mateo,5,58,Mateo,5,58,Mateo,5
58,Adam,5,58,Adam,5,58,Adam,5
58,Henry,5,58,Henry,5,58,Henry,5
58,Diego,5,58,Diego,5,58,Diego,5
58,Luka,5,58,Luka,5,58,Luka,5
58,Aron,5,58,Aron,5,58,Aron,5
58,Ethan,5,58,Ethan,5,58,Ethan,5
58,Nils,5,58,Nils,5,58,Nils,5
58,Alexandre,5,58,Alexandre,5,58,Alexandre,5
58,Mathias,5,58,Mathias,5,58,Mathias,5
58,Tom,5,58,Tom,5,58,Tom,5
58,Adem,5,58,Adem,5,58,Adem,5
58,Naël,5,58,Naël,5,58,Naël,5
58,Tomás,5,58,Tomás,5,58,Tomás,5
58,Antoine,5,58,Antoine,5,58,Antoine,5
58,Timéo,5,58,Timéo,5,58,Timéo,5
58,Adrien,5,58,Adrien,5,58,Adrien,5
58,Eyden,5,58,Eyden,5,58,Eyden,5
58,Armand,5,58,Armand,5,58,Armand,5
80,Levi,4,80,Levi,4,80,Levi,4
80,Lio,4,80,Lio,4,80,Lio,4
80,Samuel,4,80,Samuel,4,80,Samuel,4
80,Leandro,4,80,Leandro,4,80,Leandro,4
80,Julian,4,80,Julian,4,80,Julian,4
80,Robin,4,80,Robin,4,80,Robin,4
80,Tim,4,80,Tim,4,80,Tim,4
80,Romeo,4,80,Romeo,4,80,Romeo,4
80,Max,4,80,Max,4,80,Max,4
80,Simon,4,80,Simon,4,80,Simon,4
80,Amar,4,80,Amar,4,80,Amar,4
80,Oscar,4,80,Oscar,4,80,Oscar,4
80,Dylan,4,80,Dylan,4,80,Dylan,4
80,Alex,4,80,Alex,4,80,Alex,4
80,Hugo,4,80,Hugo,4,80,Hugo,4
80,Marco,4,80,Marco,4,80,Marco,4
80,Jonah,4,80,Jonah,4,80,Jonah,4
80,Sacha,4,80,Sacha,4,80,Sacha,4
80,Yanis,4,80,Yanis,4,80,Yanis,4
80,Logan,4,80,Logan,4,80,Logan,4
80,Owen,4,80,Owen,4,80,Owen,4
