Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,36,1,Noah,36,1,Noah,36
2,Gabriel,35,2,Gabriel,35,2,Gabriel,35
3,Louis,27,3,Louis,27,3,Louis,27
4,Liam,22,4,Liam,22,4,Liam,22
4,Adam,22,4,Adam,22,4,Adam,22
4,Ethan,22,4,Ethan,22,4,Ethan,22
7,Arthur,21,7,Arthur,21,7,Arthur,21
8,Lucas,19,8,Lucas,19,8,Lucas,19
9,Luca,18,9,Luca,18,9,Luca,18
10,Enzo,17,10,Enzo,17,10,Enzo,17
11,Matteo,16,11,Matteo,16,11,Matteo,16
11,Leo,16,11,Leo,16,11,Leo,16
11,Aaron,16,11,Aaron,16,11,Aaron,16
11,Victor,16,11,Victor,16,11,Victor,16
15,Noé,14,15,Noé,14,15,Noé,14
15,Isaac,14,15,Isaac,14,15,Isaac,14
15,William,14,15,William,14,15,William,14
15,Léo,14,15,Léo,14,15,Léo,14
19,Diego,13,19,Diego,13,19,Diego,13
19,Lorenzo,13,19,Lorenzo,13,19,Lorenzo,13
19,Alexandre,13,19,Alexandre,13,19,Alexandre,13
22,Alessio,12,22,Alessio,12,22,Alessio,12
22,Benjamin,12,22,Benjamin,12,22,Benjamin,12
22,Léon,12,22,Léon,12,22,Léon,12
22,Nolan,12,22,Nolan,12,22,Nolan,12
22,Aylan,12,22,Aylan,12,22,Aylan,12
27,Leonardo,11,27,Leonardo,11,27,Leonardo,11
27,Rafael,11,27,Rafael,11,27,Rafael,11
27,Daniel,11,27,Daniel,11,27,Daniel,11
27,Raphaël,11,27,Raphaël,11,27,Raphaël,11
31,Elio,10,31,Elio,10,31,Elio,10
31,David,10,31,David,10,31,David,10
31,Samuel,10,31,Samuel,10,31,Samuel,10
31,Théo,10,31,Théo,10,31,Théo,10
31,Ayden,10,31,Ayden,10,31,Ayden,10
31,Hugo,10,31,Hugo,10,31,Hugo,10
31,Andrea,10,31,Andrea,10,31,Andrea,10
31,Sacha,10,31,Sacha,10,31,Sacha,10
39,Theo,9,39,Theo,9,39,Theo,9
39,Paul,9,39,Paul,9,39,Paul,9
39,Santiago,9,39,Santiago,9,39,Santiago,9
39,Eden,9,39,Eden,9,39,Eden,9
39,Logan,9,39,Logan,9,39,Logan,9
44,Elias,8,44,Elias,8,44,Elias,8
44,Luan,8,44,Luan,8,44,Luan,8
44,Oliver,8,44,Oliver,8,44,Oliver,8
44,Nathan,8,44,Nathan,8,44,Nathan,8
44,Adrian,8,44,Adrian,8,44,Adrian,8
44,Jules,8,44,Jules,8,44,Jules,8
50,Leandro,7,50,Leandro,7,50,Leandro,7
50,Mattia,7,50,Mattia,7,50,Mattia,7
50,Milo,7,50,Milo,7,50,Milo,7
50,Alexander,7,50,Alexander,7,50,Alexander,7
50,Lenny,7,50,Lenny,7,50,Lenny,7
50,Maël,7,50,Maël,7,50,Maël,7
50,Valentin,7,50,Valentin,7,50,Valentin,7
50,Aron,7,50,Aron,7,50,Aron,7
50,Simon,7,50,Simon,7,50,Simon,7
50,Thomas,7,50,Thomas,7,50,Thomas,7
50,Zayn,7,50,Zayn,7,50,Zayn,7
50,Charlie,7,50,Charlie,7,50,Charlie,7
50,Naël,7,50,Naël,7,50,Naël,7
50,Lyam,7,50,Lyam,7,50,Lyam,7
50,Sohan,7,50,Sohan,7,50,Sohan,7
65,Milan,6,65,Milan,6,65,Milan,6
65,Oscar,6,65,Oscar,6,65,Oscar,6
65,Ayan,6,65,Ayan,6,65,Ayan,6
65,Evan,6,65,Evan,6,65,Evan,6
65,Edoardo,6,65,Edoardo,6,65,Edoardo,6
65,Ali,6,65,Ali,6,65,Ali,6
65,Charles,6,65,Charles,6,65,Charles,6
65,Marc,6,65,Marc,6,65,Marc,6
65,Matias,6,65,Matias,6,65,Matias,6
65,Basile,6,65,Basile,6,65,Basile,6
65,Tomás,6,65,Tomás,6,65,Tomás,6
65,Achille,6,65,Achille,6,65,Achille,6
77,Mateo,5,77,Mateo,5,77,Mateo,5
77,Henry,5,77,Henry,5,77,Henry,5
77,Teo,5,77,Teo,5,77,Teo,5
77,Noa,5,77,Noa,5,77,Noa,5
77,Henri,5,77,Henri,5,77,Henri,5
77,Mathias,5,77,Mathias,5,77,Mathias,5
77,Maxime,5,77,Maxime,5,77,Maxime,5
77,Loan,5,77,Loan,5,77,Loan,5
77,Owen,5,77,Owen,5,77,Owen,5
77,Gaspard,5,77,Gaspard,5,77,Gaspard,5
77,Antoine,5,77,Antoine,5,77,Antoine,5
77,Lucien,5,77,Lucien,5,77,Lucien,5
77,Kenan,5,77,Kenan,5,77,Kenan,5
77,Adrien,5,77,Adrien,5,77,Adrien,5
77,Sasha,5,77,Sasha,5,77,Sasha,5
77,Ezio,5,77,Ezio,5,77,Ezio,5
77,Maxence,5,77,Maxence,5,77,Maxence,5
77,Edouard,5,77,Edouard,5,77,Edouard,5
77,Issa,5,77,Issa,5,77,Issa,5
96,Leon,4,96,Leon,4,96,Leon,4
96,Emil,4,96,Emil,4,96,Emil,4
96,Kian,4,96,Kian,4,96,Kian,4
96,Dario,4,96,Dario,4,96,Dario,4
96,Loris,4,96,Loris,4,96,Loris,4
