Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Liam,5,1,Liam,5,1,Liam,5
1,Elias,5,1,Elias,5,1,Elias,5
3,Malik,3,3,Malik,3,3,Malik,3
3,Dario,3,3,Dario,3,3,Dario,3
3,Tobias,3,3,Tobias,3,3,Tobias,3
6,Matteo,2,6,Matteo,2,6,Matteo,2
6,Gabriel,2,6,Gabriel,2,6,Gabriel,2
6,Leon,2,6,Leon,2,6,Leon,2
6,Levi,2,6,Levi,2,6,Levi,2
6,Nino,2,6,Nino,2,6,Nino,2
6,David,2,6,David,2,6,David,2
6,Lian,2,6,Lian,2,6,Lian,2
6,Leandro,2,6,Leandro,2,6,Leandro,2
6,Julian,2,6,Julian,2,6,Julian,2
6,Laurin,2,6,Laurin,2,6,Laurin,2
6,Nevio,2,6,Nevio,2,6,Nevio,2
6,Luar,2,6,Luar,2,6,Luar,2
6,Tomás,2,6,Tomás,2,6,Tomás,2
6,Siro,2,6,Siro,2,6,Siro,2
6,Rudolf,2,6,Rudolf,2,6,Rudolf,2
6,Saro,2,6,Saro,2,6,Saro,2
22,Noah,1,22,Noah,1,22,Noah,1
22,Leo,1,22,Leo,1,22,Leo,1
22,Elio,1,22,Elio,1,22,Elio,1
22,Leano,1,22,Leano,1,22,Leano,1
22,Lio,1,22,Lio,1,22,Lio,1
22,Livio,1,22,Livio,1,22,Livio,1
22,Nico,1,22,Nico,1,22,Nico,1
22,Finn,1,22,Finn,1,22,Finn,1
22,Mateo,1,22,Mateo,1,22,Mateo,1
22,Adam,1,22,Adam,1,22,Adam,1
22,Mattia,1,22,Mattia,1,22,Mattia,1
22,Henry,1,22,Henry,1,22,Henry,1
22,Emil,1,22,Emil,1,22,Emil,1
22,Kian,1,22,Kian,1,22,Kian,1
22,Oliver,1,22,Oliver,1,22,Oliver,1
22,Levin,1,22,Levin,1,22,Levin,1
22,Lino,1,22,Lino,1,22,Lino,1
22,Rafael,1,22,Rafael,1,22,Rafael,1
22,Gian,1,22,Gian,1,22,Gian,1
22,Alexander,1,22,Alexander,1,22,Alexander,1
22,Lenny,1,22,Lenny,1,22,Lenny,1
22,Felix,1,22,Felix,1,22,Felix,1
22,Noel,1,22,Noel,1,22,Noel,1
22,Loris,1,22,Loris,1,22,Loris,1
22,Daniel,1,22,Daniel,1,22,Daniel,1
22,Paul,1,22,Paul,1,22,Paul,1
22,Linus,1,22,Linus,1,22,Linus,1
22,Andrin,1,22,Andrin,1,22,Andrin,1
22,Luis,1,22,Luis,1,22,Luis,1
22,Aurelio,1,22,Aurelio,1,22,Aurelio,1
22,Oskar,1,22,Oskar,1,22,Oskar,1
22,Nils,1,22,Nils,1,22,Nils,1
22,Ayan,1,22,Ayan,1,22,Ayan,1
22,Ayden,1,22,Ayden,1,22,Ayden,1
22,Maleo,1,22,Maleo,1,22,Maleo,1
22,Ennio,1,22,Ennio,1,22,Ennio,1
22,Dylan,1,22,Dylan,1,22,Dylan,1
22,Colin,1,22,Colin,1,22,Colin,1
22,Joel,1,22,Joel,1,22,Joel,1
22,Noar,1,22,Noar,1,22,Noar,1
22,Marco,1,22,Marco,1,22,Marco,1
22,Amir,1,22,Amir,1,22,Amir,1
22,Mathias,1,22,Mathias,1,22,Mathias,1
22,Fabian,1,22,Fabian,1,22,Fabian,1
22,Ajan,1,22,Ajan,1,22,Ajan,1
22,Dominik,1,22,Dominik,1,22,Dominik,1
22,Nilo,1,22,Nilo,1,22,Nilo,1
22,Silas,1,22,Silas,1,22,Silas,1
22,Bryan,1,22,Bryan,1,22,Bryan,1
22,Ramon,1,22,Ramon,1,22,Ramon,1
22,Ron,1,22,Ron,1,22,Ron,1
22,Joris,1,22,Joris,1,22,Joris,1
22,Diar,1,22,Diar,1,22,Diar,1
22,Lior,1,22,Lior,1,22,Lior,1
22,Mohamed,1,22,Mohamed,1,22,Mohamed,1
22,Troi,1,22,Troi,1,22,Troi,1
22,Matej,1,22,Matej,1,22,Matej,1
22,Lazar,1,22,Lazar,1,22,Lazar,1
22,Miguel,1,22,Miguel,1,22,Miguel,1
22,Yaro,1,22,Yaro,1,22,Yaro,1
22,Kenan,1,22,Kenan,1,22,Kenan,1
22,Rio,1,22,Rio,1,22,Rio,1
22,Kylian,1,22,Kylian,1,22,Kylian,1
22,Samu,1,22,Samu,1,22,Samu,1
22,Jakob,1,22,Jakob,1,22,Jakob,1
22,Yaron,1,22,Yaron,1,22,Yaron,1
22,Arno,1,22,Arno,1,22,Arno,1
22,Yorin,1,22,Yorin,1,22,Yorin,1
22,Roan,1,22,Roan,1,22,Roan,1
22,Vicente,1,22,Vicente,1,22,Vicente,1
22,Muhammad,1,22,Muhammad,1,22,Muhammad,1
22,Remo,1,22,Remo,1,22,Remo,1
22,Yari,1,22,Yari,1,22,Yari,1
22,Arion,1,22,Arion,1,22,Arion,1
22,Dan,1,22,Dan,1,22,Dan,1
22,Anuar,1,22,Anuar,1,22,Anuar,1
22,Mirco,1,22,Mirco,1,22,Mirco,1
22,Mikail,1,22,Mikail,1,22,Mikail,1
22,Leevi,1,22,Leevi,1,22,Leevi,1
