Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Elio,8,1,Elio,8,1,Elio,8
2,Evan,7,2,Evan,7,2,Evan,7
3,Louis,6,3,Louis,6,3,Louis,6
3,Léandre,6,3,Léandre,6,3,Léandre,6
5,Noé,5,5,Noé,5,5,Noé,5
5,Léon,5,5,Léon,5,5,Léon,5
7,Noah,4,7,Noah,4,7,Noah,4
7,Samuel,4,7,Samuel,4,7,Samuel,4
7,Enzo,4,7,Enzo,4,7,Enzo,4
7,Tim,4,7,Tim,4,7,Tim,4
7,Lenny,4,7,Lenny,4,7,Lenny,4
7,Léo,4,7,Léo,4,7,Léo,4
7,Eden,4,7,Eden,4,7,Eden,4
7,Malo,4,7,Malo,4,7,Malo,4
7,Soan,4,7,Soan,4,7,Soan,4
16,Arthur,3,16,Arthur,3,16,Arthur,3
16,Robin,3,16,Robin,3,16,Robin,3
16,Lino,3,16,Lino,3,16,Lino,3
16,Ethan,3,16,Ethan,3,16,Ethan,3
16,Logan,3,16,Logan,3,16,Logan,3
16,Ilan,3,16,Ilan,3,16,Ilan,3
22,Liam,2,22,Liam,2,22,Liam,2
22,Adam,2,22,Adam,2,22,Adam,2
22,Mattia,2,22,Mattia,2,22,Mattia,2
22,Milo,2,22,Milo,2,22,Milo,2
22,Nathan,2,22,Nathan,2,22,Nathan,2
22,Isaac,2,22,Isaac,2,22,Isaac,2
22,Simon,2,22,Simon,2,22,Simon,2
22,Jules,2,22,Jules,2,22,Jules,2
22,Victor,2,22,Victor,2,22,Victor,2
22,Tiago,2,22,Tiago,2,22,Tiago,2
22,Hugo,2,22,Hugo,2,22,Hugo,2
22,Ennio,2,22,Ennio,2,22,Ennio,2
22,Tom,2,22,Tom,2,22,Tom,2
22,Maxime,2,22,Maxime,2,22,Maxime,2
22,Andrea,2,22,Andrea,2,22,Andrea,2
22,Timéo,2,22,Timéo,2,22,Timéo,2
22,Alan,2,22,Alan,2,22,Alan,2
22,Gaspard,2,22,Gaspard,2,22,Gaspard,2
22,Leyan,2,22,Leyan,2,22,Leyan,2
22,Aylan,2,22,Aylan,2,22,Aylan,2
22,Eliot,2,22,Eliot,2,22,Eliot,2
22,Kyan,2,22,Kyan,2,22,Kyan,2
22,Aurélien,2,22,Aurélien,2,22,Aurélien,2
22,Elyo,2,22,Elyo,2,22,Elyo,2
22,Tao,2,22,Tao,2,22,Tao,2
22,Malone,2,22,Malone,2,22,Malone,2
22,Yeray,2,22,Yeray,2,22,Yeray,2
49,Gabriel,1,49,Gabriel,1,49,Gabriel,1
49,Elias,1,49,Elias,1,49,Elias,1
49,Aaron,1,49,Aaron,1,49,Aaron,1
49,Elia,1,49,Elia,1,49,Elia,1
49,Levi,1,49,Levi,1,49,Levi,1
49,Livio,1,49,Livio,1,49,Livio,1
49,Malik,1,49,Malik,1,49,Malik,1
49,Diego,1,49,Diego,1,49,Diego,1
49,Emil,1,49,Emil,1,49,Emil,1
49,Nael,1,49,Nael,1,49,Nael,1
49,Kian,1,49,Kian,1,49,Kian,1
49,Daniel,1,49,Daniel,1,49,Daniel,1
49,Emilio,1,49,Emilio,1,49,Emilio,1
49,Lucas,1,49,Lucas,1,49,Lucas,1
49,Max,1,49,Max,1,49,Max,1
49,Alessio,1,49,Alessio,1,49,Alessio,1
49,Maël,1,49,Maël,1,49,Maël,1
49,Valentin,1,49,Valentin,1,49,Valentin,1
49,Théo,1,49,Théo,1,49,Théo,1
49,James,1,49,James,1,49,James,1
49,Paul,1,49,Paul,1,49,Paul,1
49,Nicolas,1,49,Nicolas,1,49,Nicolas,1
49,Alessandro,1,49,Alessandro,1,49,Alessandro,1
49,Nolan,1,49,Nolan,1,49,Nolan,1
49,Oscar,1,49,Oscar,1,49,Oscar,1
49,Ayan,1,49,Ayan,1,49,Ayan,1
49,Ryan,1,49,Ryan,1,49,Ryan,1
49,Amar,1,49,Amar,1,49,Amar,1
49,Amir,1,49,Amir,1,49,Amir,1
49,Alexis,1,49,Alexis,1,49,Alexis,1
49,Jonathan,1,49,Jonathan,1,49,Jonathan,1
49,Alex,1,49,Alex,1,49,Alex,1
49,Charlie,1,49,Charlie,1,49,Charlie,1
49,Teo,1,49,Teo,1,49,Teo,1
49,Lorik,1,49,Lorik,1,49,Lorik,1
49,Mathias,1,49,Mathias,1,49,Mathias,1
49,Eliott,1,49,Eliott,1,49,Eliott,1
49,Jonah,1,49,Jonah,1,49,Jonah,1
49,Rian,1,49,Rian,1,49,Rian,1
49,Ayden,1,49,Ayden,1,49,Ayden,1
49,Ali,1,49,Ali,1,49,Ali,1
49,Lyam,1,49,Lyam,1,49,Lyam,1
49,Elijah,1,49,Elijah,1,49,Elijah,1
49,Miran,1,49,Miran,1,49,Miran,1
49,Loïc,1,49,Loïc,1,49,Loïc,1
49,Antoine,1,49,Antoine,1,49,Antoine,1
49,Jack,1,49,Jack,1,49,Jack,1
49,Imran,1,49,Imran,1,49,Imran,1
49,Loan,1,49,Loan,1,49,Loan,1
49,Owen,1,49,Owen,1,49,Owen,1
49,Achille,1,49,Achille,1,49,Achille,1
49,Eli,1,49,Eli,1,49,Eli,1
