Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Aaron,3,1,Aaron,3,1,Aaron,3
1,Luan,3,1,Luan,3,1,Luan,3
1,Finn,3,1,Finn,3,1,Finn,3
1,Jaro,3,1,Jaro,3,1,Jaro,3
1,Mauro,3,1,Mauro,3,1,Mauro,3
1,Timo,3,1,Timo,3,1,Timo,3
1,Fabio,3,1,Fabio,3,1,Fabio,3
8,Luca,2,8,Luca,2,8,Luca,2
8,Leo,2,8,Leo,2,8,Leo,2
8,Leano,2,8,Leano,2,8,Leano,2
8,Elia,2,8,Elia,2,8,Elia,2
8,Leandro,2,8,Leandro,2,8,Leandro,2
8,Henry,2,8,Henry,2,8,Henry,2
8,Julian,2,8,Julian,2,8,Julian,2
8,Lino,2,8,Lino,2,8,Lino,2
8,Jonas,2,8,Jonas,2,8,Jonas,2
8,Andrin,2,8,Andrin,2,8,Andrin,2
8,Adrian,2,8,Adrian,2,8,Adrian,2
8,Kilian,2,8,Kilian,2,8,Kilian,2
8,Maleo,2,8,Maleo,2,8,Maleo,2
8,Zayn,2,8,Zayn,2,8,Zayn,2
8,Joel,2,8,Joel,2,8,Joel,2
8,Marlo,2,8,Marlo,2,8,Marlo,2
8,Tino,2,8,Tino,2,8,Tino,2
8,Ameo,2,8,Ameo,2,8,Ameo,2
26,Noah,1,26,Noah,1,26,Noah,1
26,Liam,1,26,Liam,1,26,Liam,1
26,Matteo,1,26,Matteo,1,26,Matteo,1
26,Louis,1,26,Louis,1,26,Louis,1
26,Elio,1,26,Elio,1,26,Elio,1
26,Leon,1,26,Leon,1,26,Leon,1
26,Elias,1,26,Elias,1,26,Elias,1
26,Levi,1,26,Levi,1,26,Levi,1
26,Lio,1,26,Lio,1,26,Lio,1
26,Theo,1,26,Theo,1,26,Theo,1
26,Leonardo,1,26,Leonardo,1,26,Leonardo,1
26,Nino,1,26,Nino,1,26,Nino,1
26,Noé,1,26,Noé,1,26,Noé,1
26,Malik,1,26,Malik,1,26,Malik,1
26,Enea,1,26,Enea,1,26,Enea,1
26,Livio,1,26,Livio,1,26,Livio,1
26,Samuel,1,26,Samuel,1,26,Samuel,1
26,Adam,1,26,Adam,1,26,Adam,1
26,Mael,1,26,Mael,1,26,Mael,1
26,Emil,1,26,Emil,1,26,Emil,1
26,Laurin,1,26,Laurin,1,26,Laurin,1
26,Levin,1,26,Levin,1,26,Levin,1
26,Robin,1,26,Robin,1,26,Robin,1
26,Alessio,1,26,Alessio,1,26,Alessio,1
26,Nelio,1,26,Nelio,1,26,Nelio,1
26,Rafael,1,26,Rafael,1,26,Rafael,1
26,Lucas,1,26,Lucas,1,26,Lucas,1
26,Felix,1,26,Felix,1,26,Felix,1
26,Luka,1,26,Luka,1,26,Luka,1
26,Loris,1,26,Loris,1,26,Loris,1
26,Valentin,1,26,Valentin,1,26,Valentin,1
26,Linus,1,26,Linus,1,26,Linus,1
26,Benjamin,1,26,Benjamin,1,26,Benjamin,1
26,Gino,1,26,Gino,1,26,Gino,1
26,Lars,1,26,Lars,1,26,Lars,1
26,Liano,1,26,Liano,1,26,Liano,1
26,Ayan,1,26,Ayan,1,26,Ayan,1
26,Aurel,1,26,Aurel,1,26,Aurel,1
26,Ennio,1,26,Ennio,1,26,Ennio,1
26,Colin,1,26,Colin,1,26,Colin,1
26,Lean,1,26,Lean,1,26,Lean,1
26,Alex,1,26,Alex,1,26,Alex,1
26,Jaron,1,26,Jaron,1,26,Jaron,1
26,Nick,1,26,Nick,1,26,Nick,1
26,Fynn,1,26,Fynn,1,26,Fynn,1
26,Marco,1,26,Marco,1,26,Marco,1
26,Ilay,1,26,Ilay,1,26,Ilay,1
26,Jamie,1,26,Jamie,1,26,Jamie,1
26,Ali,1,26,Ali,1,26,Ali,1
26,Ibrahim,1,26,Ibrahim,1,26,Ibrahim,1
26,Tom,1,26,Tom,1,26,Tom,1
26,Erik,1,26,Erik,1,26,Erik,1
26,Filip,1,26,Filip,1,26,Filip,1
26,Jona,1,26,Jona,1,26,Jona,1
26,Neo,1,26,Neo,1,26,Neo,1
26,Teodor,1,26,Teodor,1,26,Teodor,1
26,Vito,1,26,Vito,1,26,Vito,1
26,Rian,1,26,Rian,1,26,Rian,1
26,Ezra,1,26,Ezra,1,26,Ezra,1
26,Aiden,1,26,Aiden,1,26,Aiden,1
26,Ruben,1,26,Ruben,1,26,Ruben,1
26,Joris,1,26,Joris,1,26,Joris,1
26,Jorin,1,26,Jorin,1,26,Jorin,1
26,Mike,1,26,Mike,1,26,Mike,1
26,Yusuf,1,26,Yusuf,1,26,Yusuf,1
26,Lorin,1,26,Lorin,1,26,Lorin,1
26,Aryan,1,26,Aryan,1,26,Aryan,1
26,Gianni,1,26,Gianni,1,26,Gianni,1
26,Nio,1,26,Nio,1,26,Nio,1
26,Maé,1,26,Maé,1,26,Maé,1
26,Arno,1,26,Arno,1,26,Arno,1
26,Lyan,1,26,Lyan,1,26,Lyan,1
26,Zeno,1,26,Zeno,1,26,Zeno,1
26,Yannis,1,26,Yannis,1,26,Yannis,1
26,Yano,1,26,Yano,1,26,Yano,1
