Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Gino,4,1,Gino,4,1,Gino,4,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
2,Leano,3,2,Leano,3,2,Leano,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
2,Robin,3,2,Robin,3,2,Robin,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
2,Tim,3,2,Tim,3,2,Tim,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Aaron,2,5,Aaron,2,5,Aaron,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Ben,2,5,Ben,2,5,Ben,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Livio,2,5,Livio,2,5,Livio,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Finn,2,5,Finn,2,5,Finn,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Jonas,2,5,Jonas,2,5,Jonas,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Laurin,2,5,Laurin,2,5,Laurin,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Mauro,2,5,Mauro,2,5,Mauro,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Adrian,2,5,Adrian,2,5,Adrian,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Lukas,2,5,Lukas,2,5,Lukas,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Noel,2,5,Noel,2,5,Noel,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Marco,2,5,Marco,2,5,Marco,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Noar,2,5,Noar,2,5,Noar,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Jakob,2,5,Jakob,2,5,Jakob,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Jorin,2,5,Jorin,2,5,Jorin,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Remo,2,5,Remo,2,5,Remo,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Lui,2,5,Lui,2,5,Lui,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
5,Benno,2,5,Benno,2,5,Benno,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
