Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Leano,33,1,Leano,33,1,Leano,33
2,Noah,31,2,Noah,31,2,Noah,31
3,Jonas,23,3,Jonas,23,3,Jonas,23
4,Liam,22,4,Liam,22,4,Liam,22
5,Lio,21,5,Lio,21,5,Lio,21
6,Luca,19,6,Luca,19,6,Luca,19
6,Nico,19,6,Nico,19,6,Nico,19
8,Leon,18,8,Leon,18,8,Leon,18
8,Luan,18,8,Luan,18,8,Luan,18
8,Nino,18,8,Nino,18,8,Nino,18
8,Ben,18,8,Ben,18,8,Ben,18
12,Gabriel,17,12,Gabriel,17,12,Gabriel,17
12,Elias,17,12,Elias,17,12,Elias,17
12,Levi,17,12,Levi,17,12,Levi,17
12,Mauro,17,12,Mauro,17,12,Mauro,17
16,Matteo,16,16,Matteo,16,16,Matteo,16
16,Leo,16,16,Leo,16,16,Leo,16
16,Finn,16,16,Finn,16,16,Finn,16
19,Gian,15,19,Gian,15,19,Gian,15
20,Malik,14,20,Malik,14,20,Malik,14
20,Enea,14,20,Enea,14,20,Enea,14
20,Andrin,14,20,Andrin,14,20,Andrin,14
23,Aaron,13,23,Aaron,13,23,Aaron,13
23,Theo,13,23,Theo,13,23,Theo,13
23,Livio,13,23,Livio,13,23,Livio,13
23,Lian,13,23,Lian,13,23,Lian,13
23,Emilio,13,23,Emilio,13,23,Emilio,13
23,Laurin,13,23,Laurin,13,23,Laurin,13
29,Elio,12,29,Elio,12,29,Elio,12
29,Mateo,12,29,Mateo,12,29,Mateo,12
29,Kian,12,29,Kian,12,29,Kian,12
29,Robin,12,29,Robin,12,29,Robin,12
29,Tim,12,29,Tim,12,29,Tim,12
29,Damian,12,29,Damian,12,29,Damian,12
35,Elia,11,35,Elia,11,35,Elia,11
35,Diego,11,35,Diego,11,35,Diego,11
35,Levin,11,35,Levin,11,35,Levin,11
35,Nelio,11,35,Nelio,11,35,Nelio,11
35,Noel,11,35,Noel,11,35,Noel,11
40,Samuel,10,40,Samuel,10,40,Samuel,10
40,Nael,10,40,Nael,10,40,Nael,10
40,Julian,10,40,Julian,10,40,Julian,10
40,Dario,10,40,Dario,10,40,Dario,10
40,Felix,10,40,Felix,10,40,Felix,10
40,Nevio,10,40,Nevio,10,40,Nevio,10
46,Noé,9,46,Noé,9,46,Noé,9
46,David,9,46,David,9,46,David,9
46,Lino,9,46,Lino,9,46,Lino,9
46,Linus,9,46,Linus,9,46,Linus,9
46,Jan,9,46,Jan,9,46,Jan,9
46,Timo,9,46,Timo,9,46,Timo,9
46,Fabio,9,46,Fabio,9,46,Fabio,9
53,Louis,8,53,Louis,8,53,Louis,8
53,Leonardo,8,53,Leonardo,8,53,Leonardo,8
53,Milo,8,53,Milo,8,53,Milo,8
53,Paul,8,53,Paul,8,53,Paul,8
53,Gino,8,53,Gino,8,53,Gino,8
53,Kilian,8,53,Kilian,8,53,Kilian,8
53,Liano,8,53,Liano,8,53,Liano,8
53,Ennio,8,53,Ennio,8,53,Ennio,8
53,Jano,8,53,Jano,8,53,Jano,8
53,Janis,8,53,Janis,8,53,Janis,8
63,Leandro,7,63,Leandro,7,63,Leandro,7
63,Emil,7,63,Emil,7,63,Emil,7
63,Oliver,7,63,Oliver,7,63,Oliver,7
63,Lenny,7,63,Lenny,7,63,Lenny,7
63,Jaro,7,63,Jaro,7,63,Jaro,7
63,Valentin,7,63,Valentin,7,63,Valentin,7
63,Oskar,7,63,Oskar,7,63,Oskar,7
63,Jon,7,63,Jon,7,63,Jon,7
63,Jamie,7,63,Jamie,7,63,Jamie,7
63,Marin,7,63,Marin,7,63,Marin,7
63,Silas,7,63,Silas,7,63,Silas,7
63,Anton,7,63,Anton,7,63,Anton,7
75,Mattia,6,75,Mattia,6,75,Mattia,6
75,Henry,6,75,Henry,6,75,Henry,6
75,Alessio,6,75,Alessio,6,75,Alessio,6
75,Loris,6,75,Loris,6,75,Loris,6
75,Rayan,6,75,Rayan,6,75,Rayan,6
75,Lukas,6,75,Lukas,6,75,Lukas,6
75,Max,6,75,Max,6,75,Max,6
75,Aurelio,6,75,Aurelio,6,75,Aurelio,6
75,Marlon,6,75,Marlon,6,75,Marlon,6
75,Alessandro,6,75,Alessandro,6,75,Alessandro,6
75,Aurel,6,75,Aurel,6,75,Aurel,6
75,Valerio,6,75,Valerio,6,75,Valerio,6
75,Noar,6,75,Noar,6,75,Noar,6
75,Jaron,6,75,Jaron,6,75,Jaron,6
75,Nick,6,75,Nick,6,75,Nick,6
75,Lorik,6,75,Lorik,6,75,Lorik,6
75,Fynn,6,75,Fynn,6,75,Fynn,6
75,Trim,6,75,Trim,6,75,Trim,6
75,Eliano,6,75,Eliano,6,75,Eliano,6
75,Flavio,6,75,Flavio,6,75,Flavio,6
75,Valentino,6,75,Valentino,6,75,Valentino,6
75,Henrik,6,75,Henrik,6,75,Henrik,6
97,Adam,5,97,Adam,5,97,Adam,5
97,Mael,5,97,Mael,5,97,Mael,5
97,Luka,5,97,Luka,5,97,Luka,5
97,Lionel,5,97,Lionel,5,97,Lionel,5
