Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,8,1,Noah,8,1,Noah,8
1,Matteo,8,1,Matteo,8,1,Matteo,8
3,Liam,6,3,Liam,6,3,Liam,6
3,Simon,6,3,Simon,6,3,Simon,6
5,Leano,5,5,Leano,5,5,Leano,5
6,Leon,4,6,Leon,4,6,Leon,4
6,Elias,4,6,Elias,4,6,Elias,4
6,Luan,4,6,Luan,4,6,Luan,4
6,Mateo,4,6,Mateo,4,6,Mateo,4
6,Tim,4,6,Tim,4,6,Tim,4
11,Nino,3,11,Nino,3,11,Nino,3
11,Elio,3,11,Elio,3,11,Elio,3
11,David,3,11,David,3,11,David,3
11,Nico,3,11,Nico,3,11,Nico,3
11,Nael,3,11,Nael,3,11,Nael,3
11,Mael,3,11,Mael,3,11,Mael,3
11,Benjamin,3,11,Benjamin,3,11,Benjamin,3
11,Mauro,3,11,Mauro,3,11,Mauro,3
11,Nils,3,11,Nils,3,11,Nils,3
11,Nick,3,11,Nick,3,11,Nick,3
11,Joris,3,11,Joris,3,11,Joris,3
22,Luca,2,22,Luca,2,22,Luca,2
22,Lio,2,22,Lio,2,22,Lio,2
22,Louis,2,22,Louis,2,22,Louis,2
22,Leonardo,2,22,Leonardo,2,22,Leonardo,2
22,Ben,2,22,Ben,2,22,Ben,2
22,Theo,2,22,Theo,2,22,Theo,2
22,Levi,2,22,Levi,2,22,Levi,2
22,Malik,2,22,Malik,2,22,Malik,2
22,Adam,2,22,Adam,2,22,Adam,2
22,Finn,2,22,Finn,2,22,Finn,2
22,Oliver,2,22,Oliver,2,22,Oliver,2
22,Lino,2,22,Lino,2,22,Lino,2
22,Lionel,2,22,Lionel,2,22,Lionel,2
22,Lukas,2,22,Lukas,2,22,Lukas,2
22,Timo,2,22,Timo,2,22,Timo,2
22,Paul,2,22,Paul,2,22,Paul,2
22,Noel,2,22,Noel,2,22,Noel,2
22,Jaro,2,22,Jaro,2,22,Jaro,2
22,Zayn,2,22,Zayn,2,22,Zayn,2
22,Louie,2,22,Louie,2,22,Louie,2
22,Ari,2,22,Ari,2,22,Ari,2
22,John,2,22,John,2,22,John,2
22,Neo,2,22,Neo,2,22,Neo,2
22,Theodor,2,22,Theodor,2,22,Theodor,2
22,Dean,2,22,Dean,2,22,Dean,2
22,Valentino,2,22,Valentino,2,22,Valentino,2
22,Christian,2,22,Christian,2,22,Christian,2
22,Elian,2,22,Elian,2,22,Elian,2
22,Marvin,2,22,Marvin,2,22,Marvin,2
22,Leyan,2,22,Leyan,2,22,Leyan,2
22,Giuliano,2,22,Giuliano,2,22,Giuliano,2
22,Riccardo,2,22,Riccardo,2,22,Riccardo,2
22,Yari,2,22,Yari,2,22,Yari,2
22,Liyan,2,22,Liyan,2,22,Liyan,2
22,Natan,2,22,Natan,2,22,Natan,2
22,Troi,2,22,Troi,2,22,Troi,2
22,Alen,2,22,Alen,2,22,Alen,2
22,Otis,2,22,Otis,2,22,Otis,2
22,Keano,2,22,Keano,2,22,Keano,2
22,Zaid,2,22,Zaid,2,22,Zaid,2
62,Gabriel,1,62,Gabriel,1,62,Gabriel,1
62,Leo,1,62,Leo,1,62,Leo,1
62,Aaron,1,62,Aaron,1,62,Aaron,1
62,Arthur,1,62,Arthur,1,62,Arthur,1
62,Leandro,1,62,Leandro,1,62,Leandro,1
62,Diego,1,62,Diego,1,62,Diego,1
62,Enea,1,62,Enea,1,62,Enea,1
62,Milo,1,62,Milo,1,62,Milo,1
62,Rayan,1,62,Rayan,1,62,Rayan,1
62,Emilio,1,62,Emilio,1,62,Emilio,1
62,Alexander,1,62,Alexander,1,62,Alexander,1
62,Dario,1,62,Dario,1,62,Dario,1
62,Valentin,1,62,Valentin,1,62,Valentin,1
62,Luka,1,62,Luka,1,62,Luka,1
62,Nelio,1,62,Nelio,1,62,Nelio,1
62,Fabio,1,62,Fabio,1,62,Fabio,1
62,Henry,1,62,Henry,1,62,Henry,1
62,Nevio,1,62,Nevio,1,62,Nevio,1
62,Adrian,1,62,Adrian,1,62,Adrian,1
62,Lorenzo,1,62,Lorenzo,1,62,Lorenzo,1
62,Nicolas,1,62,Nicolas,1,62,Nicolas,1
62,Aron,1,62,Aron,1,62,Aron,1
62,Maximilian,1,62,Maximilian,1,62,Maximilian,1
62,Thomas,1,62,Thomas,1,62,Thomas,1
62,Amar,1,62,Amar,1,62,Amar,1
62,Amir,1,62,Amir,1,62,Amir,1
62,Lean,1,62,Lean,1,62,Lean,1
62,Raphael,1,62,Raphael,1,62,Raphael,1
62,Marco,1,62,Marco,1,62,Marco,1
62,Noam,1,62,Noam,1,62,Noam,1
62,Fynn,1,62,Fynn,1,62,Fynn,1
62,Jamie,1,62,Jamie,1,62,Jamie,1
62,Moritz,1,62,Moritz,1,62,Moritz,1
62,Jayden,1,62,Jayden,1,62,Jayden,1
62,Lorik,1,62,Lorik,1,62,Lorik,1
62,Yanis,1,62,Yanis,1,62,Yanis,1
62,Logan,1,62,Logan,1,62,Logan,1
62,Antonio,1,62,Antonio,1,62,Antonio,1
62,Edoardo,1,62,Edoardo,1,62,Edoardo,1
