Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,16,1,Noah,16,1,Noah,16
2,Leano,15,2,Leano,15,2,Leano,15
2,Leon,15,2,Leon,15,2,Leon,15
4,Lio,14,4,Lio,14,4,Lio,14
5,Elia,13,5,Elia,13,5,Elia,13
6,Elias,12,6,Elias,12,6,Elias,12
7,Luan,11,7,Luan,11,7,Luan,11
8,Aaron,10,8,Aaron,10,8,Aaron,10
8,Mael,10,8,Mael,10,8,Mael,10
8,Nelio,10,8,Nelio,10,8,Nelio,10
11,Liam,9,11,Liam,9,11,Liam,9
11,Leo,9,11,Leo,9,11,Leo,9
13,Matteo,8,13,Matteo,8,13,Matteo,8
13,Nael,8,13,Nael,8,13,Nael,8
15,Ben,7,15,Ben,7,15,Ben,7
15,Elio,7,15,Elio,7,15,Elio,7
15,Lian,7,15,Lian,7,15,Lian,7
15,Julian,7,15,Julian,7,15,Julian,7
15,Emilio,7,15,Emilio,7,15,Emilio,7
15,Tim,7,15,Tim,7,15,Tim,7
15,Louie,7,15,Louie,7,15,Louie,7
15,Moritz,7,15,Moritz,7,15,Moritz,7
23,Nino,6,23,Nino,6,23,Nino,6
23,Malik,6,23,Malik,6,23,Malik,6
23,Lino,6,23,Lino,6,23,Lino,6
23,Dario,6,23,Dario,6,23,Dario,6
23,Jan,6,23,Jan,6,23,Jan,6
28,Louis,5,28,Louis,5,28,Louis,5
28,Theo,5,28,Theo,5,28,Theo,5
28,Samuel,5,28,Samuel,5,28,Samuel,5
28,Livio,5,28,Livio,5,28,Livio,5
28,Mateo,5,28,Mateo,5,28,Mateo,5
28,Adam,5,28,Adam,5,28,Adam,5
28,Leandro,5,28,Leandro,5,28,Leandro,5
28,Diego,5,28,Diego,5,28,Diego,5
28,Mattia,5,28,Mattia,5,28,Mattia,5
28,Enea,5,28,Enea,5,28,Enea,5
28,Milo,5,28,Milo,5,28,Milo,5
28,Rayan,5,28,Rayan,5,28,Rayan,5
28,Daniel,5,28,Daniel,5,28,Daniel,5
28,Jonas,5,28,Jonas,5,28,Jonas,5
28,Amar,5,28,Amar,5,28,Amar,5
28,Dylan,5,28,Dylan,5,28,Dylan,5
28,Fynn,5,28,Fynn,5,28,Fynn,5
28,Silas,5,28,Silas,5,28,Silas,5
28,Liano,5,28,Liano,5,28,Liano,5
28,Siar,5,28,Siar,5,28,Siar,5
28,Tobias,5,28,Tobias,5,28,Tobias,5
49,Luca,4,49,Luca,4,49,Luca,4
49,David,4,49,David,4,49,David,4
49,Levi,4,49,Levi,4,49,Levi,4
49,Nico,4,49,Nico,4,49,Nico,4
49,Finn,4,49,Finn,4,49,Finn,4
49,Noé,4,49,Noé,4,49,Noé,4
49,Levin,4,49,Levin,4,49,Levin,4
49,Alexander,4,49,Alexander,4,49,Alexander,4
49,Max,4,49,Max,4,49,Max,4
49,Rafael,4,49,Rafael,4,49,Rafael,4
49,Laurin,4,49,Laurin,4,49,Laurin,4
49,Gian,4,49,Gian,4,49,Gian,4
49,Lionel,4,49,Lionel,4,49,Lionel,4
49,Lukas,4,49,Lukas,4,49,Lukas,4
49,Santiago,4,49,Santiago,4,49,Santiago,4
49,Timo,4,49,Timo,4,49,Timo,4
49,Andrin,4,49,Andrin,4,49,Andrin,4
49,Gino,4,49,Gino,4,49,Gino,4
49,Milan,4,49,Milan,4,49,Milan,4
49,Jon,4,49,Jon,4,49,Jon,4
49,Noar,4,49,Noar,4,49,Noar,4
49,Oskar,4,49,Oskar,4,49,Oskar,4
49,Eliah,4,49,Eliah,4,49,Eliah,4
49,Adriano,4,49,Adriano,4,49,Adriano,4
49,Dorian,4,49,Dorian,4,49,Dorian,4
49,Jaden,4,49,Jaden,4,49,Jaden,4
49,Erdi,4,49,Erdi,4,49,Erdi,4
76,Gabriel,3,76,Gabriel,3,76,Gabriel,3
76,Arthur,3,76,Arthur,3,76,Arthur,3
76,Emil,3,76,Emil,3,76,Emil,3
76,Oliver,3,76,Oliver,3,76,Oliver,3
76,Alessio,3,76,Alessio,3,76,Alessio,3
76,Valentin,3,76,Valentin,3,76,Valentin,3
76,Lenny,3,76,Lenny,3,76,Lenny,3
76,Luka,3,76,Luka,3,76,Luka,3
76,Fabio,3,76,Fabio,3,76,Fabio,3
76,Henry,3,76,Henry,3,76,Henry,3
76,Nevio,3,76,Nevio,3,76,Nevio,3
76,Lorenzo,3,76,Lorenzo,3,76,Lorenzo,3
76,Noel,3,76,Noel,3,76,Noel,3
76,Nils,3,76,Nils,3,76,Nils,3
76,Zayn,3,76,Zayn,3,76,Zayn,3
76,Colin,3,76,Colin,3,76,Colin,3
76,Tiago,3,76,Tiago,3,76,Tiago,3
76,Romeo,3,76,Romeo,3,76,Romeo,3
76,Vincent,3,76,Vincent,3,76,Vincent,3
76,Kiyan,3,76,Kiyan,3,76,Kiyan,3
76,Hugo,3,76,Hugo,3,76,Hugo,3
76,Lean,3,76,Lean,3,76,Lean,3
76,Marco,3,76,Marco,3,76,Marco,3
76,Lion,3,76,Lion,3,76,Lion,3
76,Damian,3,76,Damian,3,76,Damian,3
