Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,12,1,Noah,12,1,Noah,12
2,Matteo,9,2,Matteo,9,2,Matteo,9
2,Luca,9,2,Luca,9,2,Luca,9
2,Levi,9,2,Levi,9,2,Levi,9
5,Livio,7,5,Livio,7,5,Livio,7
5,Mael,7,5,Mael,7,5,Mael,7
5,Noel,7,5,Noel,7,5,Noel,7
5,Joel,7,5,Joel,7,5,Joel,7
9,Liam,6,9,Liam,6,9,Liam,6
9,Elias,6,9,Elias,6,9,Elias,6
9,Theo,6,9,Theo,6,9,Theo,6
9,David,6,9,David,6,9,David,6
9,Nico,6,9,Nico,6,9,Nico,6
9,Diego,6,9,Diego,6,9,Diego,6
9,Laurin,6,9,Laurin,6,9,Laurin,6
9,Gian,6,9,Gian,6,9,Gian,6
17,Leon,5,17,Leon,5,17,Leon,5
17,Leano,5,17,Leano,5,17,Leano,5
17,Nino,5,17,Nino,5,17,Nino,5
17,Leandro,5,17,Leandro,5,17,Leandro,5
17,Henry,5,17,Henry,5,17,Henry,5
17,Oliver,5,17,Oliver,5,17,Oliver,5
17,Lino,5,17,Lino,5,17,Lino,5
17,Jonas,5,17,Jonas,5,17,Jonas,5
17,Andrin,5,17,Andrin,5,17,Andrin,5
17,Lars,5,17,Lars,5,17,Lars,5
17,Fabio,5,17,Fabio,5,17,Fabio,5
17,Valerio,5,17,Valerio,5,17,Valerio,5
17,Michael,5,17,Michael,5,17,Michael,5
30,Gabriel,4,30,Gabriel,4,30,Gabriel,4
30,Lio,4,30,Lio,4,30,Lio,4
30,Elia,4,30,Elia,4,30,Elia,4
30,Enea,4,30,Enea,4,30,Enea,4
30,Mateo,4,30,Mateo,4,30,Mateo,4
30,Levin,4,30,Levin,4,30,Levin,4
30,Max,4,30,Max,4,30,Max,4
30,Liano,4,30,Liano,4,30,Liano,4
30,Ayan,4,30,Ayan,4,30,Ayan,4
30,Damian,4,30,Damian,4,30,Damian,4
30,Manuel,4,30,Manuel,4,30,Manuel,4
30,Colin,4,30,Colin,4,30,Colin,4
30,Leonard,4,30,Leonard,4,30,Leonard,4
30,Theodor,4,30,Theodor,4,30,Theodor,4
44,Leo,3,44,Leo,3,44,Leo,3
44,Louis,3,44,Louis,3,44,Louis,3
44,Elio,3,44,Elio,3,44,Elio,3
44,Leonardo,3,44,Leonardo,3,44,Leonardo,3
44,Malik,3,44,Malik,3,44,Malik,3
44,Emilio,3,44,Emilio,3,44,Emilio,3
44,Dario,3,44,Dario,3,44,Dario,3
44,Nelio,3,44,Nelio,3,44,Nelio,3
44,Jan,3,44,Jan,3,44,Jan,3
44,Mauro,3,44,Mauro,3,44,Mauro,3
44,Romeo,3,44,Romeo,3,44,Romeo,3
44,Aurelio,3,44,Aurelio,3,44,Aurelio,3
44,Simon,3,44,Simon,3,44,Simon,3
44,Santiago,3,44,Santiago,3,44,Santiago,3
44,Lionel,3,44,Lionel,3,44,Lionel,3
44,Adrian,3,44,Adrian,3,44,Adrian,3
44,Nicolas,3,44,Nicolas,3,44,Nicolas,3
44,Janis,3,44,Janis,3,44,Janis,3
44,Christian,3,44,Christian,3,44,Christian,3
44,Marc,3,44,Marc,3,44,Marc,3
44,Mike,3,44,Mike,3,44,Mike,3
44,Silvan,3,44,Silvan,3,44,Silvan,3
44,Bruno,3,44,Bruno,3,44,Bruno,3
44,Arno,3,44,Arno,3,44,Arno,3
44,Karl,3,44,Karl,3,44,Karl,3
44,Reto,3,44,Reto,3,44,Reto,3
70,Aaron,2,70,Aaron,2,70,Aaron,2
70,Luan,2,70,Luan,2,70,Luan,2
70,Finn,2,70,Finn,2,70,Finn,2
70,Samuel,2,70,Samuel,2,70,Samuel,2
70,Adam,2,70,Adam,2,70,Adam,2
70,Lian,2,70,Lian,2,70,Lian,2
70,Julian,2,70,Julian,2,70,Julian,2
70,Ben,2,70,Ben,2,70,Ben,2
70,Robin,2,70,Robin,2,70,Robin,2
70,Alessio,2,70,Alessio,2,70,Alessio,2
70,Lenny,2,70,Lenny,2,70,Lenny,2
70,Luka,2,70,Luka,2,70,Luka,2
70,Loris,2,70,Loris,2,70,Loris,2
70,Lukas,2,70,Lukas,2,70,Lukas,2
70,Jaro,2,70,Jaro,2,70,Jaro,2
70,Paul,2,70,Paul,2,70,Paul,2
70,Valentin,2,70,Valentin,2,70,Valentin,2
70,Aron,2,70,Aron,2,70,Aron,2
70,Linus,2,70,Linus,2,70,Linus,2
70,Tim,2,70,Tim,2,70,Tim,2
70,Timo,2,70,Timo,2,70,Timo,2
70,Luis,2,70,Luis,2,70,Luis,2
70,Lorenzo,2,70,Lorenzo,2,70,Lorenzo,2
70,Alessandro,2,70,Alessandro,2,70,Alessandro,2
70,Oskar,2,70,Oskar,2,70,Oskar,2
70,Amar,2,70,Amar,2,70,Amar,2
70,Gino,2,70,Gino,2,70,Gino,2
70,Milan,2,70,Milan,2,70,Milan,2
70,Oscar,2,70,Oscar,2,70,Oscar,2
70,Arian,2,70,Arian,2,70,Arian,2
70,Ennio,2,70,Ennio,2,70,Ennio,2
