Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,21,1,Noah,21,1,Noah,21
2,Liam,19,2,Liam,19,2,Liam,19
3,Lio,16,3,Lio,16,3,Lio,16
4,Matteo,14,4,Matteo,14,4,Matteo,14
4,Leon,14,4,Leon,14,4,Leon,14
6,Levi,13,6,Levi,13,6,Levi,13
7,Leano,12,7,Leano,12,7,Leano,12
7,Elia,12,7,Elia,12,7,Elia,12
7,Nico,12,7,Nico,12,7,Nico,12
10,Malik,11,10,Malik,11,10,Malik,11
10,Jaro,11,10,Jaro,11,10,Jaro,11
12,Luca,10,12,Luca,10,12,Luca,10
12,Louis,10,12,Louis,10,12,Louis,10
14,Gabriel,9,14,Gabriel,9,14,Gabriel,9
14,Elias,9,14,Elias,9,14,Elias,9
14,Ben,9,14,Ben,9,14,Ben,9
17,Leo,8,17,Leo,8,17,Leo,8
17,Aaron,8,17,Aaron,8,17,Aaron,8
17,Livio,8,17,Livio,8,17,Livio,8
17,Leandro,8,17,Leandro,8,17,Leandro,8
17,Nael,8,17,Nael,8,17,Nael,8
17,Levin,8,17,Levin,8,17,Levin,8
17,Milo,8,17,Milo,8,17,Milo,8
17,Laurin,8,17,Laurin,8,17,Laurin,8
25,Nino,7,25,Nino,7,25,Nino,7
25,Leonardo,7,25,Leonardo,7,25,Leonardo,7
25,Theo,7,25,Theo,7,25,Theo,7
25,Mateo,7,25,Mateo,7,25,Mateo,7
25,Julian,7,25,Julian,7,25,Julian,7
25,Finn,7,25,Finn,7,25,Finn,7
25,Mael,7,25,Mael,7,25,Mael,7
25,Neo,7,25,Neo,7,25,Neo,7
33,Mattia,6,33,Mattia,6,33,Mattia,6
33,Emil,6,33,Emil,6,33,Emil,6
33,Lino,6,33,Lino,6,33,Lino,6
33,Tim,6,33,Tim,6,33,Tim,6
33,Jonas,6,33,Jonas,6,33,Jonas,6
33,Fabio,6,33,Fabio,6,33,Fabio,6
33,Jaron,6,33,Jaron,6,33,Jaron,6
33,Joris,6,33,Joris,6,33,Joris,6
41,Samuel,5,41,Samuel,5,41,Samuel,5
41,Lian,5,41,Lian,5,41,Lian,5
41,Diego,5,41,Diego,5,41,Diego,5
41,Enea,5,41,Enea,5,41,Enea,5
41,Oliver,5,41,Oliver,5,41,Oliver,5
41,Kian,5,41,Kian,5,41,Kian,5
41,Emilio,5,41,Emilio,5,41,Emilio,5
41,Alexander,5,41,Alexander,5,41,Alexander,5
41,Dario,5,41,Dario,5,41,Dario,5
41,Felix,5,41,Felix,5,41,Felix,5
41,Gian,5,41,Gian,5,41,Gian,5
41,Mauro,5,41,Mauro,5,41,Mauro,5
41,Nevio,5,41,Nevio,5,41,Nevio,5
41,Luis,5,41,Luis,5,41,Luis,5
41,Timo,5,41,Timo,5,41,Timo,5
41,Loris,5,41,Loris,5,41,Loris,5
41,Simon,5,41,Simon,5,41,Simon,5
41,Andrin,5,41,Andrin,5,41,Andrin,5
41,Nils,5,41,Nils,5,41,Nils,5
41,Lars,5,41,Lars,5,41,Lars,5
41,Ilyas,5,41,Ilyas,5,41,Ilyas,5
41,Lean,5,41,Lean,5,41,Lean,5
41,Janis,5,41,Janis,5,41,Janis,5
41,Damian,5,41,Damian,5,41,Damian,5
41,Jona,5,41,Jona,5,41,Jona,5
66,Adam,4,66,Adam,4,66,Adam,4
66,Noé,4,66,Noé,4,66,Noé,4
66,Robin,4,66,Robin,4,66,Robin,4
66,Max,4,66,Max,4,66,Max,4
66,Rafael,4,66,Rafael,4,66,Rafael,4
66,Nelio,4,66,Nelio,4,66,Nelio,4
66,Benjamin,4,66,Benjamin,4,66,Benjamin,4
66,Henry,4,66,Henry,4,66,Henry,4
66,Lorenzo,4,66,Lorenzo,4,66,Lorenzo,4
66,Noel,4,66,Noel,4,66,Noel,4
66,Zayn,4,66,Zayn,4,66,Zayn,4
66,Joel,4,66,Joel,4,66,Joel,4
66,Joshua,4,66,Joshua,4,66,Joshua,4
66,Tiago,4,66,Tiago,4,66,Tiago,4
66,Jakob,4,66,Jakob,4,66,Jakob,4
66,Liano,4,66,Liano,4,66,Liano,4
66,Emir,4,66,Emir,4,66,Emir,4
66,Timeo,4,66,Timeo,4,66,Timeo,4
66,Moreno,4,66,Moreno,4,66,Moreno,4
85,David,3,85,David,3,85,David,3
85,Enzo,3,85,Enzo,3,85,Enzo,3
85,Alessio,3,85,Alessio,3,85,Alessio,3
85,Maël,3,85,Maël,3,85,Maël,3
85,Lionel,3,85,Lionel,3,85,Lionel,3
85,Adrian,3,85,Adrian,3,85,Adrian,3
85,Lukas,3,85,Lukas,3,85,Lukas,3
85,Gino,3,85,Gino,3,85,Gino,3
85,Kilian,3,85,Kilian,3,85,Kilian,3
85,Colin,3,85,Colin,3,85,Colin,3
85,Milan,3,85,Milan,3,85,Milan,3
85,Louie,3,85,Louie,3,85,Louie,3
85,Henri,3,85,Henri,3,85,Henri,3
85,Kiyan,3,85,Kiyan,3,85,Kiyan,3
85,Raphael,3,85,Raphael,3,85,Raphael,3
85,Jamie,3,85,Jamie,3,85,Jamie,3
