Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Leonardo,29,1,Leonardo,29,1,Leonardo,29
2,Enea,26,2,Enea,26,2,Enea,26
3,Tommaso,25,3,Tommaso,25,3,Tommaso,25
4,Edoardo,23,4,Edoardo,23,4,Edoardo,23
5,Liam,20,5,Liam,20,5,Liam,20
6,Alessandro,17,6,Alessandro,17,6,Alessandro,17
7,Noah,16,7,Noah,16,7,Noah,16
8,Nathan,15,8,Nathan,15,8,Nathan,15
9,Gabriel,13,9,Gabriel,13,9,Gabriel,13
9,Mattia,13,9,Mattia,13,9,Mattia,13
11,Theo,12,11,Theo,12,11,Theo,12
12,Elia,11,12,Elia,11,12,Elia,11
12,Samuele,11,12,Samuele,11,12,Samuele,11
14,Oliver,10,14,Oliver,10,14,Oliver,10
14,Lorenzo,10,14,Lorenzo,10,14,Lorenzo,10
14,Gabriele,10,14,Gabriele,10,14,Gabriele,10
14,Federico,10,14,Federico,10,14,Federico,10
14,Filippo,10,14,Filippo,10,14,Filippo,10
14,Gioele,10,14,Gioele,10,14,Gioele,10
20,Samuel,9,20,Samuel,9,20,Samuel,9
20,Santiago,9,20,Santiago,9,20,Santiago,9
20,Dylan,9,20,Dylan,9,20,Dylan,9
20,Sebastian,9,20,Sebastian,9,20,Sebastian,9
20,Christian,9,20,Christian,9,20,Christian,9
25,Adam,8,25,Adam,8,25,Adam,8
25,Romeo,8,25,Romeo,8,25,Romeo,8
25,Ethan,8,25,Ethan,8,25,Ethan,8
25,Andrea,8,25,Andrea,8,25,Andrea,8
25,Riccardo,8,25,Riccardo,8,25,Riccardo,8
25,Cesare,8,25,Cesare,8,25,Cesare,8
31,Matteo,7,31,Matteo,7,31,Matteo,7
31,Julian,7,31,Julian,7,31,Julian,7
31,Daniel,7,31,Daniel,7,31,Daniel,7
31,Thomas,7,31,Thomas,7,31,Thomas,7
31,Marco,7,31,Marco,7,31,Marco,7
31,Giulio,7,31,Giulio,7,31,Giulio,7
31,Nicolò,7,31,Nicolò,7,31,Nicolò,7
38,Lucas,6,38,Lucas,6,38,Lucas,6
38,Nicolas,6,38,Nicolas,6,38,Nicolas,6
38,Carlo,6,38,Carlo,6,38,Carlo,6
38,Ryan,6,38,Ryan,6,38,Ryan,6
38,Francesco,6,38,Francesco,6,38,Francesco,6
38,Zeno,6,38,Zeno,6,38,Zeno,6
38,Lucio,6,38,Lucio,6,38,Lucio,6
38,Ettore,6,38,Ettore,6,38,Ettore,6
46,Luca,5,46,Luca,5,46,Luca,5
46,David,5,46,David,5,46,David,5
46,Alessio,5,46,Alessio,5,46,Alessio,5
46,Rayan,5,46,Rayan,5,46,Rayan,5
46,Aurelio,5,46,Aurelio,5,46,Aurelio,5
46,Damian,5,46,Damian,5,46,Damian,5
46,Alex,5,46,Alex,5,46,Alex,5
46,Evan,5,46,Evan,5,46,Evan,5
46,Jamie,5,46,Jamie,5,46,Jamie,5
46,Bryan,5,46,Bryan,5,46,Bryan,5
46,Kylian,5,46,Kylian,5,46,Kylian,5
46,Aris,5,46,Aris,5,46,Aris,5
46,Ludovico,5,46,Ludovico,5,46,Ludovico,5
46,Michele,5,46,Michele,5,46,Michele,5
46,Brando,5,46,Brando,5,46,Brando,5
61,Leo,4,61,Leo,4,61,Leo,4
61,Leon,4,61,Leon,4,61,Leon,4
61,Lian,4,61,Lian,4,61,Lian,4
61,Milo,4,61,Milo,4,61,Milo,4
61,Manuel,4,61,Manuel,4,61,Manuel,4
61,Colin,4,61,Colin,4,61,Colin,4
61,Thiago,4,61,Thiago,4,61,Thiago,4
61,Michael,4,61,Michael,4,61,Michael,4
61,Antonio,4,61,Antonio,4,61,Antonio,4
61,Stefan,4,61,Stefan,4,61,Stefan,4
61,Davide,4,61,Davide,4,61,Davide,4
61,Nicola,4,61,Nicola,4,61,Nicola,4
61,Gael,4,61,Gael,4,61,Gael,4
61,Giuseppe,4,61,Giuseppe,4,61,Giuseppe,4
61,Kevin,4,61,Kevin,4,61,Kevin,4
61,Noè,4,61,Noè,4,61,Noè,4
61,Raffaele,4,61,Raffaele,4,61,Raffaele,4
61,Sirio,4,61,Sirio,4,61,Sirio,4
61,Zion,4,61,Zion,4,61,Zion,4
61,Naele,4,61,Naele,4,61,Naele,4
61,Geo,4,61,Geo,4,61,Geo,4
82,Elio,3,82,Elio,3,82,Elio,3
82,Levi,3,82,Levi,3,82,Levi,3
82,Aaron,3,82,Aaron,3,82,Aaron,3
82,Livio,3,82,Livio,3,82,Livio,3
82,Diego,3,82,Diego,3,82,Diego,3
82,Rafael,3,82,Rafael,3,82,Rafael,3
82,Noel,3,82,Noel,3,82,Noel,3
82,Lukas,3,82,Lukas,3,82,Lukas,3
82,Aron,3,82,Aron,3,82,Aron,3
82,Kilian,3,82,Kilian,3,82,Kilian,3
82,Raphael,3,82,Raphael,3,82,Raphael,3
82,Teo,3,82,Teo,3,82,Teo,3
82,Martin,3,82,Martin,3,82,Martin,3
82,Omar,3,82,Omar,3,82,Omar,3
82,Mathias,3,82,Mathias,3,82,Mathias,3
82,Filip,3,82,Filip,3,82,Filip,3
82,Axel,3,82,Axel,3,82,Axel,3
82,Eric,3,82,Eric,3,82,Eric,3
82,Aiden,3,82,Aiden,3,82,Aiden,3
