Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Nino,6,1,Nino,6,1,Nino,6,Uri,Uri,Uri,Uri,Uri
2,Matteo,4,2,Matteo,4,2,Matteo,4,Uri,Uri,Uri,Uri,Uri
2,Leo,4,2,Leo,4,2,Leo,4,Uri,Uri,Uri,Uri,Uri
2,Lio,4,2,Lio,4,2,Lio,4,Uri,Uri,Uri,Uri,Uri
5,Noah,3,5,Noah,3,5,Noah,3,Uri,Uri,Uri,Uri,Uri
5,Elia,3,5,Elia,3,5,Elia,3,Uri,Uri,Uri,Uri,Uri
5,Theo,3,5,Theo,3,5,Theo,3,Uri,Uri,Uri,Uri,Uri
5,Nico,3,5,Nico,3,5,Nico,3,Uri,Uri,Uri,Uri,Uri
5,Linus,3,5,Linus,3,5,Linus,3,Uri,Uri,Uri,Uri,Uri
10,Liam,2,10,Liam,2,10,Liam,2,Uri,Uri,Uri,Uri,Uri
10,Leano,2,10,Leano,2,10,Leano,2,Uri,Uri,Uri,Uri,Uri
10,Luca,2,10,Luca,2,10,Luca,2,Uri,Uri,Uri,Uri,Uri
10,Leon,2,10,Leon,2,10,Leon,2,Uri,Uri,Uri,Uri,Uri
10,Robin,2,10,Robin,2,10,Robin,2,Uri,Uri,Uri,Uri,Uri
10,Dario,2,10,Dario,2,10,Dario,2,Uri,Uri,Uri,Uri,Uri
10,Max,2,10,Max,2,10,Max,2,Uri,Uri,Uri,Uri,Uri
10,Jonas,2,10,Jonas,2,10,Jonas,2,Uri,Uri,Uri,Uri,Uri
10,Nelio,2,10,Nelio,2,10,Nelio,2,Uri,Uri,Uri,Uri,Uri
10,Mauro,2,10,Mauro,2,10,Mauro,2,Uri,Uri,Uri,Uri,Uri
10,Lukas,2,10,Lukas,2,10,Lukas,2,Uri,Uri,Uri,Uri,Uri
10,Simon,2,10,Simon,2,10,Simon,2,Uri,Uri,Uri,Uri,Uri
10,Jaro,2,10,Jaro,2,10,Jaro,2,Uri,Uri,Uri,Uri,Uri
10,Joris,2,10,Joris,2,10,Joris,2,Uri,Uri,Uri,Uri,Uri
10,Eliah,2,10,Eliah,2,10,Eliah,2,Uri,Uri,Uri,Uri,Uri
10,Elijah,2,10,Elijah,2,10,Elijah,2,Uri,Uri,Uri,Uri,Uri
10,Beda,2,10,Beda,2,10,Beda,2,Uri,Uri,Uri,Uri,Uri
10,Corvin,2,10,Corvin,2,10,Corvin,2,Uri,Uri,Uri,Uri,Uri
28,Gabriel,1,28,Gabriel,1,28,Gabriel,1,Uri,Uri,Uri,Uri,Uri
28,Elias,1,28,Elias,1,28,Elias,1,Uri,Uri,Uri,Uri,Uri
28,Leonardo,1,28,Leonardo,1,28,Leonardo,1,Uri,Uri,Uri,Uri,Uri
28,Ben,1,28,Ben,1,28,Ben,1,Uri,Uri,Uri,Uri,Uri
28,Elio,1,28,Elio,1,28,Elio,1,Uri,Uri,Uri,Uri,Uri
28,Luan,1,28,Luan,1,28,Luan,1,Uri,Uri,Uri,Uri,Uri
28,David,1,28,David,1,28,David,1,Uri,Uri,Uri,Uri,Uri
28,Livio,1,28,Livio,1,28,Livio,1,Uri,Uri,Uri,Uri,Uri
28,Malik,1,28,Malik,1,28,Malik,1,Uri,Uri,Uri,Uri,Uri
28,Diego,1,28,Diego,1,28,Diego,1,Uri,Uri,Uri,Uri,Uri
28,Noé,1,28,Noé,1,28,Noé,1,Uri,Uri,Uri,Uri,Uri
28,Emil,1,28,Emil,1,28,Emil,1,Uri,Uri,Uri,Uri,Uri
28,Enea,1,28,Enea,1,28,Enea,1,Uri,Uri,Uri,Uri,Uri
28,Levin,1,28,Levin,1,28,Levin,1,Uri,Uri,Uri,Uri,Uri
28,Emilio,1,28,Emilio,1,28,Emilio,1,Uri,Uri,Uri,Uri,Uri
