Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Liam,58,1,Liam,58,1,Liam,58
2,Gabriel,43,2,Gabriel,43,2,Gabriel,43
3,Noah,39,3,Noah,39,3,Noah,39
4,Arthur,32,4,Arthur,32,4,Arthur,32
5,Nathan,31,5,Nathan,31,5,Nathan,31
5,Isaac,31,5,Isaac,31,5,Isaac,31
7,Lucas,28,7,Lucas,28,7,Lucas,28
8,Aaron,27,8,Aaron,27,8,Aaron,27
8,Adam,27,8,Adam,27,8,Adam,27
10,Noé,26,10,Noé,26,10,Noé,26
11,Louis,25,11,Louis,25,11,Louis,25
11,Elio,25,11,Elio,25,11,Elio,25
13,Théo,24,13,Théo,24,13,Théo,24
14,Maël,23,14,Maël,23,14,Maël,23
14,Nolan,23,14,Nolan,23,14,Nolan,23
14,Jules,23,14,Jules,23,14,Jules,23
17,Eden,22,17,Eden,22,17,Eden,22
18,Matteo,20,18,Matteo,20,18,Matteo,20
18,Luca,20,18,Luca,20,18,Luca,20
18,Samuel,20,18,Samuel,20,18,Samuel,20
18,Ethan,20,18,Ethan,20,18,Ethan,20
18,Léo,20,18,Léo,20,18,Léo,20
18,Alexandre,20,18,Alexandre,20,18,Alexandre,20
24,Léon,19,24,Léon,19,24,Léon,19
25,Elias,18,25,Elias,18,25,Elias,18
25,Enzo,18,25,Enzo,18,25,Enzo,18
25,Rayan,18,25,Rayan,18,25,Rayan,18
25,Ayden,18,25,Ayden,18,25,Ayden,18
29,Hugo,17,29,Hugo,17,29,Hugo,17
29,Axel,17,29,Axel,17,29,Axel,17
31,Mateo,16,31,Mateo,16,31,Mateo,16
31,William,16,31,William,16,31,William,16
31,Oscar,16,31,Oscar,16,31,Oscar,16
31,Raphaël,16,31,Raphaël,16,31,Raphaël,16
35,Oliver,15,35,Oliver,15,35,Oliver,15
35,Rafael,15,35,Rafael,15,35,Rafael,15
37,Leo,14,37,Leo,14,37,Leo,14
37,Simon,14,37,Simon,14,37,Simon,14
37,Andrea,14,37,Andrea,14,37,Andrea,14
37,Basile,14,37,Basile,14,37,Basile,14
37,Gaspard,14,37,Gaspard,14,37,Gaspard,14
42,Mattia,13,42,Mattia,13,42,Mattia,13
42,Diego,13,42,Diego,13,42,Diego,13
42,Dario,13,42,Dario,13,42,Dario,13
42,Clément,13,42,Clément,13,42,Clément,13
42,Sacha,13,42,Sacha,13,42,Sacha,13
42,Charly,13,42,Charly,13,42,Charly,13
48,Thomas,12,48,Thomas,12,48,Thomas,12
48,Malo,12,48,Malo,12,48,Malo,12
48,Antoine,12,48,Antoine,12,48,Antoine,12
51,David,11,51,David,11,51,David,11
51,Daniel,11,51,Daniel,11,51,Daniel,11
51,Noa,11,51,Noa,11,51,Noa,11
51,Alexis,11,51,Alexis,11,51,Alexis,11
51,Ibrahim,11,51,Ibrahim,11,51,Ibrahim,11
51,Eliott,11,51,Eliott,11,51,Eliott,11
51,Maxime,11,51,Maxime,11,51,Maxime,11
58,Leandro,10,58,Leandro,10,58,Leandro,10
58,Alessio,10,58,Alessio,10,58,Alessio,10
58,Lorenzo,10,58,Lorenzo,10,58,Lorenzo,10
58,Victor,10,58,Victor,10,58,Victor,10
58,Ayan,10,58,Ayan,10,58,Ayan,10
58,Noam,10,58,Noam,10,58,Noam,10
58,Owen,10,58,Owen,10,58,Owen,10
58,Aylan,10,58,Aylan,10,58,Aylan,10
58,Lourenço,10,58,Lourenço,10,58,Lourenço,10
58,Sohan,10,58,Sohan,10,58,Sohan,10
58,Félix,10,58,Félix,10,58,Félix,10
69,Leonardo,9,69,Leonardo,9,69,Leonardo,9
69,Emilio,9,69,Emilio,9,69,Emilio,9
69,Kian,9,69,Kian,9,69,Kian,9
69,Luka,9,69,Luka,9,69,Luka,9
69,Alessandro,9,69,Alessandro,9,69,Alessandro,9
69,Charlie,9,69,Charlie,9,69,Charlie,9
69,Teo,9,69,Teo,9,69,Teo,9
69,Evan,9,69,Evan,9,69,Evan,9
69,Amir,9,69,Amir,9,69,Amir,9
69,Logan,9,69,Logan,9,69,Logan,9
69,Mathis,9,69,Mathis,9,69,Mathis,9
69,Marius,9,69,Marius,9,69,Marius,9
69,Rodrigo,9,69,Rodrigo,9,69,Rodrigo,9
82,Robin,8,82,Robin,8,82,Robin,8
82,Jonas,8,82,Jonas,8,82,Jonas,8
82,Loris,8,82,Loris,8,82,Loris,8
82,Benjamin,8,82,Benjamin,8,82,Benjamin,8
82,Ryan,8,82,Ryan,8,82,Ryan,8
82,James,8,82,James,8,82,James,8
82,Leyan,8,82,Leyan,8,82,Leyan,8
82,Matias,8,82,Matias,8,82,Matias,8
82,Lyam,8,82,Lyam,8,82,Lyam,8
82,Soan,8,82,Soan,8,82,Soan,8
82,Adrien,8,82,Adrien,8,82,Adrien,8
82,Ulysse,8,82,Ulysse,8,82,Ulysse,8
94,Leon,7,94,Leon,7,94,Leon,7
94,Theo,7,94,Theo,7,94,Theo,7
94,Luan,7,94,Luan,7,94,Luan,7
94,Mael,7,94,Mael,7,94,Mael,7
94,Lenny,7,94,Lenny,7,94,Lenny,7
94,Paul,7,94,Paul,7,94,Paul,7
94,Valentin,7,94,Valentin,7,94,Valentin,7
