Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Luca,12,1,Luca,12,1,Luca,12
2,Noah,9,2,Noah,9,2,Noah,9
3,Leon,7,3,Leon,7,3,Leon,7
4,Leo,6,4,Leo,6,4,Leo,6
5,Theo,5,5,Theo,5,5,Theo,5
5,Oliver,5,5,Oliver,5,5,Oliver,5
5,Alexander,5,5,Alexander,5,5,Alexander,5
5,Jaro,5,5,Jaro,5,5,Jaro,5
9,Liam,4,9,Liam,4,9,Liam,4
9,Enea,4,9,Enea,4,9,Enea,4
9,David,4,9,David,4,9,David,4
9,Mateo,4,9,Mateo,4,9,Mateo,4
9,Arthur,4,9,Arthur,4,9,Arthur,4
9,Leandro,4,9,Leandro,4,9,Leandro,4
9,Henry,4,9,Henry,4,9,Henry,4
9,Kian,4,9,Kian,4,9,Kian,4
9,Lino,4,9,Lino,4,9,Lino,4
9,Robin,4,9,Robin,4,9,Robin,4
9,Paul,4,9,Paul,4,9,Paul,4
9,Amar,4,9,Amar,4,9,Amar,4
9,Oscar,4,9,Oscar,4,9,Oscar,4
9,Raphael,4,9,Raphael,4,9,Raphael,4
23,Elio,3,23,Elio,3,23,Elio,3
23,Leano,3,23,Leano,3,23,Leano,3
23,Lio,3,23,Lio,3,23,Lio,3
23,Aaron,3,23,Aaron,3,23,Aaron,3
23,Leonardo,3,23,Leonardo,3,23,Leonardo,3
23,Noé,3,23,Noé,3,23,Noé,3
23,Julian,3,23,Julian,3,23,Julian,3
23,Levin,3,23,Levin,3,23,Levin,3
23,Rafael,3,23,Rafael,3,23,Rafael,3
23,Lenny,3,23,Lenny,3,23,Lenny,3
23,Felix,3,23,Felix,3,23,Felix,3
23,Linus,3,23,Linus,3,23,Linus,3
23,Mauro,3,23,Mauro,3,23,Mauro,3
23,Oskar,3,23,Oskar,3,23,Oskar,3
23,Nils,3,23,Nils,3,23,Nils,3
23,Vincent,3,23,Vincent,3,23,Vincent,3
23,Teodor,3,23,Teodor,3,23,Teodor,3
23,Eric,3,23,Eric,3,23,Eric,3
23,Ludovico,3,23,Ludovico,3,23,Ludovico,3
42,Gabriel,2,42,Gabriel,2,42,Gabriel,2
42,Elias,2,42,Elias,2,42,Elias,2
42,Elia,2,42,Elia,2,42,Elia,2
42,Luan,2,42,Luan,2,42,Luan,2
42,Nino,2,42,Nino,2,42,Nino,2
42,Livio,2,42,Livio,2,42,Livio,2
42,Finn,2,42,Finn,2,42,Finn,2
42,Samuel,2,42,Samuel,2,42,Samuel,2
42,Adam,2,42,Adam,2,42,Adam,2
42,Mattia,2,42,Mattia,2,42,Mattia,2
42,Emilio,2,42,Emilio,2,42,Emilio,2
42,Mael,2,42,Mael,2,42,Mael,2
42,Emil,2,42,Emil,2,42,Emil,2
42,Ben,2,42,Ben,2,42,Ben,2
42,Dario,2,42,Dario,2,42,Dario,2
42,Lucas,2,42,Lucas,2,42,Lucas,2
42,Gian,2,42,Gian,2,42,Gian,2
42,Noel,2,42,Noel,2,42,Noel,2
42,Daniel,2,42,Daniel,2,42,Daniel,2
42,Jan,2,42,Jan,2,42,Jan,2
42,Nevio,2,42,Nevio,2,42,Nevio,2
42,Romeo,2,42,Romeo,2,42,Romeo,2
42,Timo,2,42,Timo,2,42,Timo,2
42,Luis,2,42,Luis,2,42,Luis,2
42,Simon,2,42,Simon,2,42,Simon,2
42,Marlon,2,42,Marlon,2,42,Marlon,2
42,Kilian,2,42,Kilian,2,42,Kilian,2
42,Maximilian,2,42,Maximilian,2,42,Maximilian,2
42,Liano,2,42,Liano,2,42,Liano,2
42,Manuel,2,42,Manuel,2,42,Manuel,2
42,Ari,2,42,Ari,2,42,Ari,2
42,Jaron,2,42,Jaron,2,42,Jaron,2
42,Nick,2,42,Nick,2,42,Nick,2
42,Noam,2,42,Noam,2,42,Noam,2
42,Elijah,2,42,Elijah,2,42,Elijah,2
42,Theodor,2,42,Theodor,2,42,Theodor,2
42,Andri,2,42,Andri,2,42,Andri,2
42,Neo,2,42,Neo,2,42,Neo,2
42,Marin,2,42,Marin,2,42,Marin,2
42,Flavio,2,42,Flavio,2,42,Flavio,2
42,Charles,2,42,Charles,2,42,Charles,2
42,Aiden,2,42,Aiden,2,42,Aiden,2
42,Ron,2,42,Ron,2,42,Ron,2
42,Viktor,2,42,Viktor,2,42,Viktor,2
42,Elion,2,42,Elion,2,42,Elion,2
42,Loui,2,42,Loui,2,42,Loui,2
42,Noan,2,42,Noan,2,42,Noan,2
42,Thierry,2,42,Thierry,2,42,Thierry,2
42,Niklas,2,42,Niklas,2,42,Niklas,2
42,Tino,2,42,Tino,2,42,Tino,2
42,Aleksej,2,42,Aleksej,2,42,Aleksej,2
42,George,2,42,George,2,42,George,2
42,Vicente,2,42,Vicente,2,42,Vicente,2
42,Fionn,2,42,Fionn,2,42,Fionn,2
42,Nevin,2,42,Nevin,2,42,Nevin,2
42,Devin,2,42,Devin,2,42,Devin,2
42,Magnus,2,42,Magnus,2,42,Magnus,2
42,Yll,2,42,Yll,2,42,Yll,2
100,Matteo,1,100,Matteo,1,100,Matteo,1
