Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Liam,73,1,Liam,73,1,Liam,73
2,Noah,72,2,Noah,72,2,Noah,72
3,Matteo,63,3,Matteo,63,3,Matteo,63
4,Leonardo,56,4,Leonardo,56,4,Leonardo,56
5,Leo,54,5,Leo,54,5,Leo,54
6,Luca,51,6,Luca,51,6,Luca,51
7,Levi,50,7,Levi,50,7,Levi,50
8,Leon,49,8,Leon,49,8,Leon,49
9,Louis,46,9,Louis,46,9,Louis,46
10,Elias,44,10,Elias,44,10,Elias,44
11,Theo,43,11,Theo,43,11,Theo,43
12,Emil,40,12,Emil,40,12,Emil,40
13,Elio,39,13,Elio,39,13,Elio,39
13,Kian,39,13,Kian,39,13,Kian,39
13,Felix,39,13,Felix,39,13,Felix,39
16,Alexander,38,16,Alexander,38,16,Alexander,38
17,David,37,17,David,37,17,David,37
17,Oliver,37,17,Oliver,37,17,Oliver,37
19,Lio,36,19,Lio,36,19,Lio,36
19,Lian,36,19,Lian,36,19,Lian,36
21,Levin,35,21,Levin,35,21,Levin,35
22,Elia,34,22,Elia,34,22,Elia,34
22,Mateo,34,22,Mateo,34,22,Mateo,34
24,Nino,33,24,Nino,33,24,Nino,33
24,Leandro,33,24,Leandro,33,24,Leandro,33
26,Luan,32,26,Luan,32,26,Luan,32
26,Mael,32,26,Mael,32,26,Mael,32
28,Malik,31,28,Malik,31,28,Malik,31
29,Livio,30,29,Livio,30,29,Livio,30
29,Adam,30,29,Adam,30,29,Adam,30
29,Henry,30,29,Henry,30,29,Henry,30
32,Aaron,29,32,Aaron,29,32,Aaron,29
32,Nico,29,32,Nico,29,32,Nico,29
32,Finn,29,32,Finn,29,32,Finn,29
32,Nael,29,32,Nael,29,32,Nael,29
32,Luka,29,32,Luka,29,32,Luka,29
37,Gabriel,28,37,Gabriel,28,37,Gabriel,28
37,Arthur,28,37,Arthur,28,37,Arthur,28
37,Rafael,28,37,Rafael,28,37,Rafael,28
40,Leano,27,40,Leano,27,40,Leano,27
40,Laurin,27,40,Laurin,27,40,Laurin,27
40,Luis,27,40,Luis,27,40,Luis,27
40,Miro,27,40,Miro,27,40,Miro,27
44,Enea,26,44,Enea,26,44,Enea,26
44,Diego,26,44,Diego,26,44,Diego,26
44,Max,26,44,Max,26,44,Max,26
47,Julian,25,47,Julian,25,47,Julian,25
47,Gian,25,47,Gian,25,47,Gian,25
47,Lukas,25,47,Lukas,25,47,Lukas,25
47,Aron,25,47,Aron,25,47,Aron,25
47,Oskar,25,47,Oskar,25,47,Oskar,25
47,Maximilian,25,47,Maximilian,25,47,Maximilian,25
47,Vincent,25,47,Vincent,25,47,Vincent,25
54,Samuel,24,54,Samuel,24,54,Samuel,24
54,Emilio,24,54,Emilio,24,54,Emilio,24
54,Robin,24,54,Robin,24,54,Robin,24
57,Noé,23,57,Noé,23,57,Noé,23
58,Alessio,22,58,Alessio,22,58,Alessio,22
58,Daniel,22,58,Daniel,22,58,Daniel,22
58,Benjamin,22,58,Benjamin,22,58,Benjamin,22
58,Aurelio,22,58,Aurelio,22,58,Aurelio,22
62,Ben,21,62,Ben,21,62,Ben,21
62,Loris,21,62,Loris,21,62,Loris,21
62,Nevio,21,62,Nevio,21,62,Nevio,21
62,Arian,21,62,Arian,21,62,Arian,21
66,Milo,20,66,Milo,20,66,Milo,20
66,Jaro,20,66,Jaro,20,66,Jaro,20
66,Linus,20,66,Linus,20,66,Linus,20
66,Theodor,20,66,Theodor,20,66,Theodor,20
70,Mattia,19,70,Mattia,19,70,Mattia,19
70,Noel,19,70,Noel,19,70,Noel,19
70,Rayan,19,70,Rayan,19,70,Rayan,19
70,Valentin,19,70,Valentin,19,70,Valentin,19
70,Romeo,19,70,Romeo,19,70,Romeo,19
70,Lionel,19,70,Lionel,19,70,Lionel,19
70,Zayn,19,70,Zayn,19,70,Zayn,19
77,Dario,18,77,Dario,18,77,Dario,18
77,Lucas,18,77,Lucas,18,77,Lucas,18
77,Jan,18,77,Jan,18,77,Jan,18
77,Timo,18,77,Timo,18,77,Timo,18
77,Ennio,18,77,Ennio,18,77,Ennio,18
77,Ari,18,77,Ari,18,77,Ari,18
77,Joshua,18,77,Joshua,18,77,Joshua,18
77,Trim,18,77,Trim,18,77,Trim,18
77,Teodor,18,77,Teodor,18,77,Teodor,18
86,Nelio,17,86,Nelio,17,86,Nelio,17
86,Maël,17,86,Maël,17,86,Maël,17
86,Paul,17,86,Paul,17,86,Paul,17
86,Simon,17,86,Simon,17,86,Simon,17
86,Jon,17,86,Jon,17,86,Jon,17
86,Carlo,17,86,Carlo,17,86,Carlo,17
86,Omar,17,86,Omar,17,86,Omar,17
93,Lino,16,93,Lino,16,93,Lino,16
93,Tim,16,93,Tim,16,93,Tim,16
93,Lorenzo,16,93,Lorenzo,16,93,Lorenzo,16
93,Lars,16,93,Lars,16,93,Lars,16
93,Nicolas,16,93,Nicolas,16,93,Nicolas,16
93,Maxim,16,93,Maxim,16,93,Maxim,16
93,Vito,16,93,Vito,16,93,Vito,16
93,Ian,16,93,Ian,16,93,Ian,16
