Nom,Total,Name,Anzahl,Cognome,Totale,sprachregion,label_fr
Müller,48889,Müller,48889,Müller,48889,1,Suisse alémanique
Meier,30960,Meier,30960,Meier,30960,1,Suisse alémanique
Schmid,28096,Schmid,28096,Schmid,28096,1,Suisse alémanique
Keller,21447,Keller,21447,Keller,21447,1,Suisse alémanique
Weber,18086,Weber,18086,Weber,18086,1,Suisse alémanique
Schneider,16986,Schneider,16986,Schneider,16986,1,Suisse alémanique
Huber,16856,Huber,16856,Huber,16856,1,Suisse alémanique
Steiner,15661,Steiner,15661,Steiner,15661,1,Suisse alémanique
Meyer,14462,Meyer,14462,Meyer,14462,1,Suisse alémanique
Fischer,13829,Fischer,13829,Fischer,13829,1,Suisse alémanique
Baumann,13316,Baumann,13316,Baumann,13316,1,Suisse alémanique
Brunner,13214,Brunner,13214,Brunner,13214,1,Suisse alémanique
Frei,13173,Frei,13173,Frei,13173,1,Suisse alémanique
Zimmermann,12686,Zimmermann,12686,Zimmermann,12686,1,Suisse alémanique
Gerber,12623,Gerber,12623,Gerber,12623,1,Suisse alémanique
Moser,12180,Moser,12180,Moser,12180,1,Suisse alémanique
Graf,11978,Graf,11978,Graf,11978,1,Suisse alémanique
Wyss,11489,Wyss,11489,Wyss,11489,1,Suisse alémanique
Widmer,11468,Widmer,11468,Widmer,11468,1,Suisse alémanique
Roth,10232,Roth,10232,Roth,10232,1,Suisse alémanique
Bucher,10205,Bucher,10205,Bucher,10205,1,Suisse alémanique
Bachmann,10041,Bachmann,10041,Bachmann,10041,1,Suisse alémanique
Suter,9916,Suter,9916,Suter,9916,1,Suisse alémanique
Baumgartner,9884,Baumgartner,9884,Baumgartner,9884,1,Suisse alémanique
Kaufmann,9452,Kaufmann,9452,Kaufmann,9452,1,Suisse alémanique
Kunz,8948,Kunz,8948,Kunz,8948,1,Suisse alémanique
Studer,8946,Studer,8946,Studer,8946,1,Suisse alémanique
Bühler,8938,Bühler,8938,Bühler,8938,1,Suisse alémanique
Lüthi,8906,Lüthi,8906,Lüthi,8906,1,Suisse alémanique
Hofer,8385,Hofer,8385,Hofer,8385,1,Suisse alémanique
Lehmann,8367,Lehmann,8367,Lehmann,8367,1,Suisse alémanique
Berger,8270,Berger,8270,Berger,8270,1,Suisse alémanique
Koch,8176,Koch,8176,Koch,8176,1,Suisse alémanique
Arnold,8141,Arnold,8141,Arnold,8141,1,Suisse alémanique
Marti,7999,Marti,7999,Marti,7999,1,Suisse alémanique
Egli,7596,Egli,7596,Egli,7596,1,Suisse alémanique
Christen,7524,Christen,7524,Christen,7524,1,Suisse alémanique
Frey,7511,Frey,7511,Frey,7511,1,Suisse alémanique
Wüthrich,7495,Wüthrich,7495,Wüthrich,7495,1,Suisse alémanique
Krasniqi,7407,Krasniqi,7407,Krasniqi,7407,1,Suisse alémanique
Berisha,6905,Berisha,6905,Berisha,6905,1,Suisse alémanique
Fuchs,6879,Fuchs,6879,Fuchs,6879,1,Suisse alémanique
Zürcher,6707,Zürcher,6707,Zürcher,6707,1,Suisse alémanique
