Nom,Total,Name,Anzahl,Cognome,Totale,sprachregion,label_fr
Bernasconi,2215,Bernasconi,2215,Bernasconi,2215,3,Suisse italienne
Ferrari,1330,Ferrari,1330,Ferrari,1330,3,Suisse italienne
Rossi,1310,Rossi,1310,Rossi,1310,3,Suisse italienne
Bianchi,1287,Bianchi,1287,Bianchi,1287,3,Suisse italienne
Fontana,772,Fontana,772,Fontana,772,3,Suisse italienne
Crivelli,749,Crivelli,749,Crivelli,749,3,Suisse italienne
Galli,733,Galli,733,Galli,733,3,Suisse italienne
Cattaneo,687,Cattaneo,687,Cattaneo,687,3,Suisse italienne
Colombo,570,Colombo,570,Colombo,570,3,Suisse italienne
Cereghetti,552,Cereghetti,552,Cereghetti,552,3,Suisse italienne
Rezzonico,517,Rezzonico,517,Rezzonico,517,3,Suisse italienne
da Silva,488,da Silva,488,da Silva,488,3,Suisse italienne
Müller,465,Müller,465,Müller,465,3,Suisse italienne
Riva,458,Riva,458,Riva,458,3,Suisse italienne
Corti,443,Corti,443,Corti,443,3,Suisse italienne
Pereira,438,Pereira,438,Pereira,438,3,Suisse italienne
Grassi,430,Grassi,430,Grassi,430,3,Suisse italienne
Cavadini,412,Cavadini,412,Cavadini,412,3,Suisse italienne
Zanetti,404,Zanetti,404,Zanetti,404,3,Suisse italienne
Pellegrini,394,Pellegrini,394,Pellegrini,394,3,Suisse italienne
Martinelli,391,Martinelli,391,Martinelli,391,3,Suisse italienne
Russo,385,Russo,385,Russo,385,3,Suisse italienne
Canonica,382,Canonica,382,Canonica,382,3,Suisse italienne
Beretta,381,Beretta,381,Beretta,381,3,Suisse italienne
Crameri,376,Crameri,376,Crameri,376,3,Suisse italienne
Leoni,376,Leoni,376,Leoni,376,3,Suisse italienne
Costa,366,Costa,366,Costa,366,3,Suisse italienne
Quadri,365,Quadri,365,Quadri,365,3,Suisse italienne
Lepori,355,Lepori,355,Lepori,355,3,Suisse italienne
Camponovo,354,Camponovo,354,Camponovo,354,3,Suisse italienne
Sala,354,Sala,354,Sala,354,3,Suisse italienne
Bassi,353,Bassi,353,Bassi,353,3,Suisse italienne
Campana,350,Campana,350,Campana,350,3,Suisse italienne
Soldati,350,Soldati,350,Soldati,350,3,Suisse italienne
Romano,341,Romano,341,Romano,341,3,Suisse italienne
Rusconi,341,Rusconi,341,Rusconi,341,3,Suisse italienne
Ferreira,336,Ferreira,336,Ferreira,336,3,Suisse italienne
Pozzi,335,Pozzi,335,Pozzi,335,3,Suisse italienne
Conti,334,Conti,334,Conti,334,3,Suisse italienne
Croci,331,Croci,331,Croci,331,3,Suisse italienne
Pagani,321,Pagani,321,Pagani,321,3,Suisse italienne
Rodrigues,317,Rodrigues,317,Rodrigues,317,3,Suisse italienne
Balmelli,316,Balmelli,316,Balmelli,316,3,Suisse italienne
Gianinazzi,311,Gianinazzi,311,Gianinazzi,311,3,Suisse italienne
dos Santos,302,dos Santos,302,dos Santos,302,3,Suisse italienne
Keller,301,Keller,301,Keller,301,3,Suisse italienne
Togni,301,Togni,301,Togni,301,3,Suisse italienne
Frigerio,300,Frigerio,300,Frigerio,300,3,Suisse italienne
Sartori,298,Sartori,298,Sartori,298,3,Suisse italienne
Vassalli,298,Vassalli,298,Vassalli,298,3,Suisse italienne
Krasniqi,290,Krasniqi,290,Krasniqi,290,3,Suisse italienne
Poretti,290,Poretti,290,Poretti,290,3,Suisse italienne
Guidotti,285,Guidotti,285,Guidotti,285,3,Suisse italienne
Soldini,283,Soldini,283,Soldini,283,3,Suisse italienne
Fernandes,280,Fernandes,280,Fernandes,280,3,Suisse italienne
Solari,278,Solari,278,Solari,278,3,Suisse italienne
Alberti,274,Alberti,274,Alberti,274,3,Suisse italienne
Guerra,274,Guerra,274,Guerra,274,3,Suisse italienne
Lurati,274,Lurati,274,Lurati,274,3,Suisse italienne
Regazzoni,273,Regazzoni,273,Regazzoni,273,3,Suisse italienne
Giudici,272,Giudici,272,Giudici,272,3,Suisse italienne
Agustoni,270,Agustoni,270,Agustoni,270,3,Suisse italienne
Lucchini,268,Lucchini,268,Lucchini,268,3,Suisse italienne
Valsangiacomo,268,Valsangiacomo,268,Valsangiacomo,268,3,Suisse italienne
