"","gdenr","gemeinde_i","value","pct_gde","top_names_table"
"1",1,"Aeugst am Albis",12,0.6,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Bachmann $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Gerber $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Weiss $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Angst $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Steiner $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£
¢ $/table£"
"2",2,"Affoltern am Albis",73,0.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Krasniqi $/td£ $td£ 73 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Schneebeli $/td£ $td£ 73 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 70 $/td£  $td£ 0.54% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 67 $/td£  $td£ 0.52% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Shala $/td£ $td£ 55 $/td£  $td£ 0.43% $/td£ $/tr£¢ $/table£"
"3",3,"Bonstetten",52,0.91,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 52 $/td£  $td£ 0.91% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 47 $/td£  $td£ 0.82% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Fischer $/td£ $td£ 33 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Huber $/td£ $td£ 28 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Roth $/td£ $td£ 25 $/td£  $td£ 0.44% $/td£ $/tr£¢ $/table£"
"4",4,"Hausen am Albis",34,0.86,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 34 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 34 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Baumann $/td£ $td£ 26 $/td£  $td£ 0.66% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Widmer $/td£ $td£ 22 $/td£  $td£ 0.56% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Studer $/td£ $td£ 21 $/td£  $td£ 0.53% $/td£ $/tr£¢ $/table£"
"5",5,"Hedingen",27,0.67,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schmid $/td£ $td£ 27 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Keller $/td£ $td£ 23 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spillmann $/td£ $td£ 23 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 21 $/td£  $td£ 0.52% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumann $/td£ $td£ 18 $/td£  $td£ 0.45% $/td£ $/tr£¢ $/table£"
"6",6,"Kappel am Albis",25,1.81,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 25 $/td£  $td£ 1.81% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bär $/td£ $td£ 16 $/td£  $td£ 1.16% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Steinmann $/td£ $td£ 15 $/td£  $td£ 1.09% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wüest $/td£ $td£ 15 $/td£  $td£ 1.09% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Berweger $/td£ $td£ 13 $/td£  $td£ 0.94% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schneebeli $/td£ $td£ 13 $/td£  $td£ 0.94% $/td£ $/tr£¢ $/table£"
"7",7,"Knonau",25,1.01,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 25 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bucher $/td£ $td£ 18 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Häfliger $/td£ $td£ 15 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meier $/td£ $td£ 15 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 15 $/td£  $td£ 0.61% $/td£ $/tr£¢ $/table£"
"8",8,"Maschwanden",19,2.81,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Studer $/td£ $td£ 19 $/td£  $td£ 2.81% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Künzi $/td£ $td£ 15 $/td£  $td£ 2.22% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wetli $/td£ $td£ 11 $/td£  $td£ 1.62% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Stehli $/td£ $td£ 10 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bachmann $/td£ $td£ 9 $/td£  $td£ 1.33% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frei $/td£ $td£ 9 $/td£  $td£ 1.33% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Maurer $/td£ $td£ 9 $/td£  $td£ 1.33% $/td£ $/tr£
¢ $/table£"
"9",9,"Mettmenstetten",73,1.27,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 73 $/td£  $td£ 1.27% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Suter $/td£ $td£ 53 $/td£  $td£ 0.92% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schmid $/td£ $td£ 42 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 41 $/td£  $td£ 0.71% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumann $/td£ $td£ 34 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 34 $/td£  $td£ 0.59% $/td£ $/tr£¢ $/table£"
"10",10,"Obfelden",51,0.86,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 51 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 43 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 36 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Häberling $/td£ $td£ 34 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bala $/td£ $td£ 29 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 29 $/td£  $td£ 0.49% $/td£ $/tr£¢ $/table£"
