Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,7587,1,Müller,7587,1,Müller,7587,AG
2,Meier,6431,2,Meier,6431,2,Meier,6431,AG
3,Schmid,4164,3,Schmid,4164,3,Schmid,4164,AG
4,Keller,3298,4,Keller,3298,4,Keller,3298,AG
5,Fischer,2741,5,Fischer,2741,5,Fischer,2741,AG
6,Weber,2546,6,Weber,2546,6,Weber,2546,AG
7,Meyer,2545,7,Meyer,2545,7,Meyer,2545,AG
8,Suter,2538,8,Suter,2538,8,Suter,2538,AG
9,Huber,2514,9,Huber,2514,9,Huber,2514,AG
10,Widmer,2343,10,Widmer,2343,10,Widmer,2343,AG
11,Hunziker,2219,11,Hunziker,2219,11,Hunziker,2219,AG
12,Schneider,2067,12,Schneider,2067,12,Schneider,2067,AG
13,Baumann,2064,13,Baumann,2064,13,Baumann,2064,AG
14,Frei,1950,14,Frei,1950,14,Frei,1950,AG
15,Lüscher,1855,15,Lüscher,1855,15,Lüscher,1855,AG
16,Frey,1759,16,Frey,1759,16,Frey,1759,AG
17,Zimmermann,1673,17,Zimmermann,1673,17,Zimmermann,1673,AG
18,Steiner,1549,18,Steiner,1549,18,Steiner,1549,AG
19,Brunner,1519,19,Brunner,1519,19,Brunner,1519,AG
20,Kaufmann,1515,20,Kaufmann,1515,20,Kaufmann,1515,AG
21,Koch,1505,21,Koch,1505,21,Koch,1505,AG
22,Roth,1439,22,Roth,1439,22,Roth,1439,AG
23,Gloor,1384,23,Gloor,1384,23,Gloor,1384,AG
24,Krasniqi,1327,24,Krasniqi,1327,24,Krasniqi,1327,AG
25,Gashi,1288,25,Gashi,1288,25,Gashi,1288,AG
26,Moser,1277,26,Moser,1277,26,Moser,1277,AG
27,Bolliger,1251,27,Bolliger,1251,27,Bolliger,1251,AG
28,Graf,1172,28,Graf,1172,28,Graf,1172,AG
29,Bachmann,1148,29,Bachmann,1148,29,Bachmann,1148,AG
30,Berisha,1141,30,Berisha,1141,30,Berisha,1141,AG
31,Senn,1138,31,Senn,1138,31,Senn,1138,AG
32,Wyss,1106,32,Wyss,1106,32,Wyss,1106,AG
33,Maurer,1086,33,Maurer,1086,33,Maurer,1086,AG
34,Hofer,1058,34,Hofer,1058,34,Hofer,1058,AG
35,Baumgartner,1054,35,Baumgartner,1054,35,Baumgartner,1054,AG
36,Strebel,1025,36,Strebel,1025,36,Strebel,1025,AG
37,Siegrist,1018,37,Siegrist,1018,37,Siegrist,1018,AG
38,Haller,1017,38,Haller,1017,38,Haller,1017,AG
39,Eichenberger,1007,39,Eichenberger,1007,39,Eichenberger,1007,AG
40,Wernli,990,40,Wernli,990,40,Wernli,990,AG
41,Stutz,982,41,Stutz,982,41,Stutz,982,AG
42,Gerber,909,42,Gerber,909,42,Gerber,909,AG
43,Lüthi,907,43,Lüthi,907,43,Lüthi,907,AG
44,Schärer,906,44,Schärer,906,44,Schärer,906,AG
45,Christen,895,45,Christen,895,45,Christen,895,AG
46,Koller,886,46,Koller,886,46,Koller,886,AG
47,Bucher,878,47,Bucher,878,47,Bucher,878,AG
48,Bühler,875,48,Bühler,875,48,Bühler,875,AG
49,Studer,862,49,Studer,862,49,Studer,862,AG
50,Seiler,855,50,Seiler,855,50,Seiler,855,AG
51,Kunz,820,51,Kunz,820,51,Kunz,820,AG
51,Küng,820,51,Küng,820,51,Küng,820,AG
53,Villiger,802,53,Villiger,802,53,Villiger,802,AG
54,Herzog,801,54,Herzog,801,54,Herzog,801,AG
55,Zehnder,797,55,Zehnder,797,55,Zehnder,797,AG
56,Shala,780,56,Shala,780,56,Shala,780,AG
57,Schär,779,57,Schär,779,57,Schär,779,AG
58,Lehmann,778,58,Lehmann,778,58,Lehmann,778,AG
59,Hasler,774,59,Hasler,774,59,Hasler,774,AG
60,Hofmann,763,60,Hofmann,763,60,Hofmann,763,AG
60,Peter,763,60,Peter,763,60,Peter,763,AG
62,Berger,742,62,Berger,742,62,Berger,742,AG
63,Kuhn,734,63,Kuhn,734,63,Kuhn,734,AG
63,Vogt,734,63,Vogt,734,63,Vogt,734,AG
65,Stocker,733,65,Stocker,733,65,Stocker,733,AG
66,Knecht,729,66,Knecht,729,66,Knecht,729,AG
67,Stöckli,727,67,Stöckli,727,67,Stöckli,727,AG
68,Kohler,718,68,Kohler,718,68,Kohler,718,AG
69,Hauri,717,69,Hauri,717,69,Hauri,717,AG
70,Vogel,713,70,Vogel,713,70,Vogel,713,AG
71,Lang,710,71,Lang,710,71,Lang,710,AG
72,Hartmann,695,72,Hartmann,695,72,Hartmann,695,AG
73,Schweizer,694,73,Schweizer,694,73,Schweizer,694,AG
74,Weiss,681,74,Weiss,681,74,Weiss,681,AG
