Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Inauen,688,1,Inauen,688,1,Inauen,688,AI
2,Fässler,615,2,Fässler,615,2,Fässler,615,AI
3,Manser,610,3,Manser,610,3,Manser,610,AI
4,Koller,413,4,Koller,413,4,Koller,413,AI
5,Sutter,365,5,Sutter,365,5,Sutter,365,AI
6,Dörig,343,6,Dörig,343,6,Dörig,343,AI
7,Signer,329,7,Signer,329,7,Signer,329,AI
8,Neff,268,8,Neff,268,8,Neff,268,AI
9,Rusch,257,9,Rusch,257,9,Rusch,257,AI
10,Schmid,208,10,Schmid,208,10,Schmid,208,AI
11,Brülisauer,203,11,Brülisauer,203,11,Brülisauer,203,AI
12,Koch,198,12,Koch,198,12,Koch,198,AI
13,Fuchs,188,13,Fuchs,188,13,Fuchs,188,AI
14,Fritsche,167,14,Fritsche,167,14,Fritsche,167,AI
15,Ulmann,164,15,Ulmann,164,15,Ulmann,164,AI
16,Streule,162,16,Streule,162,16,Streule,162,AI
17,Rechsteiner,160,17,Rechsteiner,160,17,Rechsteiner,160,AI
18,Gmünder,153,18,Gmünder,153,18,Gmünder,153,AI
19,Eugster,141,19,Eugster,141,19,Eugster,141,AI
20,Bischofberger,131,20,Bischofberger,131,20,Bischofberger,131,AI
21,Hörler,117,21,Hörler,117,21,Hörler,117,AI
21,Koster,117,21,Koster,117,21,Koster,117,AI
23,Graf,114,23,Graf,114,23,Graf,114,AI
24,Räss,109,24,Räss,109,24,Räss,109,AI
25,Sonderegger,101,25,Sonderegger,101,25,Sonderegger,101,AI
26,Knechtle,96,26,Knechtle,96,26,Knechtle,96,AI
27,Broger,93,27,Broger,93,27,Broger,93,AI
28,Huber,92,28,Huber,92,28,Huber,92,AI
29,Moser,91,29,Moser,91,29,Moser,91,AI
30,Fuster,90,30,Fuster,90,30,Fuster,90,AI
30,Keller,90,30,Keller,90,30,Keller,90,AI
30,Mock,90,30,Mock,90,30,Mock,90,AI
33,Rempfler,89,33,Rempfler,89,33,Rempfler,89,AI
34,Breu,85,34,Breu,85,34,Breu,85,AI
35,Kölbener,77,35,Kölbener,77,35,Kölbener,77,AI
36,Stark,74,36,Stark,74,36,Stark,74,AI
36,Wild,74,36,Wild,74,36,Wild,74,AI
38,Haas,73,38,Haas,73,38,Haas,73,AI
39,Breitenmoser,70,39,Breitenmoser,70,39,Breitenmoser,70,AI
40,Zeller,69,40,Zeller,69,40,Zeller,69,AI
41,Enzler,64,41,Enzler,64,41,Enzler,64,AI
42,Müller,61,42,Müller,61,42,Müller,61,AI
43,Mazenauer,60,43,Mazenauer,60,43,Mazenauer,60,AI
44,Ebneter,59,44,Ebneter,59,44,Ebneter,59,AI
44,Wetter,59,44,Wetter,59,44,Wetter,59,AI
46,Büchler,58,46,Büchler,58,46,Büchler,58,AI
46,Dähler,58,46,Dähler,58,46,Dähler,58,AI
48,Dobler,54,48,Dobler,54,48,Dobler,54,AI
48,Geiger,54,48,Geiger,54,48,Geiger,54,AI
48,Rohner,54,48,Rohner,54,48,Rohner,54,AI
51,Speck,51,51,Speck,51,51,Speck,51,AI
52,Wyss,48,52,Wyss,48,52,Wyss,48,AI
53,Bürki,47,53,Bürki,47,53,Bürki,47,AI
54,Hersche,44,54,Hersche,44,54,Hersche,44,AI
55,Hautle,43,55,Hautle,43,55,Hautle,43,AI
56,Schiegg,42,56,Schiegg,42,56,Schiegg,42,AI
56,Zürcher,42,56,Zürcher,42,56,Zürcher,42,AI
58,Baumann,41,58,Baumann,41,58,Baumann,41,AI
59,Heeb,39,59,Heeb,39,59,Heeb,39,AI
