Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,471,1,Müller,471,1,Müller,471,AR
2,Meier,445,2,Meier,445,2,Meier,445,AR
3,Frischknecht,420,3,Frischknecht,420,3,Frischknecht,420,AR
4,Graf,396,4,Graf,396,4,Graf,396,AR
5,Schmid,384,5,Schmid,384,5,Schmid,384,AR
6,Schläpfer,363,6,Schläpfer,363,6,Schläpfer,363,AR
7,Eugster,357,7,Eugster,357,7,Eugster,357,AR
8,Koller,312,8,Koller,312,8,Koller,312,AR
9,Keller,300,9,Keller,300,9,Keller,300,AR
10,Preisig,280,10,Preisig,280,10,Preisig,280,AR
11,Nef,253,11,Nef,253,11,Nef,253,AR
12,Tobler,249,12,Tobler,249,12,Tobler,249,AR
13,Knöpfel,238,13,Knöpfel,238,13,Knöpfel,238,AR
14,Widmer,237,14,Widmer,237,14,Widmer,237,AR
15,Brunner,236,15,Brunner,236,15,Brunner,236,AR
16,Rechsteiner,234,16,Rechsteiner,234,16,Rechsteiner,234,AR
17,Alder,230,17,Alder,230,17,Alder,230,AR
18,Tanner,225,18,Tanner,225,18,Tanner,225,AR
19,Frei,222,19,Frei,222,19,Frei,222,AR
20,Sturzenegger,221,20,Sturzenegger,221,20,Sturzenegger,221,AR
21,Zellweger,215,21,Zellweger,215,21,Zellweger,215,AR
22,Rohner,214,22,Rohner,214,22,Rohner,214,AR
23,Signer,212,23,Signer,212,23,Signer,212,AR
24,Huber,199,24,Huber,199,24,Huber,199,AR
25,Bischof,197,25,Bischof,197,25,Bischof,197,AR
26,Bruderer,195,26,Bruderer,195,26,Bruderer,195,AR
27,Schoch,181,27,Schoch,181,27,Schoch,181,AR
28,Sutter,180,28,Sutter,180,28,Sutter,180,AR
29,Fässler,176,29,Fässler,176,29,Fässler,176,AR
30,Niederer,174,30,Niederer,174,30,Niederer,174,AR
31,Baumann,168,31,Baumann,168,31,Baumann,168,AR
32,Manser,165,32,Manser,165,32,Manser,165,AR
32,Schiess,165,32,Schiess,165,32,Schiess,165,AR
32,Sonderegger,165,32,Sonderegger,165,32,Sonderegger,165,AR
35,Inauen,164,35,Inauen,164,35,Inauen,164,AR
36,Bänziger,156,36,Bänziger,156,36,Bänziger,156,AR
37,Hohl,154,37,Hohl,154,37,Hohl,154,AR
37,Züst,154,37,Züst,154,37,Züst,154,AR
39,Dörig,152,39,Dörig,152,39,Dörig,152,AR
40,Steiner,150,40,Steiner,150,40,Steiner,150,AR
41,Bösch,149,41,Bösch,149,41,Bösch,149,AR
42,Mettler,148,42,Mettler,148,42,Mettler,148,AR
43,Walser,143,43,Walser,143,43,Walser,143,AR
44,Zürcher,141,44,Zürcher,141,44,Zürcher,141,AR
45,Zuberbühler,139,45,Zuberbühler,139,45,Zuberbühler,139,AR
46,Fuchs,138,46,Fuchs,138,46,Fuchs,138,AR
47,Weber,137,47,Weber,137,47,Weber,137,AR
48,Schneider,135,48,Schneider,135,48,Schneider,135,AR
49,Bühler,133,49,Bühler,133,49,Bühler,133,AR
50,Oertle,131,50,Oertle,131,50,Oertle,131,AR
51,Ammann,130,51,Ammann,130,51,Ammann,130,AR
51,Lutz,130,51,Lutz,130,51,Lutz,130,AR
53,Künzler,129,53,Künzler,129,53,Künzler,129,AR
54,Bodenmann,126,54,Bodenmann,126,54,Bodenmann,126,AR
54,Langenegger,126,54,Langenegger,126,54,Langenegger,126,AR
56,Frick,124,56,Frick,124,56,Frick,124,AR
57,Frehner,120,57,Frehner,120,57,Frehner,120,AR
58,Höhener,118,58,Höhener,118,58,Höhener,118,AR
59,Gantenbein,117,59,Gantenbein,117,59,Gantenbein,117,AR
60,Näf,116,60,Näf,116,60,Näf,116,AR
61,Schweizer,109,61,Schweizer,109,61,Schweizer,109,AR
62,Bischofberger,108,62,Bischofberger,108,62,Bischofberger,108,AR
63,Diem,107,63,Diem,107,63,Diem,107,AR
64,Eisenhut,105,64,Eisenhut,105,64,Eisenhut,105,AR
65,Zeller,104,65,Zeller,104,65,Zeller,104,AR
66,Ramsauer,102,66,Ramsauer,102,66,Ramsauer,102,AR
66,Wild,102,66,Wild,102,66,Wild,102,AR
68,Krüsi,101,68,Krüsi,101,68,Krüsi,101,AR
69,Roth,100,69,Roth,100,69,Roth,100,AR
70,Neff,99,70,Neff,99,70,Neff,99,AR
71,Hug,96,71,Hug,96,71,Hug,96,AR
72,Egger,95,72,Egger,95,72,Egger,95,AR
73,Steingruber,94,73,Steingruber,94,73,Steingruber,94,AR
74,Schefer,91,74,Schefer,91,74,Schefer,91,AR
74,Solenthaler,91,74,Solenthaler,91,74,Solenthaler,91,AR
74,Zähner,91,74,Zähner,91,74,Zähner,91,AR
77,Forrer,89,77,Forrer,89,77,Forrer,89,AR
77,Heierli,89,77,Heierli,89,77,Heierli,89,AR
79,Baumgartner,88,79,Baumgartner,88,79,Baumgartner,88,AR
79,Giger,88,79,Giger,88,79,Giger,88,AR
79,Kellenberger,88,79,Kellenberger,88,79,Kellenberger,88,AR
82,Bleiker,84,82,Bleiker,84,82,Bleiker,84,AR
82,Raschle,84,82,Raschle,84,82,Raschle,84,AR
84,Brülisauer,83,84,Brülisauer,83,84,Brülisauer,83,AR
84,Rüegg,83,84,Rüegg,83,84,Rüegg,83,AR
86,Ehrbar,82,86,Ehrbar,82,86,Ehrbar,82,AR
86,Scherrer,82,86,Scherrer,82,86,Scherrer,82,AR
86,Waldburger,82,86,Waldburger,82,86,Waldburger,82,AR
89,Hörler,81,89,Hörler,81,89,Hörler,81,AR
89,Jäger,81,89,Jäger,81,89,Jäger,81,AR
91,Staub,80,91,Staub,80,91,Staub,80,AR
92,Egli,79,92,Egli,79,92,Egli,79,AR
92,Looser,79,92,Looser,79,92,Looser,79,AR
94,Gmünder,78,94,Gmünder,78,94,Gmünder,78,AR
95,Rusch,77,95,Rusch,77,95,Rusch,77,AR
96,Hofstetter,76,96,Hofstetter,76,96,Hofstetter,76,AR
96,Zimmermann,76,96,Zimmermann,76,96,Zimmermann,76,AR
98,Altherr,75,98,Altherr,75,98,Altherr,75,AR
98,Fischer,75,98,Fischer,75,98,Fischer,75,AR
98,Fitze,75,98,Fitze,75,98,Fitze,75,AR
