Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Gerber,7218,1,Gerber,7218,1,Gerber,7218,BE
2,Müller,6462,2,Müller,6462,2,Müller,6462,BE
3,Schmid,4654,3,Schmid,4654,3,Schmid,4654,BE
4,Wüthrich,4147,4,Wüthrich,4147,4,Wüthrich,4147,BE
5,Schneider,4115,5,Schneider,4115,5,Schneider,4115,BE
6,Moser,3986,6,Moser,3986,6,Moser,3986,BE
7,Lüthi,3963,7,Lüthi,3963,7,Lüthi,3963,BE
8,Wyss,3715,8,Wyss,3715,8,Wyss,3715,BE
9,Steiner,3526,9,Steiner,3526,9,Steiner,3526,BE
10,Lehmann,3218,10,Lehmann,3218,10,Lehmann,3218,BE
11,Berger,3164,11,Berger,3164,11,Berger,3164,BE
12,Hofer,3084,12,Hofer,3084,12,Hofer,3084,BE
13,Wenger,2966,13,Wenger,2966,13,Wenger,2966,BE
14,Zürcher,2964,14,Zürcher,2964,14,Zürcher,2964,BE
15,Marti,2829,15,Marti,2829,15,Marti,2829,BE
16,Weber,2781,16,Weber,2781,16,Weber,2781,BE
17,Fankhauser,2679,17,Fankhauser,2679,17,Fankhauser,2679,BE
18,Leuenberger,2645,18,Leuenberger,2645,18,Leuenberger,2645,BE
19,Meyer,2640,19,Meyer,2640,19,Meyer,2640,BE
20,Stucki,2535,20,Stucki,2535,20,Stucki,2535,BE
21,Zaugg,2511,21,Zaugg,2511,21,Zaugg,2511,BE
22,Baumann,2449,22,Baumann,2449,22,Baumann,2449,BE
23,Blaser,2400,23,Blaser,2400,23,Blaser,2400,BE
24,Meier,2332,24,Meier,2332,24,Meier,2332,BE
25,Röthlisberger,2325,25,Röthlisberger,2325,25,Röthlisberger,2325,BE
26,Schär,2317,26,Schär,2317,26,Schär,2317,BE
27,Siegenthaler,2312,27,Siegenthaler,2312,27,Siegenthaler,2312,BE
28,Zimmermann,2302,28,Zimmermann,2302,28,Zimmermann,2302,BE
29,Liechti,2295,29,Liechti,2295,29,Liechti,2295,BE
30,Wittwer,2247,30,Wittwer,2247,30,Wittwer,2247,BE
31,Bieri,2190,31,Bieri,2190,31,Bieri,2190,BE
32,Kunz,2180,32,Kunz,2180,32,Kunz,2180,BE
33,Burri,2174,33,Burri,2174,33,Burri,2174,BE
34,Roth,2113,34,Roth,2113,34,Roth,2113,BE
35,Flückiger,2108,35,Flückiger,2108,35,Flückiger,2108,BE
36,Baumgartner,2093,36,Baumgartner,2093,36,Baumgartner,2093,BE
37,Keller,2029,37,Keller,2029,37,Keller,2029,BE
38,Zbinden,2005,38,Zbinden,2005,38,Zbinden,2005,BE
39,Stalder,1983,39,Stalder,1983,39,Stalder,1983,BE
40,Bühler,1972,40,Bühler,1972,40,Bühler,1972,BE
41,Graf,1965,41,Graf,1965,41,Graf,1965,BE
42,Scheidegger,1958,42,Scheidegger,1958,42,Scheidegger,1958,BE
43,Maurer,1947,43,Maurer,1947,43,Maurer,1947,BE
44,Stettler,1900,44,Stettler,1900,44,Stettler,1900,BE
45,Brunner,1883,45,Brunner,1883,45,Brunner,1883,BE
46,Schwab,1868,46,Schwab,1868,46,Schwab,1868,BE
47,Schüpbach,1808,47,Schüpbach,1808,47,Schüpbach,1808,BE
48,Studer,1804,48,Studer,1804,48,Studer,1804,BE
49,Krebs,1801,49,Krebs,1801,49,Krebs,1801,BE
50,Hänni,1794,50,Hänni,1794,50,Hänni,1794,BE
50,Kohler,1794,50,Kohler,1794,50,Kohler,1794,BE
52,Christen,1791,52,Christen,1791,52,Christen,1791,BE
53,Widmer,1783,53,Widmer,1783,53,Widmer,1783,BE
54,Schenk,1759,54,Schenk,1759,54,Schenk,1759,BE
55,Jost,1745,55,Jost,1745,55,Jost,1745,BE
56,Reber,1726,56,Reber,1726,56,Reber,1726,BE
57,Aeschlimann,1696,57,Aeschlimann,1696,57,Aeschlimann,1696,BE
58,Trachsel,1664,58,Trachsel,1664,58,Trachsel,1664,BE
59,Sommer,1635,59,Sommer,1635,59,Sommer,1635,BE
60,Lanz,1625,60,Lanz,1625,60,Lanz,1625,BE
61,Huber,1583,61,Huber,1583,61,Huber,1583,BE
62,Zwahlen,1572,62,Zwahlen,1572,62,Zwahlen,1572,BE
63,Bärtschi,1545,63,Bärtschi,1545,63,Bärtschi,1545,BE
64,Hostettler,1530,64,Hostettler,1530,64,Hostettler,1530,BE
65,Gfeller,1500,65,Gfeller,1500,65,Gfeller,1500,BE
66,Bigler,1497,66,Bigler,1497,66,Bigler,1497,BE
67,Michel,1475,67,Michel,1475,67,Michel,1475,BE
68,Gasser,1462,68,Gasser,1462,68,Gasser,1462,BE
69,Hirschi,1458,69,Hirschi,1458,69,Hirschi,1458,BE
70,Fischer,1457,70,Fischer,1457,70,Fischer,1457,BE
70,Kaufmann,1457,70,Kaufmann,1457,70,Kaufmann,1457,BE
70,Messerli,1457,70,Messerli,1457,70,Messerli,1457,BE
73,Bürki,1455,73,Bürki,1455,73,Bürki,1455,BE
74,Tschanz,1445,74,Tschanz,1445,74,Tschanz,1445,BE
75,Pfister,1437,75,Pfister,1437,75,Pfister,1437,BE
76,Bachmann,1417,76,Bachmann,1417,76,Bachmann,1417,BE
77,Mathys,1398,77,Mathys,1398,77,Mathys,1398,BE
78,Krähenbühl,1338,78,Krähenbühl,1338,78,Krähenbühl,1338,BE
79,Friedli,1330,79,Friedli,1330,79,Friedli,1330,BE
80,Käser,1290,80,Käser,1290,80,Käser,1290,BE
81,Heiniger,1281,81,Heiniger,1281,81,Heiniger,1281,BE
82,Grossenbacher,1278,82,Grossenbacher,1278,82,Grossenbacher,1278,BE
83,Schweizer,1276,83,Schweizer,1276,83,Schweizer,1276,BE
84,Glauser,1251,84,Glauser,1251,84,Glauser,1251,BE
85,Burkhalter,1248,85,Burkhalter,1248,85,Burkhalter,1248,BE
86,Walther,1226,86,Walther,1226,86,Walther,1226,BE
87,Fuhrer,1219,87,Fuhrer,1219,87,Fuhrer,1219,BE
88,Beyeler,1218,88,Beyeler,1218,88,Beyeler,1218,BE
89,Wälti,1198,89,Wälti,1198,89,Wälti,1198,BE
90,Stauffer,1193,90,Stauffer,1193,90,Stauffer,1193,BE
91,Iseli,1184,91,Iseli,1184,91,Iseli,1184,BE
92,Hofmann,1181,92,Hofmann,1181,92,Hofmann,1181,BE
92,von Allmen,1181,92,von Allmen,1181,92,von Allmen,1181,BE
94,Neuenschwander,1172,94,Neuenschwander,1172,94,Neuenschwander,1172,BE
