Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,2275,1,Müller,2275,1,Müller,2275,BL
2,Meier,1531,2,Meier,1531,2,Meier,1531,BL
3,Schneider,1280,3,Schneider,1280,3,Schneider,1280,BL
4,Meyer,1197,4,Meyer,1197,4,Meyer,1197,BL
5,Schaub,1060,5,Schaub,1060,5,Schaub,1060,BL
6,Weber,1017,6,Weber,1017,6,Weber,1017,BL
7,Schweizer,859,7,Schweizer,859,7,Schweizer,859,BL
8,Thommen,848,8,Thommen,848,8,Thommen,848,BL
9,Buser,805,9,Buser,805,9,Buser,805,BL
10,Schmid,802,10,Schmid,802,10,Schmid,802,BL
11,Gysin,688,11,Gysin,688,11,Gysin,688,BL
12,Steiner,664,12,Steiner,664,12,Steiner,664,BL
13,Keller,641,13,Keller,641,13,Keller,641,BL
14,Graf,636,14,Graf,636,14,Graf,636,BL
15,Frey,608,15,Frey,608,15,Frey,608,BL
16,Roth,601,16,Roth,601,16,Roth,601,BL
17,Wyss,586,17,Wyss,586,17,Wyss,586,BL
18,Sutter,570,18,Sutter,570,18,Sutter,570,BL
19,Brunner,565,19,Brunner,565,19,Brunner,565,BL
20,Rudin,562,20,Rudin,562,20,Rudin,562,BL
21,Huber,561,21,Huber,561,21,Huber,561,BL
22,Fischer,560,22,Fischer,560,22,Fischer,560,BL
23,Bürgin,558,23,Bürgin,558,23,Bürgin,558,BL
24,Baumann,548,24,Baumann,548,24,Baumann,548,BL
24,Gerber,548,24,Gerber,548,24,Gerber,548,BL
26,Borer,534,26,Borer,534,26,Borer,534,BL
27,Studer,518,27,Studer,518,27,Studer,518,BL
28,Degen,507,28,Degen,507,28,Degen,507,BL
29,Wagner,506,29,Wagner,506,29,Wagner,506,BL
30,Moser,503,30,Moser,503,30,Moser,503,BL
31,Vogt,490,31,Vogt,490,31,Vogt,490,BL
32,Hofer,484,32,Hofer,484,32,Hofer,484,BL
33,Kaufmann,473,33,Kaufmann,473,33,Kaufmann,473,BL
33,Kunz,473,33,Kunz,473,33,Kunz,473,BL
35,Martin,463,35,Martin,463,35,Martin,463,BL
36,Imhof,457,36,Imhof,457,36,Imhof,457,BL
36,Schaffner,457,36,Schaffner,457,36,Schaffner,457,BL
36,Zimmermann,457,36,Zimmermann,457,36,Zimmermann,457,BL
39,Schmidlin,451,39,Schmidlin,451,39,Schmidlin,451,BL
40,Berger,450,40,Berger,450,40,Berger,450,BL
41,Tschopp,448,41,Tschopp,448,41,Tschopp,448,BL
42,Grieder,439,42,Grieder,439,42,Grieder,439,BL
43,Frei,431,43,Frei,431,43,Frei,431,BL
44,Hänggi,428,44,Hänggi,428,44,Hänggi,428,BL
