Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,1195,1,Müller,1195,1,Müller,1195
2,Meier,573,2,Meier,573,2,Meier,573
3,Meyer,536,3,Meyer,536,3,Meyer,536
4,Schmid,532,4,Schmid,532,4,Schmid,532
5,Schneider,529,5,Schneider,529,5,Schneider,529
6,Keller,483,6,Keller,483,6,Keller,483
7,Weber,433,7,Weber,433,7,Weber,433
8,Fischer,403,8,Fischer,403,8,Fischer,403
9,Huber,315,9,Huber,315,9,Huber,315
10,Zimmermann,302,10,Zimmermann,302,10,Zimmermann,302
11,Graf,266,11,Graf,266,11,Graf,266
12,Wyss,264,12,Wyss,264,12,Wyss,264
13,Steiner,262,13,Steiner,262,13,Steiner,262
14,Suter,256,14,Suter,256,14,Suter,256
15,Schweizer,254,15,Schweizer,254,15,Schweizer,254
16,Brunner,251,16,Brunner,251,16,Brunner,251
17,Roth,245,17,Roth,245,17,Roth,245
18,Frei,241,18,Frei,241,18,Frei,241
19,Gerber,239,19,Gerber,239,19,Gerber,239
19,Martin,239,19,Martin,239,19,Martin,239
21,Berger,236,21,Berger,236,21,Berger,236
22,Kaufmann,235,22,Kaufmann,235,22,Kaufmann,235
22,Moser,235,22,Moser,235,22,Moser,235
24,Frey,233,24,Frey,233,24,Frey,233
25,Schaub,232,25,Schaub,232,25,Schaub,232
26,Baumann,226,26,Baumann,226,26,Baumann,226
27,Baumgartner,223,27,Baumgartner,223,27,Baumgartner,223
28,Schmidt,221,28,Schmidt,221,28,Schmidt,221
29,Studer,212,29,Studer,212,29,Studer,212
30,Wagner,208,30,Wagner,208,30,Wagner,208
31,Widmer,207,31,Widmer,207,31,Widmer,207
32,Vogt,206,32,Vogt,206,32,Vogt,206
33,Hofer,203,33,Hofer,203,33,Hofer,203
34,Buser,200,34,Buser,200,34,Buser,200
35,Garcia,197,35,Garcia,197,35,Garcia,197
36,Gashi,191,36,Gashi,191,36,Gashi,191
36,Rodriguez,191,36,Rodriguez,191,36,Rodriguez,191
36,Sahin,191,36,Sahin,191,36,Sahin,191
39,da Silva,186,39,da Silva,186,39,da Silva,186
40,Marti,182,40,Marti,182,40,Marti,182
41,Bühler,181,41,Bühler,181,41,Bühler,181
42,Thommen,180,42,Thommen,180,42,Thommen,180
43,Bachmann,179,43,Bachmann,179,43,Bachmann,179
44,Gasser,178,44,Gasser,178,44,Gasser,178
45,Yilmaz,170,45,Yilmaz,170,45,Yilmaz,170
46,Gysin,164,46,Gysin,164,46,Gysin,164
47,Schwarz,163,47,Schwarz,163,47,Schwarz,163
48,Lopez,162,48,Lopez,162,48,Lopez,162
49,Wirz,161,49,Wirz,161,49,Wirz,161
50,Senn,159,50,Senn,159,50,Senn,159
51,Bürgin,158,51,Bürgin,158,51,Bürgin,158
52,Bucher,157,52,Bucher,157,52,Bucher,157
52,Pereira,157,52,Pereira,157,52,Pereira,157
54,Fernandez,156,54,Fernandez,156,54,Fernandez,156
54,Sutter,156,54,Sutter,156,54,Sutter,156
56,Ferreira,153,56,Ferreira,153,56,Ferreira,153
57,Kaiser,152,57,Kaiser,152,57,Kaiser,152
58,Kaya,151,58,Kaya,151,58,Kaya,151
58,Lehmann,151,58,Lehmann,151,58,Lehmann,151
60,Kunz,149,60,Kunz,149,60,Kunz,149
61,Demir,148,61,Demir,148,61,Demir,148
61,Yildiz,148,61,Yildiz,148,61,Yildiz,148
63,Hänggi,143,63,Hänggi,143,63,Hänggi,143
64,Krasniqi,142,64,Krasniqi,142,64,Krasniqi,142
64,Maurer,142,64,Maurer,142,64,Maurer,142
64,Weiss,142,64,Weiss,142,64,Weiss,142
67,Martinez,140,67,Martinez,140,67,Martinez,140
68,Rudin,138,68,Rudin,138,68,Rudin,138
69,Gonzalez,137,69,Gonzalez,137,69,Gonzalez,137
69,Leuenberger,137,69,Leuenberger,137,69,Leuenberger,137
71,Lüthi,136,71,Lüthi,136,71,Lüthi,136
71,Wenger,136,71,Wenger,136,71,Wenger,136
73,Dogan,135,73,Dogan,135,73,Dogan,135
74,Hartmann,133,74,Hartmann,133,74,Hartmann,133
74,Nguyen,133,74,Nguyen,133,74,Nguyen,133
74,Stalder,133,74,Stalder,133,74,Stalder,133
77,Herzog,132,77,Herzog,132,77,Herzog,132
77,Koch,132,77,Koch,132,77,Koch,132
77,Kohler,132,77,Kohler,132,77,Kohler,132
80,Ammann,130,80,Ammann,130,80,Ammann,130
81,Egli,128,81,Egli,128,81,Egli,128
82,Arnold,127,82,Arnold,127,82,Arnold,127
83,Vogel,124,83,Vogel,124,83,Vogel,124
84,Bajrami,122,84,Bajrami,122,84,Bajrami,122
84,Schaffner,122,84,Schaffner,122,84,Schaffner,122
86,Hauser,120,86,Hauser,120,86,Hauser,120
86,Peter,120,86,Peter,120,86,Peter,120
86,Wolf,120,86,Wolf,120,86,Wolf,120
89,Hess,119,89,Hess,119,89,Hess,119
90,Hofmann,118,90,Hofmann,118,90,Hofmann,118
91,Seiler,117,91,Seiler,117,91,Seiler,117
92,Braun,115,92,Braun,115,92,Braun,115
92,Burri,115,92,Burri,115,92,Burri,115
92,Rodrigues,115,92,Rodrigues,115,92,Rodrigues,115
95,Christen,113,95,Christen,113,95,Christen,113
95,Fuchs,113,95,Fuchs,113,95,Fuchs,113
95,Lutz,113,95,Lutz,113,95,Lutz,113
98,Ademaj,112,98,Ademaj,112,98,Ademaj,112
98,Lang,112,98,Lang,112,98,Lang,112
100,Flückiger,111,100,Flückiger,111,100,Flückiger,111
