Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,1578,1,da Silva,1578,1,da Silva,1578
2,Kolly,1182,2,Kolly,1182,2,Kolly,1182
3,Ferreira,1112,3,Ferreira,1112,3,Ferreira,1112
4,Vonlanthen,1071,4,Vonlanthen,1071,4,Vonlanthen,1071
5,Aebischer,1060,5,Aebischer,1060,5,Aebischer,1060
6,Monney,1032,6,Monney,1032,6,Monney,1032
7,Oberson,1022,7,Oberson,1022,7,Oberson,1022
8,Pereira,994,8,Pereira,994,8,Pereira,994
9,Jungo,986,9,Jungo,986,9,Jungo,986
10,dos Santos,971,10,dos Santos,971,10,dos Santos,971
11,Piller,929,11,Piller,929,11,Piller,929
12,Clément,906,12,Clément,906,12,Clément,906
13,Baeriswyl,875,13,Baeriswyl,875,13,Baeriswyl,875
14,Buchs,859,14,Buchs,859,14,Buchs,859
15,Egger,854,15,Egger,854,15,Egger,854
16,Pittet,833,16,Pittet,833,16,Pittet,833
17,Pasquier,822,17,Pasquier,822,17,Pasquier,822
18,Mauron,814,18,Mauron,814,18,Mauron,814
19,Zbinden,813,19,Zbinden,813,19,Zbinden,813
20,Müller,803,20,Müller,803,20,Müller,803
21,Gremaud,801,21,Gremaud,801,21,Gremaud,801
22,Gomes,800,22,Gomes,800,22,Gomes,800
23,Berset,799,23,Berset,799,23,Berset,799
24,Andrey,795,24,Andrey,795,24,Andrey,795
25,Brülhart,794,25,Brülhart,794,25,Brülhart,794
26,Riedo,790,26,Riedo,790,26,Riedo,790
27,Brügger,783,27,Brügger,783,27,Brügger,783
28,Waeber,769,28,Waeber,769,28,Waeber,769
29,Maillard,760,29,Maillard,760,29,Maillard,760
30,Chassot,755,30,Chassot,755,30,Chassot,755
30,Favre,755,30,Favre,755,30,Favre,755
32,Rodrigues,750,32,Rodrigues,750,32,Rodrigues,750
33,Genoud,748,33,Genoud,748,33,Genoud,748
34,Meyer,728,34,Meyer,728,34,Meyer,728
35,Fasel,726,35,Fasel,726,35,Fasel,726
36,Schafer,722,36,Schafer,722,36,Schafer,722
