Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,2527,1,da Silva,2527,1,da Silva,2527
2,Ferreira,1789,2,Ferreira,1789,2,Ferreira,1789
3,Pereira,1695,3,Pereira,1695,3,Pereira,1695
4,Rodrigues,1461,4,Rodrigues,1461,4,Rodrigues,1461
5,dos Santos,1352,5,dos Santos,1352,5,dos Santos,1352
6,Garcia,1122,6,Garcia,1122,6,Garcia,1122
7,Lopes,981,7,Lopes,981,7,Lopes,981
8,Rodriguez,955,8,Rodriguez,955,8,Rodriguez,955
9,Fernandes,914,9,Fernandes,914,9,Fernandes,914
10,Gomes,906,10,Gomes,906,10,Gomes,906
11,Pinto,903,11,Pinto,903,11,Pinto,903
12,Marques,902,12,Marques,902,12,Marques,902
13,Alves,881,13,Alves,881,13,Alves,881
14,Martins,846,14,Martins,846,14,Martins,846
15,Gonzalez,837,15,Gonzalez,837,15,Gonzalez,837
16,Martin,810,16,Martin,810,16,Martin,810
16,Ribeiro,810,16,Ribeiro,810,16,Ribeiro,810
18,da Costa,804,18,da Costa,804,18,da Costa,804
19,Oliveira,784,19,Oliveira,784,19,Oliveira,784
20,Fernandez,771,20,Fernandez,771,20,Fernandez,771
21,de Oliveira,761,21,de Oliveira,761,21,de Oliveira,761
22,Silva,746,22,Silva,746,22,Silva,746
23,Lopez,740,23,Lopez,740,23,Lopez,740
24,Martinez,717,24,Martinez,717,24,Martinez,717
25,Müller,680,25,Müller,680,25,Müller,680
26,Teixeira,678,26,Teixeira,678,26,Teixeira,678
27,Costa,644,27,Costa,644,27,Costa,644
28,Nguyen,639,28,Nguyen,639,28,Nguyen,639
29,Favre,636,29,Favre,636,29,Favre,636
29,Perez,636,29,Perez,636,29,Perez,636
31,Santos,634,31,Santos,634,31,Santos,634
32,Gonçalves,619,32,Gonçalves,619,32,Gonçalves,619
33,Sanchez,543,33,Sanchez,543,33,Sanchez,543
34,Dias,537,34,Dias,537,34,Dias,537
35,Correia,521,35,Correia,521,35,Correia,521
36,Diallo,512,36,Diallo,512,36,Diallo,512
37,de Almeida,507,37,de Almeida,507,37,de Almeida,507
38,Carvalho,499,38,Carvalho,499,38,Carvalho,499
39,Cardoso,487,39,Cardoso,487,39,Cardoso,487
40,de Jesus,482,40,de Jesus,482,40,de Jesus,482
41,Monteiro,477,41,Monteiro,477,41,Monteiro,477
42,Almeida,466,42,Almeida,466,42,Almeida,466
43,Gomez,454,43,Gomez,454,43,Gomez,454
44,Soares,442,44,Soares,442,44,Soares,442
45,Mendes,440,45,Mendes,440,45,Mendes,440
46,Meyer,436,46,Meyer,436,46,Meyer,436
47,Mohamed,422,47,Mohamed,422,47,Mohamed,422
48,Moreira,416,48,Moreira,416,48,Moreira,416
49,de Sousa,410,49,de Sousa,410,49,de Sousa,410
50,Duarte,373,50,Duarte,373,50,Duarte,373
51,Ramos,370,51,Ramos,370,51,Ramos,370
52,Bajrami,369,52,Bajrami,369,52,Bajrami,369
53,Alvarez,361,53,Alvarez,361,53,Alvarez,361
54,Ahmed,348,54,Ahmed,348,54,Ahmed,348
55,Vieira,340,55,Vieira,340,55,Vieira,340
56,Nunes,336,56,Nunes,336,56,Nunes,336
57,Weber,331,57,Weber,331,57,Weber,331
58,Keller,330,58,Keller,330,58,Keller,330
59,Wang,325,59,Wang,325,59,Wang,325
60,Rey,321,60,Rey,321,60,Rey,321
61,Schmid,320,61,Schmid,320,61,Schmid,320
62,Schneider,318,62,Schneider,318,62,Schneider,318
63,Blanc,308,63,Blanc,308,63,Blanc,308
64,Machado,305,64,Machado,305,64,Machado,305
65,Castro,302,65,Castro,302,65,Castro,302
66,Pittet,301,66,Pittet,301,66,Pittet,301
67,Torres,296,67,Torres,296,67,Torres,296
68,Fischer,290,68,Fischer,290,68,Fischer,290
69,Khan,285,69,Khan,285,69,Khan,285
70,Magnin,284,70,Magnin,284,70,Magnin,284
71,Ali,279,71,Ali,279,71,Ali,279
71,Shabani,279,71,Shabani,279,71,Shabani,279
73,Borges,276,73,Borges,276,73,Borges,276
74,Rexhepi,275,74,Rexhepi,275,74,Rexhepi,275
75,Clerc,273,75,Clerc,273,75,Clerc,273
76,Rochat,272,76,Rochat,272,76,Rochat,272
77,Moreno,270,77,Moreno,270,77,Moreno,270
77,Ruiz,270,77,Ruiz,270,77,Ruiz,270
79,Sousa,262,79,Sousa,262,79,Sousa,262
80,Vazquez,260,80,Vazquez,260,80,Vazquez,260
81,Rossi,256,81,Rossi,256,81,Rossi,256
82,Diaz,254,82,Diaz,254,82,Diaz,254
83,Meier,253,83,Meier,253,83,Meier,253
83,Morel,253,83,Morel,253,83,Morel,253
85,Batista,249,85,Batista,249,85,Batista,249
86,Berger,248,86,Berger,248,86,Berger,248
86,Rossier,248,86,Rossier,248,86,Rossier,248
88,Cruz,244,88,Cruz,244,88,Cruz,244
89,Li,237,89,Li,237,89,Li,237
90,Chappuis,233,90,Chappuis,233,90,Chappuis,233
90,Hernandez,233,90,Hernandez,233,90,Hernandez,233
92,Ramadani,232,92,Ramadani,232,92,Ramadani,232
93,Perret,231,93,Perret,231,93,Perret,231
94,Reymond,230,94,Reymond,230,94,Reymond,230
95,Barbosa,229,95,Barbosa,229,95,Barbosa,229
95,Michel,229,95,Michel,229,95,Michel,229
97,Gaillard,228,97,Gaillard,228,97,Gaillard,228
98,Perrin,227,98,Perrin,227,98,Perrin,227
99,Dubois,226,99,Dubois,226,99,Dubois,226
99,Grandjean,226,99,Grandjean,226,99,Grandjean,226
