Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,475,1,Müller,475,1,Müller,475
2,Landolt,451,2,Landolt,451,2,Landolt,451
3,Hefti,432,3,Hefti,432,3,Hefti,432
4,Marti,382,4,Marti,382,4,Marti,382
5,Fischli,331,5,Fischli,331,5,Fischli,331
6,Rhyner,328,6,Rhyner,328,6,Rhyner,328
7,Zweifel,307,7,Zweifel,307,7,Zweifel,307
8,Leuzinger,299,8,Leuzinger,299,8,Leuzinger,299
9,Weber,286,9,Weber,286,9,Weber,286
10,Elmer,273,10,Elmer,273,10,Elmer,273
11,Hauser,252,11,Hauser,252,11,Hauser,252
11,Hösli,252,11,Hösli,252,11,Hösli,252
13,Zimmermann,241,13,Zimmermann,241,13,Zimmermann,241
14,Stüssi,237,14,Stüssi,237,14,Stüssi,237
15,Kamm,226,15,Kamm,226,15,Kamm,226
16,Luchsinger,222,16,Luchsinger,222,16,Luchsinger,222
17,Menzi,214,17,Menzi,214,17,Menzi,214
18,Schiesser,197,18,Schiesser,197,18,Schiesser,197
19,Dürst,193,19,Dürst,193,19,Dürst,193
20,Jenny,192,20,Jenny,192,20,Jenny,192
21,Gallati,180,21,Gallati,180,21,Gallati,180
22,Tschudi,162,22,Tschudi,162,22,Tschudi,162
23,Schuler,160,23,Schuler,160,23,Schuler,160
24,Schmid,158,24,Schmid,158,24,Schmid,158
25,Schneider,152,25,Schneider,152,25,Schneider,152
26,Schnyder,149,26,Schnyder,149,26,Schnyder,149
27,Feldmann,145,27,Feldmann,145,27,Feldmann,145
28,Baumgartner,143,28,Baumgartner,143,28,Baumgartner,143
29,Blumer,142,29,Blumer,142,29,Blumer,142
30,Steinmann,141,30,Steinmann,141,30,Steinmann,141
31,Bäbler,140,31,Bäbler,140,31,Bäbler,140
31,Meier,140,31,Meier,140,31,Meier,140
31,Streiff,140,31,Streiff,140,31,Streiff,140
34,Ramadani,135,34,Ramadani,135,34,Ramadani,135
35,Stucki,125,35,Stucki,125,35,Stucki,125
36,Gisler,121,36,Gisler,121,36,Gisler,121
37,Noser,114,37,Noser,114,37,Noser,114
37,Schwitter,114,37,Schwitter,114,37,Schwitter,114
37,Steiner,114,37,Steiner,114,37,Steiner,114
40,da Silva,113,40,da Silva,113,40,da Silva,113
41,Schindler,100,41,Schindler,100,41,Schindler,100
42,Züger,99,42,Züger,99,42,Züger,99
43,Küng,96,43,Küng,96,43,Küng,96
44,Knobel,94,44,Knobel,94,44,Knobel,94
44,Thoma,94,44,Thoma,94,44,Thoma,94
46,Beglinger,88,46,Beglinger,88,46,Beglinger,88
47,Hämmerli,87,47,Hämmerli,87,47,Hämmerli,87
48,Kistler,86,48,Kistler,86,48,Kistler,86
49,Aebli,85,49,Aebli,85,49,Aebli,85
49,Keller,85,49,Keller,85,49,Keller,85
51,Kundert,84,51,Kundert,84,51,Kundert,84
52,Ferreira,83,52,Ferreira,83,52,Ferreira,83
52,Freuler,83,52,Freuler,83,52,Freuler,83
52,Jud,83,52,Jud,83,52,Jud,83
55,Asani,81,55,Asani,81,55,Asani,81
56,Kubli,80,56,Kubli,80,56,Kubli,80
57,Mächler,78,57,Mächler,78,57,Mächler,78
58,Brunner,77,58,Brunner,77,58,Brunner,77
58,Bühler,77,58,Bühler,77,58,Bühler,77
60,Vögeli,74,60,Vögeli,74,60,Vögeli,74
61,Lienhard,71,61,Lienhard,71,61,Lienhard,71
61,Oswald,71,61,Oswald,71,61,Oswald,71
63,Aschwanden,68,63,Aschwanden,68,63,Aschwanden,68
63,Giger,68,63,Giger,68,63,Giger,68
63,Huber,68,63,Huber,68,63,Huber,68
63,Kälin,68,63,Kälin,68,63,Kälin,68
63,Trümpi,68,63,Trümpi,68,63,Trümpi,68
68,Heer,66,68,Heer,66,68,Heer,66
68,Vogel,66,68,Vogel,66,68,Vogel,66
