Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Fleury,515,1,Fleury,515,1,Fleury,515
2,Cattin,442,2,Cattin,442,2,Cattin,442
2,Chételat,442,2,Chételat,442,2,Chételat,442
4,Willemin,433,4,Willemin,433,4,Willemin,433
5,Boillat,423,5,Boillat,423,5,Boillat,423
5,Froidevaux,423,5,Froidevaux,423,5,Froidevaux,423
7,Lachat,414,7,Lachat,414,7,Lachat,414
8,Montavon,334,8,Montavon,334,8,Montavon,334
9,Charmillot,332,9,Charmillot,332,9,Charmillot,332
10,Schaller,316,10,Schaller,316,10,Schaller,316
11,Vallat,308,11,Vallat,308,11,Vallat,308
12,Beuret,307,12,Beuret,307,12,Beuret,307
13,Girardin,301,13,Girardin,301,13,Girardin,301
14,Gerber,298,14,Gerber,298,14,Gerber,298
15,Rebetez,279,15,Rebetez,279,15,Rebetez,279
16,Beuchat,253,16,Beuchat,253,16,Beuchat,253
17,Erard,248,17,Erard,248,17,Erard,248
17,Gigon,248,17,Gigon,248,17,Gigon,248
19,Aubry,236,19,Aubry,236,19,Aubry,236
20,Frésard,231,20,Frésard,231,20,Frésard,231
21,Rais,226,21,Rais,226,21,Rais,226
22,Meyer,225,22,Meyer,225,22,Meyer,225
23,Voisard,224,23,Voisard,224,23,Voisard,224
24,Chappuis,215,24,Chappuis,215,24,Chappuis,215
25,Chèvre,211,25,Chèvre,211,25,Chèvre,211
26,Juillerat,205,26,Juillerat,205,26,Juillerat,205
27,Chapuis,203,27,Chapuis,203,27,Chapuis,203
27,Joliat,203,27,Joliat,203,27,Joliat,203
29,Donzé,199,29,Donzé,199,29,Donzé,199
30,Frund,196,30,Frund,196,30,Frund,196
31,Marchand,195,31,Marchand,195,31,Marchand,195
32,Theurillat,192,32,Theurillat,192,32,Theurillat,192
33,Lovis,188,33,Lovis,188,33,Lovis,188
34,Maître,186,34,Maître,186,34,Maître,186
35,Koller,185,35,Koller,185,35,Koller,185
36,Marquis,184,36,Marquis,184,36,Marquis,184
37,Gogniat,179,37,Gogniat,179,37,Gogniat,179
37,Schaffter,179,37,Schaffter,179,37,Schaffter,179
39,Queloz,177,39,Queloz,177,39,Queloz,177
40,Riat,176,40,Riat,176,40,Riat,176
41,Rérat,173,41,Rérat,173,41,Rérat,173
42,Buchwalder,172,42,Buchwalder,172,42,Buchwalder,172
43,Farine,171,43,Farine,171,43,Farine,171
44,Christe,170,44,Christe,170,44,Christe,170
45,Kohler,165,45,Kohler,165,45,Kohler,165
46,Brahier,164,46,Brahier,164,46,Brahier,164
46,Seuret,164,46,Seuret,164,46,Seuret,164
48,Jobin,163,48,Jobin,163,48,Jobin,163
49,Vuillaume,161,49,Vuillaume,161,49,Vuillaume,161
50,Choffat,160,50,Choffat,160,50,Choffat,160
50,Choulat,160,50,Choulat,160,50,Choulat,160
52,Petignat,158,52,Petignat,158,52,Petignat,158
53,Crelier,157,53,Crelier,157,53,Crelier,157
54,Bron,156,54,Bron,156,54,Bron,156
55,Kottelat,155,55,Kottelat,155,55,Kottelat,155
56,Cerf,153,56,Cerf,153,56,Cerf,153
56,Comte,153,56,Comte,153,56,Comte,153
58,Bourquard,152,58,Bourquard,152,58,Bourquard,152
59,Berberat,149,59,Berberat,149,59,Berberat,149
60,Jolidon,148,60,Jolidon,148,60,Jolidon,148
60,Ribeaud,148,60,Ribeaud,148,60,Ribeaud,148
62,Gigandet,144,62,Gigandet,144,62,Gigandet,144
63,Comment,142,63,Comment,142,63,Comment,142
63,da Silva,142,63,da Silva,142,63,da Silva,142
63,Müller,142,63,Müller,142,63,Müller,142
66,Studer,139,66,Studer,139,66,Studer,139
67,Dominé,137,67,Dominé,137,67,Dominé,137
67,Maillard,137,67,Maillard,137,67,Maillard,137
69,Baume,134,69,Baume,134,69,Baume,134
69,Cortat,134,69,Cortat,134,69,Cortat,134
71,Michel,133,71,Michel,133,71,Michel,133
72,Ackermann,129,72,Ackermann,129,72,Ackermann,129
72,Broquet,129,72,Broquet,129,72,Broquet,129
74,Monnerat,128,74,Monnerat,128,74,Monnerat,128
75,Rossé,126,75,Rossé,126,75,Rossé,126
75,Roth,126,75,Roth,126,75,Roth,126
77,Simon,125,77,Simon,125,77,Simon,125
77,Stadelmann,125,77,Stadelmann,125,77,Stadelmann,125
77,Wermeille,125,77,Wermeille,125,77,Wermeille,125
80,Chavanne,124,80,Chavanne,124,80,Chavanne,124
80,Schaffner,124,80,Schaffner,124,80,Schaffner,124
82,Fridez,123,82,Fridez,123,82,Fridez,123
83,Hulmann,122,83,Hulmann,122,83,Hulmann,122
83,Zuber,122,83,Zuber,122,83,Zuber,122
85,Girard,121,85,Girard,121,85,Girard,121
86,Schneider,119,86,Schneider,119,86,Schneider,119
87,Humair,116,87,Humair,116,87,Humair,116
87,Paratte,116,87,Paratte,116,87,Paratte,116
89,Maitre,115,89,Maitre,115,89,Maitre,115
89,Oeuvray,115,89,Oeuvray,115,89,Oeuvray,115
91,Joray,114,91,Joray,114,91,Joray,114
91,Migy,114,91,Migy,114,91,Migy,114
93,Crétin,113,93,Crétin,113,93,Crétin,113
93,Miserez,113,93,Miserez,113,93,Miserez,113
93,Piquerez,113,93,Piquerez,113,93,Piquerez,113
96,Guélat,111,96,Guélat,111,96,Guélat,111
96,Voirol,111,96,Voirol,111,96,Voirol,111
98,Odiet,110,98,Odiet,110,98,Odiet,110
98,Theubet,110,98,Theubet,110,98,Theubet,110
100,Guerdat,108,100,Guerdat,108,100,Guerdat,108
