Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,1104,1,da Silva,1104,1,da Silva,1104
2,Ferreira,706,2,Ferreira,706,2,Ferreira,706
3,dos Santos,631,3,dos Santos,631,3,dos Santos,631
4,Pereira,538,4,Pereira,538,4,Pereira,538
5,Dubois,533,5,Dubois,533,5,Dubois,533
6,Jeanneret,526,6,Jeanneret,526,6,Jeanneret,526
7,Gomes,471,7,Gomes,471,7,Gomes,471
8,Jacot,416,8,Jacot,416,8,Jacot,416
9,Perret,376,9,Perret,376,9,Perret,376
10,Rodrigues,369,10,Rodrigues,369,10,Rodrigues,369
11,Alves,356,11,Alves,356,11,Alves,356
12,Oliveira,350,12,Oliveira,350,12,Oliveira,350
13,Leuba,345,13,Leuba,345,13,Leuba,345
14,Müller,310,14,Müller,310,14,Müller,310
15,Robert-Nicoud,304,15,Robert-Nicoud,304,15,Robert-Nicoud,304
16,da Costa,303,16,da Costa,303,16,da Costa,303
16,Gonçalves,303,16,Gonçalves,303,16,Gonçalves,303
18,Marques,300,18,Marques,300,18,Marques,300
19,Stauffer,298,19,Stauffer,298,19,Stauffer,298
20,Favre,296,20,Favre,296,20,Favre,296
20,Robert,296,20,Robert,296,20,Robert,296
22,Fernandes,295,22,Fernandes,295,22,Fernandes,295
23,Meyer,276,23,Meyer,276,23,Meyer,276
24,Berger,274,24,Berger,274,24,Berger,274
24,Gerber,274,24,Gerber,274,24,Gerber,274
26,de Oliveira,271,26,de Oliveira,271,26,de Oliveira,271
27,Schneider,266,27,Schneider,266,27,Schneider,266
28,Bourquin,262,28,Bourquin,262,28,Bourquin,262
29,Monnier,259,29,Monnier,259,29,Monnier,259
30,Lopes,258,30,Lopes,258,30,Lopes,258
31,Geiser,257,31,Geiser,257,31,Geiser,257
32,Martins,254,32,Martins,254,32,Martins,254
32,Perrin,254,32,Perrin,254,32,Perrin,254
34,Jaquet,253,34,Jaquet,253,34,Jaquet,253
35,Sandoz,250,35,Sandoz,250,35,Sandoz,250
36,Benoit,247,36,Benoit,247,36,Benoit,247
37,Moreira,245,37,Moreira,245,37,Moreira,245
38,Racine,243,38,Racine,243,38,Racine,243
39,Garcia,241,39,Garcia,241,39,Garcia,241
40,Martin,239,40,Martin,239,40,Martin,239
41,Vuille,238,41,Vuille,238,41,Vuille,238
42,Oppliger,237,42,Oppliger,237,42,Oppliger,237
43,Boillat,233,43,Boillat,233,43,Boillat,233
44,Dias,232,44,Dias,232,44,Dias,232
45,Richard,230,45,Richard,230,45,Richard,230
46,Maire,229,46,Maire,229,46,Maire,229
46,Santos,229,46,Santos,229,46,Santos,229
48,Pellaton,228,48,Pellaton,228,48,Pellaton,228
49,Pinto,223,49,Pinto,223,49,Pinto,223
50,Perrenoud,222,50,Perrenoud,222,50,Perrenoud,222
51,Silva,218,51,Silva,218,51,Silva,218
52,Matthey-de-l'Endroit,215,52,Matthey-de-l'Endroit,215,52,Matthey-de-l'Endroit,215
53,Teixeira,213,53,Teixeira,213,53,Teixeira,213
54,Junod,211,54,Junod,211,54,Junod,211
55,de Sousa,210,55,de Sousa,210,55,de Sousa,210
56,Vuilleumier,208,56,Vuilleumier,208,56,Vuilleumier,208
57,Moser,206,57,Moser,206,57,Moser,206
58,Montandon,201,58,Montandon,201,58,Montandon,201
58,Thiébaud,201,58,Thiébaud,201,58,Thiébaud,201
60,Froidevaux,198,60,Froidevaux,198,60,Froidevaux,198
60,Vaucher,198,60,Vaucher,198,60,Vaucher,198
60,Weber,198,60,Weber,198,60,Weber,198
63,Ducommun,197,63,Ducommun,197,63,Ducommun,197
64,Cattin,194,64,Cattin,194,64,Cattin,194
65,Schmid,193,65,Schmid,193,65,Schmid,193
66,Steiner,192,66,Steiner,192,66,Steiner,192
67,Porret,190,67,Porret,190,67,Porret,190
68,Ribeiro,189,68,Ribeiro,189,68,Ribeiro,189
69,Aubry,187,69,Aubry,187,69,Aubry,187
70,de Jesus,185,70,de Jesus,185,70,de Jesus,185
71,Cuche,184,71,Cuche,184,71,Cuche,184
72,Borel,182,72,Borel,182,72,Borel,182
73,Schwab,177,73,Schwab,177,73,Schwab,177
74,Christen,176,74,Christen,176,74,Christen,176
75,Béguin,175,75,Béguin,175,75,Béguin,175
75,Girardin,175,75,Girardin,175,75,Girardin,175
77,Almeida,174,77,Almeida,174,77,Almeida,174
78,Roth,167,78,Roth,167,78,Roth,167
79,Soares,165,79,Soares,165,79,Soares,165
79,Vermot-Petit-Outhenin,165,79,Vermot-Petit-Outhenin,165,79,Vermot-Petit-Outhenin,165
79,Wenger,165,79,Wenger,165,79,Wenger,165
82,Clerc,164,82,Clerc,164,82,Clerc,164
83,Erard,162,83,Erard,162,83,Erard,162
84,Brunner,161,84,Brunner,161,84,Brunner,161
84,Calame,161,84,Calame,161,84,Calame,161
86,Costa,157,86,Costa,157,86,Costa,157
87,Maurer,156,87,Maurer,156,87,Maurer,156
88,Challandes,155,88,Challandes,155,88,Challandes,155
89,Fernandez,154,89,Fernandez,154,89,Fernandez,154
90,Guyot,153,90,Guyot,153,90,Guyot,153
91,Grandjean,150,91,Grandjean,150,91,Grandjean,150
92,Bühler,149,92,Bühler,149,92,Bühler,149
93,Correia,148,93,Correia,148,93,Correia,148
93,Mendes,148,93,Mendes,148,93,Mendes,148
95,Aeschlimann,147,95,Aeschlimann,147,95,Aeschlimann,147
96,Amstutz,146,96,Amstutz,146,96,Amstutz,146
96,Huguenin-Dumittan,146,96,Huguenin-Dumittan,146,96,Huguenin-Dumittan,146
98,Aubert,145,98,Aubert,145,98,Aubert,145
99,Droz-dit-Busset,144,99,Droz-dit-Busset,144,99,Droz-dit-Busset,144
100,Hirschi,143,100,Hirschi,143,100,Hirschi,143
