Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Odermatt,1483,1,Odermatt,1483,1,Odermatt,1483
2,Niederberger,934,2,Niederberger,934,2,Niederberger,934
3,Christen,768,3,Christen,768,3,Christen,768
4,Barmettler,660,4,Barmettler,660,4,Barmettler,660
5,Mathis,544,5,Mathis,544,5,Mathis,544
6,Käslin,496,6,Käslin,496,6,Käslin,496
7,Zimmermann,468,7,Zimmermann,468,7,Zimmermann,468
8,Würsch,429,8,Würsch,429,8,Würsch,429
9,Achermann,427,9,Achermann,427,9,Achermann,427
10,Blättler,412,10,Blättler,412,10,Blättler,412
11,Waser,371,11,Waser,371,11,Waser,371
12,Müller,363,12,Müller,363,12,Müller,363
13,Murer,334,13,Murer,334,13,Murer,334
14,Gander,322,14,Gander,322,14,Gander,322
15,Lussi,321,15,Lussi,321,15,Lussi,321
16,Durrer,316,16,Durrer,316,16,Durrer,316
17,Zumbühl,306,17,Zumbühl,306,17,Zumbühl,306
18,Gabriel,274,18,Gabriel,274,18,Gabriel,274
19,Amstutz,270,19,Amstutz,270,19,Amstutz,270
20,Scheuber,252,20,Scheuber,252,20,Scheuber,252
21,Näpflin,235,21,Näpflin,235,21,Näpflin,235
22,Amstad,229,22,Amstad,229,22,Amstad,229
23,Bucher,212,23,Bucher,212,23,Bucher,212
24,Keiser,210,24,Keiser,210,24,Keiser,210
25,Wyrsch,184,25,Wyrsch,184,25,Wyrsch,184
26,Imboden,169,26,Imboden,169,26,Imboden,169
27,Frank,164,27,Frank,164,27,Frank,164
28,Arnold,162,28,Arnold,162,28,Arnold,162
29,Ambauen,159,29,Ambauen,159,29,Ambauen,159
30,Joller,156,30,Joller,156,30,Joller,156
31,Liem,153,31,Liem,153,31,Liem,153
32,Meier,147,32,Meier,147,32,Meier,147
33,Gut,146,33,Gut,146,33,Gut,146
34,Bircher,142,34,Bircher,142,34,Bircher,142
35,Baumgartner,139,35,Baumgartner,139,35,Baumgartner,139
36,Schmid,134,36,Schmid,134,36,Schmid,134
37,Hess,129,37,Hess,129,37,Hess,129
38,Fischer,124,38,Fischer,124,38,Fischer,124
39,von Holzen,123,39,von Holzen,123,39,von Holzen,123
40,Kaiser,120,40,Kaiser,120,40,Kaiser,120
41,Schuler,115,41,Schuler,115,41,Schuler,115
42,Risi,114,42,Risi,114,42,Risi,114
43,Rohrer,112,43,Rohrer,112,43,Rohrer,112
44,Steiner,111,44,Steiner,111,44,Steiner,111
45,Gisler,109,45,Gisler,109,45,Gisler,109
46,Flühler,106,46,Flühler,106,46,Flühler,106
47,Hurschler,101,47,Hurschler,101,47,Hurschler,101
48,Bissig,95,48,Bissig,95,48,Bissig,95
49,Businger,93,49,Businger,93,49,Businger,93
50,Wyss,90,50,Wyss,90,50,Wyss,90
51,Flury,88,51,Flury,88,51,Flury,88
51,Keller,88,51,Keller,88,51,Keller,88
53,Meyer,87,53,Meyer,87,53,Meyer,87
53,Weber,87,53,Weber,87,53,Weber,87
55,Huber,86,55,Huber,86,55,Huber,86
56,Bachmann,85,56,Bachmann,85,56,Bachmann,85
56,von Büren,85,56,von Büren,85,56,von Büren,85
58,Stalder,84,58,Stalder,84,58,Stalder,84
59,Birrer,83,59,Birrer,83,59,Birrer,83
60,Aschwanden,82,60,Aschwanden,82,60,Aschwanden,82
60,Kaufmann,82,60,Kaufmann,82,60,Kaufmann,82
60,Zwyssig,82,60,Zwyssig,82,60,Zwyssig,82
63,Vogel,81,63,Vogel,81,63,Vogel,81
63,Wagner,81,63,Wagner,81,63,Wagner,81
65,Bühlmann,76,65,Bühlmann,76,65,Bühlmann,76
65,Stöckli,76,65,Stöckli,76,65,Stöckli,76
67,Walker,75,67,Walker,75,67,Walker,75
68,Bühler,72,68,Bühler,72,68,Bühler,72
68,Koch,72,68,Koch,72,68,Koch,72
70,Filliger,71,70,Filliger,71,70,Filliger,71
70,von Rotz,71,70,von Rotz,71,70,von Rotz,71
72,Baumann,70,72,Baumann,70,72,Baumann,70
72,Berisha,70,72,Berisha,70,72,Berisha,70
72,Roth,70,72,Roth,70,72,Roth,70
75,Herger,69,75,Herger,69,75,Herger,69
75,Schneider,69,75,Schneider,69,75,Schneider,69
77,Sigrist,68,77,Sigrist,68,77,Sigrist,68
78,Flüeler,67,78,Flüeler,67,78,Flüeler,67
78,Furrer,67,78,Furrer,67,78,Furrer,67
80,Wallimann,66,80,Wallimann,66,80,Wallimann,66
81,Portmann,63,81,Portmann,63,81,Portmann,63
82,Frei,62,82,Frei,62,82,Frei,62
83,Bünter,61,83,Bünter,61,83,Bünter,61
84,Bieri,60,84,Bieri,60,84,Bieri,60
85,Häfliger,59,85,Häfliger,59,85,Häfliger,59
86,Egli,58,86,Egli,58,86,Egli,58
86,Ettlin,58,86,Ettlin,58,86,Ettlin,58
88,Huser,57,88,Huser,57,88,Huser,57
88,Tresch,57,88,Tresch,57,88,Tresch,57
90,Amrein,56,90,Amrein,56,90,Amrein,56
90,Erni,56,90,Erni,56,90,Erni,56
90,Graf,56,90,Graf,56,90,Graf,56
90,Infanger,56,90,Infanger,56,90,Infanger,56
94,Wicki,55,94,Wicki,55,94,Wicki,55
95,Schmitter,54,95,Schmitter,54,95,Schmitter,54
95,Truttmann,54,95,Truttmann,54,95,Truttmann,54
97,Hug,53,97,Hug,53,97,Hug,53
97,Renggli,53,97,Renggli,53,97,Renggli,53
99,Britschgi,50,99,Britschgi,50,99,Britschgi,50
99,Fuchs,50,99,Fuchs,50,99,Fuchs,50
