Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Rohrer,817,1,Rohrer,817,1,Rohrer,817
2,Durrer,807,2,Durrer,807,2,Durrer,807
3,Burch,754,3,Burch,754,3,Burch,754
4,Bucher,554,4,Bucher,554,4,Bucher,554
5,Gasser,537,5,Gasser,537,5,Gasser,537
6,von Rotz,479,6,von Rotz,479,6,von Rotz,479
7,Imfeld,465,7,Imfeld,465,7,Imfeld,465
8,Wallimann,460,8,Wallimann,460,8,Wallimann,460
9,Britschgi,409,9,Britschgi,409,9,Britschgi,409
10,Kiser,395,10,Kiser,395,10,Kiser,395
11,Ettlin,388,11,Ettlin,388,11,Ettlin,388
12,Halter,360,12,Halter,360,12,Halter,360
13,Müller,349,13,Müller,349,13,Müller,349
14,Omlin,344,14,Omlin,344,14,Omlin,344
15,Kathriner,336,15,Kathriner,336,15,Kathriner,336
16,Ming,332,16,Ming,332,16,Ming,332
17,Odermatt,324,17,Odermatt,324,17,Odermatt,324
18,Röthlin,316,18,Röthlin,316,18,Röthlin,316
19,von Ah,290,19,von Ah,290,19,von Ah,290
20,Küchler,286,20,Küchler,286,20,Küchler,286
21,Spichtig,279,21,Spichtig,279,21,Spichtig,279
22,Vogler,274,22,Vogler,274,22,Vogler,274
23,Berchtold,268,23,Berchtold,268,23,Berchtold,268
24,Enz,244,24,Enz,244,24,Enz,244
25,Abächerli,237,25,Abächerli,237,25,Abächerli,237
26,Niederberger,231,26,Niederberger,231,26,Niederberger,231
27,Zumstein,219,27,Zumstein,219,27,Zumstein,219
28,Michel,212,28,Michel,212,28,Michel,212
29,Sigrist,198,29,Sigrist,198,29,Sigrist,198
30,Barmettler,191,30,Barmettler,191,30,Barmettler,191
30,von Moos,191,30,von Moos,191,30,von Moos,191
30,von Wyl,191,30,von Wyl,191,30,von Wyl,191
33,Blättler,184,33,Blättler,184,33,Blättler,184
34,Waser,181,34,Waser,181,34,Waser,181
35,Krummenacher,179,35,Krummenacher,179,35,Krummenacher,179
36,Windlin,177,36,Windlin,177,36,Windlin,177
37,Mathis,175,37,Mathis,175,37,Mathis,175
38,Hurschler,173,38,Hurschler,173,38,Hurschler,173
39,von Flüe,166,39,von Flüe,166,39,von Flüe,166
40,Reinhard,165,40,Reinhard,165,40,Reinhard,165
41,Hess,163,41,Hess,163,41,Hess,163
42,Riebli,158,42,Riebli,158,42,Riebli,158
43,Fanger,129,43,Fanger,129,43,Fanger,129
44,Dillier,128,44,Dillier,128,44,Dillier,128
45,Häcki,126,45,Häcki,126,45,Häcki,126
46,Christen,125,46,Christen,125,46,Christen,125
47,Amstutz,117,47,Amstutz,117,47,Amstutz,117
48,Schleiss,116,48,Schleiss,116,48,Schleiss,116
49,Jakober,115,49,Jakober,115,49,Jakober,115
49,Matter,115,49,Matter,115,49,Matter,115
51,Egger,108,51,Egger,108,51,Egger,108
52,von Deschwanden,106,52,von Deschwanden,106,52,von Deschwanden,106
53,Furrer,105,53,Furrer,105,53,Furrer,105
53,Langensand,105,53,Langensand,105,53,Langensand,105
55,von Atzigen,102,55,von Atzigen,102,55,von Atzigen,102
56,Küng,99,56,Küng,99,56,Küng,99
57,Anderhalden,91,57,Anderhalden,91,57,Anderhalden,91
58,Arnold,90,58,Arnold,90,58,Arnold,90
59,Limacher,88,59,Limacher,88,59,Limacher,88
60,Amgarten,86,60,Amgarten,86,60,Amgarten,86
61,Meier,85,61,Meier,85,61,Meier,85
62,Berwert,84,62,Berwert,84,62,Berwert,84
62,Huber,84,62,Huber,84,62,Huber,84
64,Amstalden,80,64,Amstalden,80,64,Amstalden,80
64,Wolf,80,64,Wolf,80,64,Wolf,80
66,Zimmermann,78,66,Zimmermann,78,66,Zimmermann,78
67,Kaufmann,76,67,Kaufmann,76,67,Kaufmann,76
68,Eberli,73,68,Eberli,73,68,Eberli,73
68,Infanger,73,68,Infanger,73,68,Infanger,73
68,Schrackmann,73,68,Schrackmann,73,68,Schrackmann,73
71,Achermann,71,71,Achermann,71,71,Achermann,71
71,Zumbühl,71,71,Zumbühl,71,71,Zumbühl,71
73,Gisler,70,73,Gisler,70,73,Gisler,70
74,Flück,69,74,Flück,69,74,Flück,69
75,Peter,67,75,Peter,67,75,Peter,67
75,Zurmühle,67,75,Zurmühle,67,75,Zurmühle,67
77,Bürgi,66,77,Bürgi,66,77,Bürgi,66
77,Wirz,66,77,Wirz,66,77,Wirz,66
79,Abegg,64,79,Abegg,64,79,Abegg,64
79,da Silva,64,79,da Silva,64,79,da Silva,64
81,Berisha,63,81,Berisha,63,81,Berisha,63
81,Schmid,63,81,Schmid,63,81,Schmid,63
83,Meyer,62,83,Meyer,62,83,Meyer,62
83,Portmann,62,83,Portmann,62,83,Portmann,62
85,Amrhein,61,85,Amrhein,61,85,Amrhein,61
85,Ziegler,61,85,Ziegler,61,85,Ziegler,61
87,Koch,60,87,Koch,60,87,Koch,60
88,Stalder,59,88,Stalder,59,88,Stalder,59
89,Gabriel,58,89,Gabriel,58,89,Gabriel,58
89,Wagner,58,89,Wagner,58,89,Wagner,58
91,Aufdermauer,57,91,Aufdermauer,57,91,Aufdermauer,57
