Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,3853,1,Müller,3853,1,Müller,3853
2,Keller,2632,2,Keller,2632,2,Keller,2632
3,Schmid,2343,3,Schmid,2343,3,Schmid,2343
4,Frei,2167,4,Frei,2167,4,Frei,2167
5,Meier,1943,5,Meier,1943,5,Meier,1943
6,Brunner,1660,6,Brunner,1660,6,Brunner,1660
7,Graf,1536,7,Graf,1536,7,Graf,1536
8,Huber,1522,8,Huber,1522,8,Huber,1522
9,Schneider,1517,9,Schneider,1517,9,Schneider,1517
10,Scherrer,1512,10,Scherrer,1512,10,Scherrer,1512
11,Rüegg,1488,11,Rüegg,1488,11,Rüegg,1488
12,Steiner,1447,12,Steiner,1447,12,Steiner,1447
13,Baumgartner,1415,13,Baumgartner,1415,13,Baumgartner,1415
14,Bischof,1329,14,Bischof,1329,14,Bischof,1329
15,Weber,1276,15,Weber,1276,15,Weber,1276
16,Hutter,1213,16,Hutter,1213,16,Hutter,1213
17,Widmer,1203,17,Widmer,1203,17,Widmer,1203
18,Koller,1202,18,Koller,1202,18,Koller,1202
19,Eggenberger,1158,19,Eggenberger,1158,19,Eggenberger,1158
20,Baumann,1152,20,Baumann,1152,20,Baumann,1152
21,Egli,1136,21,Egli,1136,21,Egli,1136
22,Jud,1039,22,Jud,1039,22,Jud,1039
23,Schönenberger,1037,23,Schönenberger,1037,23,Schönenberger,1037
24,Ackermann,1012,24,Ackermann,1012,24,Ackermann,1012
25,Sieber,1009,25,Sieber,1009,25,Sieber,1009
26,Bösch,1006,26,Bösch,1006,26,Bösch,1006
27,Giger,1005,27,Giger,1005,27,Giger,1005
28,Rohner,981,28,Rohner,981,28,Rohner,981
29,Sutter,974,29,Sutter,974,29,Sutter,974
30,Schlegel,973,30,Schlegel,973,30,Schlegel,973
31,Moser,966,31,Moser,966,31,Moser,966
32,Eberle,954,32,Eberle,954,32,Eberle,954
33,Kuster,952,33,Kuster,952,33,Kuster,952
34,Roth,940,34,Roth,940,34,Roth,940
35,Eugster,937,35,Eugster,937,35,Eugster,937
36,Bühler,924,36,Bühler,924,36,Bühler,924
37,Ammann,895,37,Ammann,895,37,Ammann,895
38,Vetsch,880,38,Vetsch,880,38,Vetsch,880
39,Thoma,876,39,Thoma,876,39,Thoma,876
40,Näf,865,40,Näf,865,40,Näf,865
41,Gmür,864,41,Gmür,864,41,Gmür,864
42,Good,862,42,Good,862,42,Good,862
43,Egger,846,43,Egger,846,43,Egger,846
44,Grob,822,44,Grob,822,44,Grob,822
45,Benz,815,45,Benz,815,45,Benz,815
46,Rutz,809,46,Rutz,809,46,Rutz,809
47,Heeb,805,47,Heeb,805,47,Heeb,805
48,Brändle,801,48,Brändle,801,48,Brändle,801
48,Lüchinger,801,48,Lüchinger,801,48,Lüchinger,801
50,Oberholzer,785,50,Oberholzer,785,50,Oberholzer,785
51,Hollenstein,780,51,Hollenstein,780,51,Hollenstein,780
52,Hug,775,52,Hug,775,52,Hug,775
53,Zimmermann,771,53,Zimmermann,771,53,Zimmermann,771
54,Tobler,766,54,Tobler,766,54,Tobler,766
55,Walser,747,55,Walser,747,55,Walser,747
56,Krasniqi,731,56,Krasniqi,731,56,Krasniqi,731
57,Sonderegger,730,57,Sonderegger,730,57,Sonderegger,730
58,Büchel,713,58,Büchel,713,58,Büchel,713
59,Steiger,703,59,Steiger,703,59,Steiger,703
60,Kühne,700,60,Kühne,700,60,Kühne,700
61,Fischer,698,61,Fischer,698,61,Fischer,698
62,Wüst,684,62,Wüst,684,62,Wüst,684
63,Frischknecht,674,63,Frischknecht,674,63,Frischknecht,674
64,Fässler,672,64,Fässler,672,64,Fässler,672
65,Willi,667,65,Willi,667,65,Willi,667
66,Lutz,666,66,Lutz,666,66,Lutz,666
67,Manser,665,67,Manser,665,67,Manser,665
68,Tanner,663,68,Tanner,663,68,Tanner,663
69,Schweizer,662,69,Schweizer,662,69,Schweizer,662
70,Gschwend,661,70,Gschwend,661,70,Gschwend,661
71,Gantenbein,660,71,Gantenbein,660,71,Gantenbein,660
72,Hasler,646,72,Hasler,646,72,Hasler,646
73,Wildhaber,644,73,Wildhaber,644,73,Wildhaber,644
74,Forrer,643,74,Forrer,643,74,Forrer,643
75,Fuchs,641,75,Fuchs,641,75,Fuchs,641
76,Senn,639,76,Senn,639,76,Senn,639
77,Ramadani,631,77,Ramadani,631,77,Ramadani,631
78,Germann,622,78,Germann,622,78,Germann,622
79,Lehmann,616,79,Lehmann,616,79,Lehmann,616
80,Weder,614,80,Weder,614,80,Weder,614
81,Bachmann,609,81,Bachmann,609,81,Bachmann,609
82,Eigenmann,603,82,Eigenmann,603,82,Eigenmann,603
83,Lenherr,601,83,Lenherr,601,83,Lenherr,601
84,Hartmann,597,84,Hartmann,597,84,Hartmann,597
85,Kobler,595,85,Kobler,595,85,Kobler,595
86,Köppel,594,86,Köppel,594,86,Köppel,594
87,Gubser,590,87,Gubser,590,87,Gubser,590
88,Hobi,575,88,Hobi,575,88,Hobi,575
89,Hofstetter,574,89,Hofstetter,574,89,Hofstetter,574
90,Stieger,566,90,Stieger,566,90,Stieger,566
91,Jäger,565,91,Jäger,565,91,Jäger,565
92,Wagner,563,92,Wagner,563,92,Wagner,563
93,Hauser,553,93,Hauser,553,93,Hauser,553
