Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,885,1,Müller,885,1,Müller,885
2,Meier,537,2,Meier,537,2,Meier,537
3,Keller,492,3,Keller,492,3,Keller,492
4,Leu,423,4,Leu,423,4,Leu,423
5,Weber,397,5,Weber,397,5,Weber,397
6,Schmid,393,6,Schmid,393,6,Schmid,393
7,Bührer,363,7,Bührer,363,7,Bührer,363
8,Stamm,351,8,Stamm,351,8,Stamm,351
8,Wanner,351,8,Wanner,351,8,Wanner,351
10,Graf,295,10,Graf,295,10,Graf,295
11,Tanner,284,11,Tanner,284,11,Tanner,284
12,Schneider,282,12,Schneider,282,12,Schneider,282
13,Schlatter,272,13,Schlatter,272,13,Schlatter,272
14,Fischer,251,14,Fischer,251,14,Fischer,251
15,Meyer,234,15,Meyer,234,15,Meyer,234
16,Baumann,230,16,Baumann,230,16,Baumann,230
17,Huber,227,17,Huber,227,17,Huber,227
18,Walter,218,18,Walter,218,18,Walter,218
19,Meister,216,19,Meister,216,19,Meister,216
20,Werner,208,20,Werner,208,20,Werner,208
21,Gasser,197,21,Gasser,197,21,Gasser,197
22,Zimmermann,195,22,Zimmermann,195,22,Zimmermann,195
23,Brunner,193,23,Brunner,193,23,Brunner,193
24,Bolli,182,24,Bolli,182,24,Bolli,182
25,Bollinger,180,25,Bollinger,180,25,Bollinger,180
26,Hauser,178,26,Hauser,178,26,Hauser,178
27,Brütsch,176,27,Brütsch,176,27,Brütsch,176
28,Frei,163,28,Frei,163,28,Frei,163
29,Gysel,161,29,Gysel,161,29,Gysel,161
30,Stoll,160,30,Stoll,160,30,Stoll,160
31,Waldvogel,159,31,Waldvogel,159,31,Waldvogel,159
32,Winzeler,154,32,Winzeler,154,32,Winzeler,154
33,Gnädinger,152,33,Gnädinger,152,33,Gnädinger,152
34,Ehrat,147,34,Ehrat,147,34,Ehrat,147
35,Krasniqi,142,35,Krasniqi,142,35,Krasniqi,142
36,Fehr,140,36,Fehr,140,36,Fehr,140
37,Bachmann,135,37,Bachmann,135,37,Bachmann,135
37,Moser,135,37,Moser,135,37,Moser,135
39,Widmer,133,39,Widmer,133,39,Widmer,133
40,Bächtold,127,40,Bächtold,127,40,Bächtold,127
41,Peter,122,41,Peter,122,41,Peter,122
41,Steinemann,122,41,Steinemann,122,41,Steinemann,122
43,Ochsner,121,43,Ochsner,121,43,Ochsner,121
44,Fuchs,120,44,Fuchs,120,44,Fuchs,120
44,Koch,120,44,Koch,120,44,Koch,120
46,Suter,118,46,Suter,118,46,Suter,118
47,Ruh,116,47,Ruh,116,47,Ruh,116
47,Schudel,116,47,Schudel,116,47,Schudel,116
49,Brühlmann,114,49,Brühlmann,114,49,Brühlmann,114
50,Kunz,111,50,Kunz,111,50,Kunz,111
51,Vogelsanger,110,51,Vogelsanger,110,51,Vogelsanger,110
52,Schwaninger,109,52,Schwaninger,109,52,Schwaninger,109
53,Berisha,105,53,Berisha,105,53,Berisha,105
53,Neidhart,105,53,Neidhart,105,53,Neidhart,105
55,Frey,101,55,Frey,101,55,Frey,101
56,Külling,100,56,Külling,100,56,Külling,100
56,Wehrli,100,56,Wehrli,100,56,Wehrli,100
58,Neukomm,98,58,Neukomm,98,58,Neukomm,98
59,Ritzmann,97,59,Ritzmann,97,59,Ritzmann,97
60,Wäckerlin,96,60,Wäckerlin,96,60,Wäckerlin,96
61,Ademi,95,61,Ademi,95,61,Ademi,95
61,Kern,95,61,Kern,95,61,Kern,95
61,Kübler,95,61,Kübler,95,61,Kübler,95
61,Roth,95,61,Roth,95,61,Roth,95
61,Rüedi,95,61,Rüedi,95,61,Rüedi,95
66,Hug,94,66,Hug,94,66,Hug,94
67,Hedinger,93,67,Hedinger,93,67,Hedinger,93
68,Möckli,92,68,Möckli,92,68,Möckli,92
68,Ott,92,68,Ott,92,68,Ott,92
70,Schwyn,91,70,Schwyn,91,70,Schwyn,91
70,Sigg,91,70,Sigg,91,70,Sigg,91
72,Hallauer,88,72,Hallauer,88,72,Hallauer,88
72,Ziegler,88,72,Ziegler,88,72,Ziegler,88
74,Roost,86,74,Roost,86,74,Roost,86
75,Greutmann,85,75,Greutmann,85,75,Greutmann,85
76,Berger,84,76,Berger,84,76,Berger,84
76,Schaad,84,76,Schaad,84,76,Schaad,84
78,Egli,81,78,Egli,81,78,Egli,81
78,Lang,81,78,Lang,81,78,Lang,81
78,Maier,81,78,Maier,81,78,Maier,81
81,Studer,80,81,Studer,80,81,Studer,80
82,Lüthi,79,82,Lüthi,79,82,Lüthi,79
82,Schweizer,79,82,Schweizer,79,82,Schweizer,79
84,Pletscher,78,84,Pletscher,78,84,Pletscher,78
84,Schilling,78,84,Schilling,78,84,Schilling,78
86,Russenberger,77,86,Russenberger,77,86,Russenberger,77
87,Steiner,75,87,Steiner,75,87,Steiner,75
87,Wyss,75,87,Wyss,75,87,Wyss,75
89,Baumgartner,74,89,Baumgartner,74,89,Baumgartner,74
89,Stocker,74,89,Stocker,74,89,Stocker,74
89,Uehlinger,74,89,Uehlinger,74,89,Uehlinger,74
92,Hafner,73,92,Hafner,73,92,Hafner,73
92,Pfister,73,92,Pfister,73,92,Pfister,73
92,Shala,73,92,Shala,73,92,Shala,73
95,Christen,72,95,Christen,72,95,Christen,72
95,Germann,72,95,Germann,72,95,Germann,72
97,Braun,71,97,Braun,71,97,Braun,71
98,Kuhn,70,98,Kuhn,70,98,Kuhn,70
98,Wagner,70,98,Wagner,70,98,Wagner,70
100,Kaufmann,68,100,Kaufmann,68,100,Kaufmann,68
