Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,2293,1,Müller,2293,1,Müller,2293,SO
2,Meier,1707,2,Meier,1707,2,Meier,1707,SO
3,Studer,1527,3,Studer,1527,3,Studer,1527,SO
4,Wyss,1466,4,Wyss,1466,4,Wyss,1466,SO
5,Schmid,977,5,Schmid,977,5,Schmid,977,SO
6,Jäggi,927,6,Jäggi,927,6,Jäggi,927,SO
7,Steiner,903,7,Steiner,903,7,Steiner,903,SO
8,Flury,846,8,Flury,846,8,Flury,846,SO
9,Schneider,838,9,Schneider,838,9,Schneider,838,SO
10,von Arx,820,10,von Arx,820,10,von Arx,820,SO
11,Borer,816,11,Borer,816,11,Borer,816,SO
11,Moser,816,11,Moser,816,11,Moser,816,SO
13,Marti,797,13,Marti,797,13,Marti,797,SO
14,Brunner,770,14,Brunner,770,14,Brunner,770,SO
15,Weber,764,15,Weber,764,15,Weber,764,SO
16,Lüthi,751,16,Lüthi,751,16,Lüthi,751,SO
17,Hänggi,749,17,Hänggi,749,17,Hänggi,749,SO
18,Roth,672,18,Roth,672,18,Roth,672,SO
19,Hofer,652,19,Hofer,652,19,Hofer,652,SO
20,Ackermann,644,20,Ackermann,644,20,Ackermann,644,SO
21,Probst,636,21,Probst,636,21,Probst,636,SO
22,Gerber,625,22,Gerber,625,22,Gerber,625,SO
23,Meyer,624,23,Meyer,624,23,Meyer,624,SO
24,Fluri,610,24,Fluri,610,24,Fluri,610,SO
25,Bader,593,25,Bader,593,25,Bader,593,SO
26,Huber,592,26,Huber,592,26,Huber,592,SO
27,Allemann,580,27,Allemann,580,27,Allemann,580,SO
28,Fischer,574,28,Fischer,574,28,Fischer,574,SO
29,Berger,571,29,Berger,571,29,Berger,571,SO
30,Zimmermann,567,30,Zimmermann,567,30,Zimmermann,567,SO
31,Kaufmann,561,31,Kaufmann,561,31,Kaufmann,561,SO
32,Kohler,542,32,Kohler,542,32,Kohler,542,SO
33,Baumgartner,539,33,Baumgartner,539,33,Baumgartner,539,SO
33,Stampfli,539,33,Stampfli,539,33,Stampfli,539,SO
35,Affolter,531,35,Affolter,531,35,Affolter,531,SO
36,Meister,526,36,Meister,526,36,Meister,526,SO
37,Keller,509,37,Keller,509,37,Keller,509,SO
38,Lehmann,508,38,Lehmann,508,38,Lehmann,508,SO
