Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Kälin,2718,1,Kälin,2718,1,Kälin,2718
2,Betschart,2072,2,Betschart,2072,2,Betschart,2072
3,Schuler,1936,3,Schuler,1936,3,Schuler,1936
4,Müller,1306,4,Müller,1306,4,Müller,1306
5,Steiner,1279,5,Steiner,1279,5,Steiner,1279
6,Marty,1232,6,Marty,1232,6,Marty,1232
7,Suter,1216,7,Suter,1216,7,Suter,1216
8,Gwerder,1022,8,Gwerder,1022,8,Gwerder,1022
9,Ulrich,906,9,Ulrich,906,9,Ulrich,906
10,Reichmuth,890,10,Reichmuth,890,10,Reichmuth,890
11,Mächler,847,11,Mächler,847,11,Mächler,847
12,Camenzind,800,12,Camenzind,800,12,Camenzind,800
13,Züger,795,13,Züger,795,13,Züger,795
14,Schelbert,780,14,Schelbert,780,14,Schelbert,780
15,Fuchs,730,15,Fuchs,730,15,Fuchs,730
16,Fässler,681,16,Fässler,681,16,Fässler,681
17,Keller,639,17,Keller,639,17,Keller,639
18,Weber,637,18,Weber,637,18,Weber,637
19,Heinzer,622,19,Heinzer,622,19,Heinzer,622
20,Schmid,619,20,Schmid,619,20,Schmid,619
21,Meier,617,21,Meier,617,21,Meier,617
22,Bürgler,614,22,Bürgler,614,22,Bürgler,614
23,Inderbitzin,609,23,Inderbitzin,609,23,Inderbitzin,609
24,Diethelm,577,24,Diethelm,577,24,Diethelm,577
25,Holdener,576,25,Holdener,576,25,Holdener,576
26,Schönbächler,572,26,Schönbächler,572,26,Schönbächler,572
27,Auf der Maur,554,27,Auf der Maur,554,27,Auf der Maur,554
28,Reichlin,533,28,Reichlin,533,28,Reichlin,533
29,Lüönd,510,29,Lüönd,510,29,Lüönd,510
30,Huber,508,30,Huber,508,30,Huber,508
31,Bruhin,505,31,Bruhin,505,31,Bruhin,505
32,Schnyder,488,32,Schnyder,488,32,Schnyder,488
33,Mettler,470,33,Mettler,470,33,Mettler,470
34,Beeler,466,34,Beeler,466,34,Beeler,466
35,Kistler,463,35,Kistler,463,35,Kistler,463
36,Birchler,457,36,Birchler,457,36,Birchler,457
37,Kessler,433,37,Kessler,433,37,Kessler,433
38,Gisler,425,38,Gisler,425,38,Gisler,425
39,Zehnder,419,39,Zehnder,419,39,Zehnder,419
40,Föhn,407,40,Föhn,407,40,Föhn,407
41,Bachmann,395,41,Bachmann,395,41,Bachmann,395
42,Imhof,394,42,Imhof,394,42,Imhof,394
43,Arnold,385,43,Arnold,385,43,Arnold,385
44,Vogt,374,44,Vogt,374,44,Vogt,374
45,Ziegler,351,45,Ziegler,351,45,Ziegler,351
46,Schmidig,344,46,Schmidig,344,46,Schmidig,344
47,Baumann,338,47,Baumann,338,47,Baumann,338
48,Ochsner,337,48,Ochsner,337,48,Ochsner,337
49,Bamert,324,49,Bamert,324,49,Bamert,324
50,Annen,320,50,Annen,320,50,Annen,320
50,Horat,320,50,Horat,320,50,Horat,320
52,Ruoss,317,52,Ruoss,317,52,Ruoss,317
53,Meyer,315,53,Meyer,315,53,Meyer,315
54,Knobel,312,54,Knobel,312,54,Knobel,312
55,Zimmermann,310,55,Zimmermann,310,55,Zimmermann,310
56,Bisig,309,56,Bisig,309,56,Bisig,309
57,Schnüriger,303,57,Schnüriger,303,57,Schnüriger,303
58,Bürgi,301,58,Bürgi,301,58,Bürgi,301
59,Ott,293,59,Ott,293,59,Ott,293
60,Küttel,291,60,Küttel,291,60,Küttel,291
61,Schnellmann,290,61,Schnellmann,290,61,Schnellmann,290
62,Büeler,288,62,Büeler,288,62,Büeler,288
63,Pfyl,270,63,Pfyl,270,63,Pfyl,270
64,Schilter,256,64,Schilter,256,64,Schilter,256
64,Tschümperlin,256,64,Tschümperlin,256,64,Tschümperlin,256
66,Pfister,254,66,Pfister,254,66,Pfister,254
67,Bucher,246,67,Bucher,246,67,Bucher,246
68,Rüegg,245,68,Rüegg,245,68,Rüegg,245
69,Moser,243,69,Moser,243,69,Moser,243
70,Späni,242,70,Späni,242,70,Späni,242
71,Dettling,239,71,Dettling,239,71,Dettling,239
71,Walker,239,71,Walker,239,71,Walker,239
73,Hegner,236,73,Hegner,236,73,Hegner,236
74,Feusi,234,74,Feusi,234,74,Feusi,234
75,Schneider,230,75,Schneider,230,75,Schneider,230
76,Nauer,228,76,Nauer,228,76,Nauer,228
77,Wiget,225,77,Wiget,225,77,Wiget,225
78,Sidler,222,78,Sidler,222,78,Sidler,222
79,Iten,221,79,Iten,221,79,Iten,221
80,Landolt,220,80,Landolt,220,80,Landolt,220
81,Ehrler,217,81,Ehrler,217,81,Ehrler,217
81,Fischer,217,81,Fischer,217,81,Fischer,217
83,Graf,214,83,Graf,214,83,Graf,214
83,Odermatt,214,83,Odermatt,214,83,Odermatt,214
85,Christen,212,85,Christen,212,85,Christen,212
86,Fleischmann,210,86,Fleischmann,210,86,Fleischmann,210
86,Koller,210,86,Koller,210,86,Koller,210
88,Kuriger,208,88,Kuriger,208,88,Kuriger,208
89,Rickenbacher,207,89,Rickenbacher,207,89,Rickenbacher,207
90,Nussbaumer,206,90,Nussbaumer,206,90,Nussbaumer,206
91,Nideröst,205,91,Nideröst,205,91,Nideröst,205
91,Stocker,205,91,Stocker,205,91,Stocker,205
93,Ziltener,204,93,Ziltener,204,93,Ziltener,204
94,Frei,198,94,Frei,198,94,Frei,198
94,Gyr,198,94,Gyr,198,94,Gyr,198
96,Kaufmann,197,96,Kaufmann,197,96,Kaufmann,197
97,Baggenstos,196,97,Baggenstos,196,97,Baggenstos,196
97,Grab,196,97,Grab,196,97,Grab,196
99,Dobler,195,99,Dobler,195,99,Dobler,195
100,Kamer,192,100,Kamer,192,100,Kamer,192
