Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,2731,1,Müller,2731,1,Müller,2731,TG
2,Keller,2304,2,Keller,2304,2,Keller,2304,TG
3,Schmid,1595,3,Schmid,1595,3,Schmid,1595,TG
4,Meier,1385,4,Meier,1385,4,Meier,1385,TG
5,Huber,1223,5,Huber,1223,5,Huber,1223,TG
6,Frei,1092,6,Frei,1092,6,Frei,1092,TG
7,Weber,975,7,Weber,975,7,Weber,975,TG
8,Graf,779,8,Graf,779,8,Graf,779,TG
8,Schneider,779,8,Schneider,779,8,Schneider,779,TG
10,Ammann,696,10,Ammann,696,10,Ammann,696,TG
11,Roth,666,11,Roth,666,11,Roth,666,TG
12,Brunner,647,12,Brunner,647,12,Brunner,647,TG
13,Widmer,644,13,Widmer,644,13,Widmer,644,TG
14,Baumann,639,14,Baumann,639,14,Baumann,639,TG
15,Stäheli,624,15,Stäheli,624,15,Stäheli,624,TG
16,Fischer,605,16,Fischer,605,16,Fischer,605,TG
17,Hug,586,17,Hug,586,17,Hug,586,TG
18,Baumgartner,556,18,Baumgartner,556,18,Baumgartner,556,TG
19,Scherrer,548,19,Scherrer,548,19,Scherrer,548,TG
20,Bachmann,535,20,Bachmann,535,20,Bachmann,535,TG
21,Herzog,520,21,Herzog,520,21,Herzog,520,TG
22,Moser,514,22,Moser,514,22,Moser,514,TG
23,Bühler,492,23,Bühler,492,23,Bühler,492,TG
24,Meyer,468,24,Meyer,468,24,Meyer,468,TG
25,Steiner,464,25,Steiner,464,25,Steiner,464,TG
26,Koller,459,26,Koller,459,26,Koller,459,TG
27,Koch,436,27,Koch,436,27,Koch,436,TG
28,Lüthi,435,28,Lüthi,435,28,Lüthi,435,TG
29,Gerber,420,29,Gerber,420,29,Gerber,420,TG
30,Egli,413,30,Egli,413,30,Egli,413,TG
31,Tanner,402,31,Tanner,402,31,Tanner,402,TG
32,Rutishauser,395,32,Rutishauser,395,32,Rutishauser,395,TG
33,Zimmermann,391,33,Zimmermann,391,33,Zimmermann,391,TG
34,Schenk,386,34,Schenk,386,34,Schenk,386,TG
35,Schär,382,35,Schär,382,35,Schär,382,TG
36,Rüegg,380,36,Rüegg,380,36,Rüegg,380,TG
37,Fuchs,373,37,Fuchs,373,37,Fuchs,373,TG
37,Tobler,373,37,Tobler,373,37,Tobler,373,TG
39,Forster,371,39,Forster,371,39,Forster,371,TG
40,Zürcher,367,40,Zürcher,367,40,Zürcher,367,TG
41,Germann,358,41,Germann,358,41,Germann,358,TG
42,Lehmann,353,42,Lehmann,353,42,Lehmann,353,TG
43,Hofer,351,43,Hofer,351,43,Hofer,351,TG
44,Peter,350,44,Peter,350,44,Peter,350,TG
45,Wagner,349,45,Wagner,349,45,Wagner,349,TG
46,Hasler,346,46,Hasler,346,46,Hasler,346,TG
47,Pfister,345,47,Pfister,345,47,Pfister,345,TG
47,Schweizer,345,47,Schweizer,345,47,Schweizer,345,TG
49,Thalmann,341,49,Thalmann,341,49,Thalmann,341,TG
50,Egger,338,50,Egger,338,50,Egger,338,TG
51,Eugster,330,51,Eugster,330,51,Eugster,330,TG
52,Fehr,329,52,Fehr,329,52,Fehr,329,TG
52,Studer,329,52,Studer,329,52,Studer,329,TG
54,Eberle,327,54,Eberle,327,54,Eberle,327,TG
55,Ramadani,317,55,Ramadani,317,55,Ramadani,317,TG
56,Schwarz,316,56,Schwarz,316,56,Schwarz,316,TG
57,Lang,315,57,Lang,315,57,Lang,315,TG
58,Hauser,313,58,Hauser,313,58,Hauser,313,TG
59,Sutter,312,59,Sutter,312,59,Sutter,312,TG
60,Kuhn,310,60,Kuhn,310,60,Kuhn,310,TG
61,Brühwiler,305,61,Brühwiler,305,61,Brühwiler,305,TG
62,Frischknecht,304,62,Frischknecht,304,62,Frischknecht,304,TG
62,Hess,304,62,Hess,304,62,Hess,304,TG
64,Grob,297,64,Grob,297,64,Grob,297,TG
65,Hofmann,296,65,Hofmann,296,65,Hofmann,296,TG
66,Schönholzer,293,66,Schönholzer,293,66,Schönholzer,293,TG
67,Hungerbühler,292,67,Hungerbühler,292,67,Hungerbühler,292,TG
67,Näf,292,67,Näf,292,67,Näf,292,TG
69,Gubler,287,69,Gubler,287,69,Gubler,287,TG
70,Imhof,282,70,Imhof,282,70,Imhof,282,TG
71,Oswald,281,71,Oswald,281,71,Oswald,281,TG
72,Gasser,279,72,Gasser,279,72,Gasser,279,TG
73,Bischof,278,73,Bischof,278,73,Bischof,278,TG
74,Rohner,277,74,Rohner,277,74,Rohner,277,TG
75,Kreis,272,75,Kreis,272,75,Kreis,272,TG
76,Brändle,269,76,Brändle,269,76,Brändle,269,TG
76,da Silva,269,76,da Silva,269,76,da Silva,269,TG
76,Hollenstein,269,76,Hollenstein,269,76,Hollenstein,269,TG
79,Berger,267,79,Berger,267,79,Berger,267,TG
80,Krasniqi,265,80,Krasniqi,265,80,Krasniqi,265,TG
81,Bär,264,81,Bär,264,81,Bär,264,TG
82,Kaiser,263,82,Kaiser,263,82,Kaiser,263,TG
83,Rechsteiner,262,83,Rechsteiner,262,83,Rechsteiner,262,TG
84,Wirth,260,84,Wirth,260,84,Wirth,260,TG
85,Schwager,259,85,Schwager,259,85,Schwager,259,TG
86,Kaufmann,258,86,Kaufmann,258,86,Kaufmann,258,TG
87,Bösch,257,87,Bösch,257,87,Bösch,257,TG
88,Fässler,256,88,Fässler,256,88,Fässler,256,TG
88,Manser,256,88,Manser,256,88,Manser,256,TG
88,Mettler,256,88,Mettler,256,88,Mettler,256,TG
91,Marti,255,91,Marti,255,91,Marti,255,TG
91,Schmidt,255,91,Schmidt,255,91,Schmidt,255,TG
93,Stutz,254,93,Stutz,254,93,Stutz,254,TG
94,Senn,253,94,Senn,253,94,Senn,253,TG
95,Kunz,252,95,Kunz,252,95,Kunz,252,TG
96,Weibel,251,96,Weibel,251,96,Weibel,251,TG
97,Schönenberger,250,97,Schönenberger,250,97,Schönenberger,250,TG
98,Braun,249,98,Braun,249,98,Braun,249,TG
99,Hartmann,248,99,Hartmann,248,99,Hartmann,248,TG
99,Ziegler,248,99,Ziegler,248,99,Ziegler,248,TG
