Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Bernasconi,2228,1,Bernasconi,2228,1,Bernasconi,2228
2,Ferrari,1276,2,Ferrari,1276,2,Ferrari,1276
3,Bianchi,1252,3,Bianchi,1252,3,Bianchi,1252
4,Rossi,1231,4,Rossi,1231,4,Rossi,1231
5,Fontana,765,5,Fontana,765,5,Fontana,765
6,Crivelli,746,6,Crivelli,746,6,Crivelli,746
7,Galli,715,7,Galli,715,7,Galli,715
8,Cattaneo,628,8,Cattaneo,628,8,Cattaneo,628
9,Colombo,565,9,Colombo,565,9,Colombo,565
10,Rezzonico,534,10,Rezzonico,534,10,Rezzonico,534
11,Cereghetti,505,11,Cereghetti,505,11,Cereghetti,505
12,da Silva,453,12,da Silva,453,12,da Silva,453
13,Riva,448,13,Riva,448,13,Riva,448
14,Corti,446,14,Corti,446,14,Corti,446
15,Müller,437,15,Müller,437,15,Müller,437
16,Pereira,419,16,Pereira,419,16,Pereira,419
17,Cavadini,409,17,Cavadini,409,17,Cavadini,409
18,Pellegrini,398,18,Pellegrini,398,18,Pellegrini,398
19,Grassi,390,19,Grassi,390,19,Grassi,390
20,Martinelli,389,20,Martinelli,389,20,Martinelli,389
21,Beretta,383,21,Beretta,383,21,Beretta,383
22,Leoni,379,22,Leoni,379,22,Leoni,379
23,Canonica,376,23,Canonica,376,23,Canonica,376
24,Quadri,364,24,Quadri,364,24,Quadri,364
25,Camponovo,362,25,Camponovo,362,25,Camponovo,362
26,Campana,357,26,Campana,357,26,Campana,357
26,Lepori,357,26,Lepori,357,26,Lepori,357
28,Russo,355,28,Russo,355,28,Russo,355
29,Soldati,353,29,Soldati,353,29,Soldati,353
30,Bassi,348,30,Bassi,348,30,Bassi,348
31,Zanetti,344,31,Zanetti,344,31,Zanetti,344
32,Rusconi,341,32,Rusconi,341,32,Rusconi,341
33,Romano,335,33,Romano,335,33,Romano,335
34,Sala,334,34,Sala,334,34,Sala,334
35,Croci,333,35,Croci,333,35,Croci,333
36,Pozzi,328,36,Pozzi,328,36,Pozzi,328
37,Pagani,321,37,Pagani,321,37,Pagani,321
38,Conti,320,38,Conti,320,38,Conti,320
39,Balmelli,314,39,Balmelli,314,39,Balmelli,314
40,Ferreira,310,40,Ferreira,310,40,Ferreira,310
41,Rodrigues,307,41,Rodrigues,307,41,Rodrigues,307
42,Gianinazzi,306,42,Gianinazzi,306,42,Gianinazzi,306
43,Vassalli,297,43,Vassalli,297,43,Vassalli,297
44,Sartori,294,44,Sartori,294,44,Sartori,294
45,Keller,291,45,Keller,291,45,Keller,291
45,Poretti,291,45,Poretti,291,45,Poretti,291
47,dos Santos,289,47,dos Santos,289,47,dos Santos,289
48,Soldini,285,48,Soldini,285,48,Soldini,285
49,Guidotti,282,49,Guidotti,282,49,Guidotti,282
49,Togni,282,49,Togni,282,49,Togni,282
51,Frigerio,281,51,Frigerio,281,51,Frigerio,281
52,Solari,280,52,Solari,280,52,Solari,280
53,Regazzoni,279,53,Regazzoni,279,53,Regazzoni,279
54,Guerra,275,54,Guerra,275,54,Guerra,275
