Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,3436,1,da Silva,3436,1,da Silva,3436
2,Ferreira,2393,2,Ferreira,2393,2,Ferreira,2393
3,Pereira,2325,3,Pereira,2325,3,Pereira,2325
4,Rochat,2211,4,Rochat,2211,4,Rochat,2211
5,Favre,2149,5,Favre,2149,5,Favre,2149
6,dos Santos,2096,6,dos Santos,2096,6,dos Santos,2096
7,Martin,2077,7,Martin,2077,7,Martin,2077
8,Rodrigues,1857,8,Rodrigues,1857,8,Rodrigues,1857
9,Fernandes,1612,9,Fernandes,1612,9,Fernandes,1612
10,Gomes,1597,10,Gomes,1597,10,Gomes,1597
11,Müller,1392,11,Müller,1392,11,Müller,1392
12,Pittet,1348,12,Pittet,1348,12,Pittet,1348
13,Lopes,1346,13,Lopes,1346,13,Lopes,1346
14,Martins,1303,14,Martins,1303,14,Martins,1303
15,Gonçalves,1199,15,Gonçalves,1199,15,Gonçalves,1199
16,Ribeiro,1173,16,Ribeiro,1173,16,Ribeiro,1173
17,Oliveira,1140,17,Oliveira,1140,17,Oliveira,1140
18,Teixeira,1138,18,Teixeira,1138,18,Teixeira,1138
19,Pinto,1135,19,Pinto,1135,19,Pinto,1135
20,Silva,1131,20,Silva,1131,20,Silva,1131
21,Reymond,1130,21,Reymond,1130,21,Reymond,1130
22,da Costa,1128,22,da Costa,1128,22,da Costa,1128
23,Alves,1121,23,Alves,1121,23,Alves,1121
24,Garcia,1107,24,Garcia,1107,24,Garcia,1107
25,Meylan,1089,25,Meylan,1089,25,Meylan,1089
26,Chevalley,1080,26,Chevalley,1080,26,Chevalley,1080
27,Blanc,1046,27,Blanc,1046,27,Blanc,1046
28,Santos,1034,28,Santos,1034,28,Santos,1034
29,Marques,985,29,Marques,985,29,Marques,985
30,Gashi,982,30,Gashi,982,30,Gashi,982
31,Meyer,909,31,Meyer,909,31,Meyer,909
32,Krasniqi,901,32,Krasniqi,901,32,Krasniqi,901
33,Rodriguez,893,33,Rodriguez,893,33,Rodriguez,893
34,Mendes,877,34,Mendes,877,34,Mendes,877
35,Moreira,852,35,Moreira,852,35,Moreira,852
36,Pasche,825,36,Pasche,825,36,Pasche,825
37,Dias,820,37,Dias,820,37,Dias,820
38,Fernandez,816,38,Fernandez,816,38,Fernandez,816
39,Richard,811,39,Richard,811,39,Richard,811
40,de Oliveira,797,40,de Oliveira,797,40,de Oliveira,797
40,de Sousa,797,40,de Sousa,797,40,de Sousa,797
42,Rossier,792,42,Rossier,792,42,Rossier,792
43,Golay,790,43,Golay,790,43,Golay,790
44,Berisha,772,44,Berisha,772,44,Berisha,772
45,Correia,765,45,Correia,765,45,Correia,765
46,Monteiro,763,46,Monteiro,763,46,Monteiro,763
47,Weber,758,47,Weber,758,47,Weber,758
48,Costa,754,48,Costa,754,48,Costa,754
49,Guignard,743,49,Guignard,743,49,Guignard,743
50,Chappuis,739,50,Chappuis,739,50,Chappuis,739
50,Gerber,739,50,Gerber,739,50,Gerber,739
52,Perrin,736,52,Perrin,736,52,Perrin,736
53,Perret,708,53,Perret,708,53,Perret,708
54,Nguyen,703,54,Nguyen,703,54,Nguyen,703
55,Perez,698,55,Perez,698,55,Perez,698
56,Lopez,691,56,Lopez,691,56,Lopez,691
57,Schneider,688,57,Schneider,688,57,Schneider,688
58,Gonzalez,687,58,Gonzalez,687,58,Gonzalez,687
59,Berger,680,59,Berger,680,59,Berger,680
60,Rey,677,60,Rey,677,60,Rey,677
61,de Jesus,671,61,de Jesus,671,61,de Jesus,671
62,Soares,664,62,Soares,664,62,Soares,664
63,Clerc,663,63,Clerc,663,63,Clerc,663
64,Martinez,652,64,Martinez,652,64,Martinez,652
65,Carvalho,647,65,Carvalho,647,65,Carvalho,647
66,Schmid,643,66,Schmid,643,66,Schmid,643
67,Aubert,640,67,Aubert,640,67,Aubert,640
68,Jaccard,638,68,Jaccard,638,68,Jaccard,638
69,Michel,627,69,Michel,627,69,Michel,627
69,Vieira,627,69,Vieira,627,69,Vieira,627
71,Mayor,620,71,Mayor,620,71,Mayor,620
72,Besson,618,72,Besson,618,72,Besson,618
73,Almeida,605,73,Almeida,605,73,Almeida,605
74,Jaquier,597,74,Jaquier,597,74,Jaquier,597
75,Maillard,594,75,Maillard,594,75,Maillard,594
76,Dubois,590,76,Dubois,590,76,Dubois,590
77,Piguet,579,77,Piguet,579,77,Piguet,579
78,Gaillard,578,78,Gaillard,578,78,Gaillard,578
79,Monnier,573,79,Monnier,573,79,Monnier,573
80,Rapin,566,80,Rapin,566,80,Rapin,566
81,Morel,558,81,Morel,558,81,Morel,558
82,Cardoso,556,82,Cardoso,556,82,Cardoso,556
83,Dutoit,546,83,Dutoit,546,83,Dutoit,546
84,Sousa,541,84,Sousa,541,84,Sousa,541
85,Jordan,539,85,Jordan,539,85,Jordan,539
86,Monney,535,86,Monney,535,86,Monney,535
87,Moret,526,87,Moret,526,87,Moret,526
88,Gilliéron,521,88,Gilliéron,521,88,Gilliéron,521
89,Pahud,517,89,Pahud,517,89,Pahud,517
90,Grandjean,502,90,Grandjean,502,90,Grandjean,502
91,Henchoz,500,91,Henchoz,500,91,Henchoz,500
92,Steiner,491,92,Steiner,491,92,Steiner,491
93,Guex,490,93,Guex,490,93,Guex,490
94,Porchet,486,94,Porchet,486,94,Porchet,486
95,Gomez,482,95,Gomez,482,95,Gomez,482
95,Tavares,482,95,Tavares,482,95,Tavares,482
97,Pache,480,97,Pache,480,97,Pache,480
98,Chapuis,478,98,Chapuis,478,98,Chapuis,478
99,Chollet,477,99,Chollet,477,99,Chollet,477
100,Keller,471,100,Keller,471,100,Keller,471
