Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Fournier,1611,1,Fournier,1611,1,Fournier,1611
2,da Silva,1470,2,da Silva,1470,2,da Silva,1470
3,Ferreira,1316,3,Ferreira,1316,3,Ferreira,1316
4,Rey,1315,4,Rey,1315,4,Rey,1315
5,Favre,1299,5,Favre,1299,5,Favre,1299
6,Schmid,1212,6,Schmid,1212,6,Schmid,1212
7,Bonvin,1203,7,Bonvin,1203,7,Bonvin,1203
8,Pereira,1122,8,Pereira,1122,8,Pereira,1122
9,Imboden,1108,9,Imboden,1108,9,Imboden,1108
10,Zufferey,1086,10,Zufferey,1086,10,Zufferey,1086
11,Roduit,993,11,Roduit,993,11,Roduit,993
12,dos Santos,982,12,dos Santos,982,12,dos Santos,982
13,Rodrigues,882,13,Rodrigues,882,13,Rodrigues,882
14,Burgener,870,14,Burgener,870,14,Burgener,870
15,Monnet,842,15,Monnet,842,15,Monnet,842
16,Fux,835,16,Fux,835,16,Fux,835
17,Fellay,811,17,Fellay,811,17,Fellay,811
18,Maret,779,18,Maret,779,18,Maret,779
19,Martins,769,19,Martins,769,19,Martins,769
20,Carron,765,20,Carron,765,20,Carron,765
21,Bruchez,756,21,Bruchez,756,21,Bruchez,756
22,Imhof,734,22,Imhof,734,22,Imhof,734
23,Crettenand,733,23,Crettenand,733,23,Crettenand,733
24,Studer,710,24,Studer,710,24,Studer,710
25,Constantin,702,25,Constantin,702,25,Constantin,702
26,Pfammatter,700,26,Pfammatter,700,26,Pfammatter,700
27,Michellod,696,27,Michellod,696,27,Michellod,696
28,Darbellay,686,28,Darbellay,686,28,Darbellay,686
29,Schnyder,684,29,Schnyder,684,29,Schnyder,684
30,Furrer,683,30,Furrer,683,30,Furrer,683
31,Gillioz,681,31,Gillioz,681,31,Gillioz,681
32,Emery,679,32,Emery,679,32,Emery,679
33,Bregy,676,33,Bregy,676,33,Bregy,676
34,Vouillamoz,675,34,Vouillamoz,675,34,Vouillamoz,675
35,Andenmatten,673,35,Andenmatten,673,35,Andenmatten,673
36,Gomes,665,36,Gomes,665,36,Gomes,665
37,Dubuis,653,37,Dubuis,653,37,Dubuis,653
38,Lopes,646,38,Lopes,646,38,Lopes,646
39,Marques,643,39,Marques,643,39,Marques,643
40,Kalbermatten,640,40,Kalbermatten,640,40,Kalbermatten,640
41,Savioz,634,41,Savioz,634,41,Savioz,634
42,Fernandes,632,42,Fernandes,632,42,Fernandes,632
43,Métrailler,622,43,Métrailler,622,43,Métrailler,622
44,Salamin,621,44,Salamin,621,44,Salamin,621
45,Werlen,615,45,Werlen,615,45,Werlen,615
46,Aymon,612,46,Aymon,612,46,Aymon,612
47,Jordan,610,47,Jordan,610,47,Jordan,610
48,Zurbriggen,604,48,Zurbriggen,604,48,Zurbriggen,604
49,Kuonen,599,49,Kuonen,599,49,Kuonen,599
50,Dorsaz,578,50,Dorsaz,578,50,Dorsaz,578
51,Héritier,577,51,Héritier,577,51,Héritier,577
52,Dayer,576,52,Dayer,576,52,Dayer,576
53,Teixeira,566,53,Teixeira,566,53,Teixeira,566
54,Morard,563,54,Morard,563,54,Morard,563
55,Rossier,558,55,Rossier,558,55,Rossier,558
56,Pinto,557,56,Pinto,557,56,Pinto,557
57,Roh,555,57,Roh,555,57,Roh,555
58,Zimmermann,552,58,Zimmermann,552,58,Zimmermann,552
59,Ruppen,543,59,Ruppen,543,59,Ruppen,543
60,Crettaz,540,60,Crettaz,540,60,Crettaz,540
61,Gaillard,539,61,Gaillard,539,61,Gaillard,539
62,Bumann,536,62,Bumann,536,62,Bumann,536
62,Steiner,536,62,Steiner,536,62,Steiner,536
64,Germanier,534,64,Germanier,534,64,Germanier,534
65,Délèze,530,65,Délèze,530,65,Délèze,530
66,Müller,524,66,Müller,524,66,Müller,524
67,Gonçalves,523,67,Gonçalves,523,67,Gonçalves,523
68,Arnold,520,68,Arnold,520,68,Arnold,520
68,Zuber,520,68,Zuber,520,68,Zuber,520
70,Schmidt,515,70,Schmidt,515,70,Schmidt,515
71,Perren,500,71,Perren,500,71,Perren,500
72,Pitteloud,495,72,Pitteloud,495,72,Pitteloud,495
73,Oliveira,494,73,Oliveira,494,73,Oliveira,494
74,Praz,493,74,Praz,493,74,Praz,493
75,de Jesus,492,75,de Jesus,492,75,de Jesus,492
76,Duc,490,76,Duc,490,76,Duc,490
77,Gay,487,77,Gay,487,77,Gay,487
78,Alves,486,78,Alves,486,78,Alves,486
79,Pralong,484,79,Pralong,484,79,Pralong,484
80,Sierro,480,80,Sierro,480,80,Sierro,480
81,Ribeiro,479,81,Ribeiro,479,81,Ribeiro,479
82,Moulin,476,82,Moulin,476,82,Moulin,476
83,Perruchoud,475,83,Perruchoud,475,83,Perruchoud,475
84,Truffer,474,84,Truffer,474,84,Truffer,474
85,da Costa,471,85,da Costa,471,85,da Costa,471
86,Zenhäusern,470,86,Zenhäusern,470,86,Zenhäusern,470
87,Dias,469,87,Dias,469,87,Dias,469
88,Kalbermatter,465,88,Kalbermatter,465,88,Kalbermatter,465
89,Abgottspon,462,89,Abgottspon,462,89,Abgottspon,462
90,Anthamatten,458,90,Anthamatten,458,90,Anthamatten,458
91,Besse,454,91,Besse,454,91,Besse,454
92,Moret,452,92,Moret,452,92,Moret,452
93,Santos,450,93,Santos,450,93,Santos,450
94,Mathieu,448,94,Mathieu,448,94,Mathieu,448
94,Richard,448,94,Richard,448,94,Richard,448
96,Salzmann,444,96,Salzmann,444,96,Salzmann,444
97,Silva,440,97,Silva,440,97,Silva,440
98,Mariéthoz,435,98,Mariéthoz,435,98,Mariéthoz,435
99,Karlen,433,99,Karlen,433,99,Karlen,433
100,Pannatier,421,100,Pannatier,421,100,Pannatier,421
