Prénom,Total,Vorname,Anzahl,Nome,region
Mia,274,Mia,274,Mia,Région linguistique allemande
Emilia,269,Emilia,269,Emilia,Région linguistique allemande
Malea,243,Malea,243,Malea,Région linguistique allemande
Lina,235,Lina,235,Lina,Région linguistique allemande
Emma,231,Emma,231,Emma,Région linguistique allemande
Mila,211,Mila,211,Mila,Région linguistique allemande
Elena,209,Elena,209,Elena,Région linguistique allemande
Sofia,201,Sofia,201,Sofia,Région linguistique allemande
Alina,193,Alina,193,Alina,Région linguistique allemande
Lia,193,Lia,193,Lia,Région linguistique allemande
Lea,187,Lea,187,Lea,Région linguistique allemande
Leonie,187,Leonie,187,Leonie,Région linguistique allemande
Nora,178,Nora,178,Nora,Région linguistique allemande
Anna,176,Anna,176,Anna,Région linguistique allemande
Elin,171,Elin,171,Elin,Région linguistique allemande
Ella,170,Ella,170,Ella,Région linguistique allemande
Chiara,168,Chiara,168,Chiara,Région linguistique allemande
Elina,162,Elina,162,Elina,Région linguistique allemande
Lena,162,Lena,162,Lena,Région linguistique allemande
Sophia,162,Sophia,162,Sophia,Région linguistique allemande
Yara,161,Yara,161,Yara,Région linguistique allemande
Laura,156,Laura,156,Laura,Région linguistique allemande
Lara,153,Lara,153,Lara,Région linguistique allemande
Juna,141,Juna,141,Juna,Région linguistique allemande
Nina,141,Nina,141,Nina,Région linguistique allemande
Luana,140,Luana,140,Luana,Région linguistique allemande
Julia,137,Julia,137,Julia,Région linguistique allemande
Emily,134,Emily,134,Emily,Région linguistique allemande
Valentina,134,Valentina,134,Valentina,Région linguistique allemande
Olivia,133,Olivia,133,Olivia,Région linguistique allemande
Amelia,131,Amelia,131,Amelia,Région linguistique allemande
Aurora,131,Aurora,131,Aurora,Région linguistique allemande
Sara,131,Sara,131,Sara,Région linguistique allemande
Giulia,126,Giulia,126,Giulia,Région linguistique allemande
Ronja,125,Ronja,125,Ronja,Région linguistique allemande
Mara,124,Mara,124,Mara,Région linguistique allemande
Sophie,119,Sophie,119,Sophie,Région linguistique allemande
Jana,118,Jana,118,Jana,Région linguistique allemande
Livia,118,Livia,118,Livia,Région linguistique allemande
Luna,112,Luna,112,Luna,Région linguistique allemande
Malia,112,Malia,112,Malia,Région linguistique allemande
Luisa,111,Luisa,111,Luisa,Région linguistique allemande
Fiona,106,Fiona,106,Fiona,Région linguistique allemande
Hanna,103,Hanna,103,Hanna,Région linguistique allemande
Melina,102,Melina,102,Melina,Région linguistique allemande
Elisa,100,Elisa,100,Elisa,Région linguistique allemande
Yuna,99,Yuna,99,Yuna,Région linguistique allemande
Noemi,97,Noemi,97,Noemi,Région linguistique allemande
Alea,96,Alea,96,Alea,Région linguistique allemande
Mira,92,Mira,92,Mira,Région linguistique allemande
Ava,91,Ava,91,Ava,Région linguistique allemande
Amelie,90,Amelie,90,Amelie,Région linguistique allemande
Elea,90,Elea,90,Elea,Région linguistique allemande
Dua,85,Dua,85,Dua,Région linguistique allemande
Hana,85,Hana,85,Hana,Région linguistique allemande
Lou,85,Lou,85,Lou,Région linguistique allemande
Lynn,85,Lynn,85,Lynn,Région linguistique allemande
Maria,84,Maria,84,Maria,Région linguistique allemande
Leana,83,Leana,83,Leana,Région linguistique allemande
Amélie,80,Amélie,80,Amélie,Région linguistique allemande
Alice,75,Alice,75,Alice,Région linguistique allemande
Aurelia,74,Aurelia,74,Aurelia,Région linguistique allemande
Ayla,73,Ayla,73,Ayla,Région linguistique allemande
Jael,73,Jael,73,Jael,Région linguistique allemande
Leni,72,Leni,72,Leni,Région linguistique allemande
Liana,72,Liana,72,Liana,Région linguistique allemande
Zoe,72,Zoe,72,Zoe,Région linguistique allemande
Anouk,71,Anouk,71,Anouk,Région linguistique allemande
Lorena,69,Lorena,69,Lorena,Région linguistique allemande
Ellie,68,Ellie,68,Ellie,Région linguistique allemande
Milena,68,Milena,68,Milena,Région linguistique allemande
Paula,68,Paula,68,Paula,Région linguistique allemande
Amira,67,Amira,67,Amira,Région linguistique allemande
Ida,67,Ida,67,Ida,Région linguistique allemande
Alma,66,Alma,66,Alma,Région linguistique allemande
Aline,65,Aline,65,Aline,Région linguistique allemande
Arya,64,Arya,64,Arya,Région linguistique allemande
Alessia,63,Alessia,63,Alessia,Région linguistique allemande
Amina,63,Amina,63,Amina,Région linguistique allemande
Ariana,63,Ariana,63,Ariana,Région linguistique allemande
Diana,61,Diana,61,Diana,Région linguistique allemande
Zoé,60,Zoé,60,Zoé,Région linguistique allemande
Helena,59,Helena,59,Helena,Région linguistique allemande
Mayla,59,Mayla,59,Mayla,Région linguistique allemande
Noelia,59,Noelia,59,Noelia,Région linguistique allemande
Selina,59,Selina,59,Selina,Région linguistique allemande
Stella,59,Stella,59,Stella,Région linguistique allemande
Jara,58,Jara,58,Jara,Région linguistique allemande
Melissa,58,Melissa,58,Melissa,Région linguistique allemande
Mina,58,Mina,58,Mina,Région linguistique allemande
Maya,57,Maya,57,Maya,Région linguistique allemande
Victoria,57,Victoria,57,Victoria,Région linguistique allemande
Liv,56,Liv,56,Liv,Région linguistique allemande
Louisa,56,Louisa,56,Louisa,Région linguistique allemande
Sina,56,Sina,56,Sina,Région linguistique allemande
Amalia,55,Amalia,55,Amalia,Région linguistique allemande
Charlotte,55,Charlotte,55,Charlotte,Région linguistique allemande
Eva,55,Eva,55,Eva,Région linguistique allemande
Enya,54,Enya,54,Enya,Région linguistique allemande
Hannah,53,Hannah,53,Hannah,Région linguistique allemande
