Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Peter,51578,Peter,51578,Peter,51578,Région linguistique allemande
Daniel,50360,Daniel,50360,Daniel,50360,Région linguistique allemande
Thomas,45884,Thomas,45884,Thomas,45884,Région linguistique allemande
Hans,42389,Hans,42389,Hans,42389,Région linguistique allemande
Andreas,38334,Andreas,38334,Andreas,38334,Région linguistique allemande
Martin,37578,Martin,37578,Martin,37578,Région linguistique allemande
Michael,36290,Michael,36290,Michael,36290,Région linguistique allemande
Markus,35979,Markus,35979,Markus,35979,Région linguistique allemande
Christian,32318,Christian,32318,Christian,32318,Région linguistique allemande
Stefan,29569,Stefan,29569,Stefan,29569,Région linguistique allemande
Marco,25871,Marco,25871,Marco,25871,Région linguistique allemande
Urs,25236,Urs,25236,Urs,25236,Région linguistique allemande
Patrick,23093,Patrick,23093,Patrick,23093,Région linguistique allemande
Walter,22146,Walter,22146,Walter,22146,Région linguistique allemande
David,21806,David,21806,David,21806,Région linguistique allemande
Bruno,21477,Bruno,21477,Bruno,21477,Région linguistique allemande
Marcel,21135,Marcel,21135,Marcel,21135,Région linguistique allemande
René,20001,René,20001,René,20001,Région linguistique allemande
Simon,19926,Simon,19926,Simon,19926,Région linguistique allemande
Beat,19778,Beat,19778,Beat,19778,Région linguistique allemande
Roland,19283,Roland,19283,Roland,19283,Région linguistique allemande
Werner,17938,Werner,17938,Werner,17938,Région linguistique allemande
Rolf,16901,Rolf,16901,Rolf,16901,Région linguistique allemande
Christoph,16781,Christoph,16781,Christoph,16781,Région linguistique allemande
Kurt,16682,Kurt,16682,Kurt,16682,Région linguistique allemande
Roger,16531,Roger,16531,Roger,16531,Région linguistique allemande
Pascal,16360,Pascal,16360,Pascal,16360,Région linguistique allemande
Lukas,16351,Lukas,16351,Lukas,16351,Région linguistique allemande
Adrian,16201,Adrian,16201,Adrian,16201,Région linguistique allemande
Josef,15735,Josef,15735,Josef,15735,Région linguistique allemande
Heinz,15461,Heinz,15461,Heinz,15461,Région linguistique allemande
Marc,15367,Marc,15367,Marc,15367,Région linguistique allemande
Rudolf,15102,Rudolf,15102,Rudolf,15102,Région linguistique allemande
Paul,14681,Paul,14681,Paul,14681,Région linguistique allemande
Fabian,14478,Fabian,14478,Fabian,14478,Région linguistique allemande
Reto,14412,Reto,14412,Reto,14412,Région linguistique allemande
Manuel,14209,Manuel,14209,Manuel,14209,Région linguistique allemande
Luca,13899,Luca,13899,Luca,13899,Région linguistique allemande
Philipp,13823,Philipp,13823,Philipp,13823,Région linguistique allemande
Alexander,13680,Alexander,13680,Alexander,13680,Région linguistique allemande
Matthias,13525,Matthias,13525,Matthias,13525,Région linguistique allemande
