Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Alice,124,Alice,124,Alice,124,Région linguistique française
Emma,105,Emma,105,Emma,105,Région linguistique française
Eva,89,Eva,89,Eva,89,Région linguistique française
Olivia,85,Olivia,85,Olivia,85,Région linguistique française
Sofia,83,Sofia,83,Sofia,83,Région linguistique française
Zoé,77,Zoé,77,Zoé,77,Région linguistique française
Giulia,74,Giulia,74,Giulia,74,Région linguistique française
Luna,72,Luna,72,Luna,72,Région linguistique française
Mia,69,Mia,69,Mia,69,Région linguistique française
Léa,68,Léa,68,Léa,68,Région linguistique française
Nora,67,Nora,67,Nora,67,Région linguistique française
Louise,66,Louise,66,Louise,66,Région linguistique française
Charlotte,64,Charlotte,64,Charlotte,64,Région linguistique française
Clara,64,Clara,64,Clara,64,Région linguistique française
Victoria,61,Victoria,61,Victoria,61,Région linguistique française
Alba,58,Alba,58,Alba,58,Région linguistique française
Jade,58,Jade,58,Jade,58,Région linguistique française
Elena,57,Elena,57,Elena,57,Région linguistique française
Chloé,54,Chloé,54,Chloé,54,Région linguistique française
Lina,51,Lina,51,Lina,51,Région linguistique française
Julia,50,Julia,50,Julia,50,Région linguistique française
Alma,49,Alma,49,Alma,49,Région linguistique française
Mila,48,Mila,48,Mila,48,Région linguistique française
Nina,48,Nina,48,Nina,48,Région linguistique française
Camille,47,Camille,47,Camille,47,Région linguistique française
Alicia,46,Alicia,46,Alicia,46,Région linguistique française
Iris,46,Iris,46,Iris,46,Région linguistique française
Ella,45,Ella,45,Ella,45,Région linguistique française
Léna,45,Léna,45,Léna,45,Région linguistique française
Lena,42,Lena,42,Lena,42,Région linguistique française
Lucie,42,Lucie,42,Lucie,42,Région linguistique française
Lara,41,Lara,41,Lara,41,Région linguistique française
Lou,41,Lou,41,Lou,41,Région linguistique française
Margaux,41,Margaux,41,Margaux,41,Région linguistique française
Mathilde,41,Mathilde,41,Mathilde,41,Région linguistique française
Juliette,40,Juliette,40,Juliette,40,Région linguistique française
Léonie,40,Léonie,40,Léonie,40,Région linguistique française
Inaya,39,Inaya,39,Inaya,39,Région linguistique française
Alix,38,Alix,38,Alix,38,Région linguistique française
Elisa,37,Elisa,37,Elisa,37,Région linguistique française
Elise,37,Elise,37,Elise,37,Région linguistique française
Lyana,37,Lyana,37,Lyana,37,Région linguistique française
Liv,36,Liv,36,Liv,36,Région linguistique française
Valentina,35,Valentina,35,Valentina,35,Région linguistique française
Inès,34,Inès,34,Inès,34,Région linguistique française
Chiara,32,Chiara,32,Chiara,32,Région linguistique française
Livia,32,Livia,32,Livia,32,Région linguistique française
Lya,32,Lya,32,Lya,32,Région linguistique française
Agathe,31,Agathe,31,Agathe,31,Région linguistique française
Ayla,31,Ayla,31,Ayla,31,Région linguistique française
Elina,31,Elina,31,Elina,31,Région linguistique française
Emilie,31,Emilie,31,Emilie,31,Région linguistique française
Matilde,31,Matilde,31,Matilde,31,Région linguistique française
Maria,30,Maria,30,Maria,30,Région linguistique française
Sophie,30,Sophie,30,Sophie,30,Région linguistique française
Anna,29,Anna,29,Anna,29,Région linguistique française
Ava,29,Ava,29,Ava,29,Région linguistique française
Adèle,28,Adèle,28,Adèle,28,Région linguistique française
Eléonore,28,Eléonore,28,Eléonore,28,Région linguistique française
Ambre,27,Ambre,27,Ambre,27,Région linguistique française
Clémence,27,Clémence,27,Clémence,27,Région linguistique française
Alya,26,Alya,26,Alya,26,Région linguistique française
Alyssa,26,Alyssa,26,Alyssa,26,Région linguistique française
Diana,26,Diana,26,Diana,26,Région linguistique française
Lisa,26,Lisa,26,Lisa,26,Région linguistique française
Maya,26,Maya,26,Maya,26,Région linguistique française
Sara,26,Sara,26,Sara,26,Région linguistique française
Charlie,25,Charlie,25,Charlie,25,Région linguistique française
Lia,25,Lia,25,Lia,25,Région linguistique française
Naomi,25,Naomi,25,Naomi,25,Région linguistique française
Rose,25,Rose,25,Rose,25,Région linguistique française
Amelia,24,Amelia,24,Amelia,24,Région linguistique française
Amélie,24,Amélie,24,Amélie,24,Région linguistique française
Théa,24,Théa,24,Théa,24,Région linguistique française
Amélia,23,Amélia,23,Amélia,23,Région linguistique française
Eloïse,23,Eloïse,23,Eloïse,23,Région linguistique française
Laura,23,Laura,23,Laura,23,Région linguistique française
Luana,23,Luana,23,Luana,23,Région linguistique française
Anaïs,22,Anaïs,22,Anaïs,22,Région linguistique française
Aria,22,Aria,22,Aria,22,Région linguistique française
Eline,22,Eline,22,Eline,22,Région linguistique française
Lana,22,Lana,22,Lana,22,Région linguistique française
Lea,22,Lea,22,Lea,22,Région linguistique française
Lily,21,Lily,21,Lily,21,Région linguistique française
Naya,21,Naya,21,Naya,21,Région linguistique française
Romy,21,Romy,21,Romy,21,Région linguistique française
Roxane,21,Roxane,21,Roxane,21,Région linguistique française
Yara,21,Yara,21,Yara,21,Région linguistique française
Camila,20,Camila,20,Camila,20,Région linguistique française
Elya,20,Elya,20,Elya,20,Région linguistique française
Emilia,20,Emilia,20,Emilia,20,Région linguistique française
Stella,20,Stella,20,Stella,20,Région linguistique française
Arya,19,Arya,19,Arya,19,Région linguistique française
Ellie,19,Ellie,19,Ellie,19,Région linguistique française
Lola,19,Lola,19,Lola,19,Région linguistique française
Margot,19,Margot,19,Margot,19,Région linguistique française
Serena,19,Serena,19,Serena,19,Région linguistique française
Sienna,19,Sienna,19,Sienna,19,Région linguistique française
Sophia,19,Sophia,19,Sophia,19,Région linguistique française
Zélie,19,Zélie,19,Zélie,19,Région linguistique française
