Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Noah,166,Noah,166,Noah,166,Région linguistique française
Liam,135,Liam,135,Liam,135,Région linguistique française
Gabriel,131,Gabriel,131,Gabriel,131,Région linguistique française
Arthur,99,Arthur,99,Arthur,99,Région linguistique française
Louis,92,Louis,92,Louis,92,Région linguistique française
Léo,90,Léo,90,Léo,90,Région linguistique française
Lucas,84,Lucas,84,Lucas,84,Région linguistique française
Léon,82,Léon,82,Léon,82,Région linguistique française
Enzo,80,Enzo,80,Enzo,80,Région linguistique française
Elio,79,Elio,79,Elio,79,Région linguistique française
Adam,73,Adam,73,Adam,73,Région linguistique française
Matteo,73,Matteo,73,Matteo,73,Région linguistique française
Nathan,71,Nathan,71,Nathan,71,Région linguistique française
Jules,68,Jules,68,Jules,68,Région linguistique française
Théo,68,Théo,68,Théo,68,Région linguistique française
Isaac,67,Isaac,67,Isaac,67,Région linguistique française
Ethan,66,Ethan,66,Ethan,66,Région linguistique française
Nolan,63,Nolan,63,Nolan,63,Région linguistique française
Leo,62,Leo,62,Leo,62,Région linguistique française
Evan,60,Evan,60,Evan,60,Région linguistique française
Aaron,59,Aaron,59,Aaron,59,Région linguistique française
Eden,56,Eden,56,Eden,56,Région linguistique française
Elias,56,Elias,56,Elias,56,Région linguistique française
William,56,William,56,William,56,Région linguistique française
Hugo,55,Hugo,55,Hugo,55,Région linguistique française
Lenny,54,Lenny,54,Lenny,54,Région linguistique française
Thomas,54,Thomas,54,Thomas,54,Région linguistique française
Mathis,53,Mathis,53,Mathis,53,Région linguistique française
Luca,52,Luca,52,Luca,52,Région linguistique française
Maël,52,Maël,52,Maël,52,Région linguistique française
Samuel,51,Samuel,51,Samuel,51,Région linguistique française
Noé,49,Noé,49,Noé,49,Région linguistique française
Eliott,46,Eliott,46,Eliott,46,Région linguistique française
Maxime,44,Maxime,44,Maxime,44,Région linguistique française
Raphaël,42,Raphaël,42,Raphaël,42,Région linguistique française
Robin,41,Robin,41,Robin,41,Région linguistique française
Axel,40,Axel,40,Axel,40,Région linguistique française
Benjamin,40,Benjamin,40,Benjamin,40,Région linguistique française
Ayden,39,Ayden,39,Ayden,39,Région linguistique française
Diego,39,Diego,39,Diego,39,Région linguistique française
Emile,39,Emile,39,Emile,39,Région linguistique française
Loan,39,Loan,39,Loan,39,Région linguistique française
Mattia,39,Mattia,39,Mattia,39,Région linguistique française
Rafael,38,Rafael,38,Rafael,38,Région linguistique française
Milo,37,Milo,37,Milo,37,Région linguistique française
Rayan,37,Rayan,37,Rayan,37,Région linguistique française
Alexandre,36,Alexandre,36,Alexandre,36,Région linguistique française
Leandro,36,Leandro,36,Leandro,36,Région linguistique française
Leonardo,36,Leonardo,36,Leonardo,36,Région linguistique française
Mathias,36,Mathias,36,Mathias,36,Région linguistique française
Naël,36,Naël,36,Naël,36,Région linguistique française
Sacha,36,Sacha,36,Sacha,36,Région linguistique française
Lyam,35,Lyam,35,Lyam,35,Région linguistique française
Antoine,34,Antoine,34,Antoine,34,Région linguistique française
Gaspard,34,Gaspard,34,Gaspard,34,Région linguistique française
Logan,34,Logan,34,Logan,34,Région linguistique française
Lorenzo,34,Lorenzo,34,Lorenzo,34,Région linguistique française
Martin,34,Martin,34,Martin,34,Région linguistique française
Timéo,34,Timéo,34,Timéo,34,Région linguistique française
Mateo,32,Mateo,32,Mateo,32,Région linguistique française
Alexis,31,Alexis,31,Alexis,31,Région linguistique française
Simon,31,Simon,31,Simon,31,Région linguistique française
David,30,David,30,David,30,Région linguistique française
Alessio,29,Alessio,29,Alessio,29,Région linguistique française
Clément,29,Clément,29,Clément,29,Région linguistique française
Daniel,29,Daniel,29,Daniel,29,Région linguistique française
Marius,29,Marius,29,Marius,29,Région linguistique française
Oscar,29,Oscar,29,Oscar,29,Région linguistique française
Soan,29,Soan,29,Soan,29,Région linguistique française
Charles,28,Charles,28,Charles,28,Région linguistique française
Santiago,28,Santiago,28,Santiago,28,Région linguistique française
Ilan,27,Ilan,27,Ilan,27,Région linguistique française
Noam,27,Noam,27,Noam,27,Région linguistique française
Victor,27,Victor,27,Victor,27,Région linguistique française
Adrian,25,Adrian,25,Adrian,25,Région linguistique française
Basile,25,Basile,25,Basile,25,Région linguistique française
Paul,25,Paul,25,Paul,25,Région linguistique française
Romeo,25,Romeo,25,Romeo,25,Région linguistique française
Adrien,24,Adrien,24,Adrien,24,Région linguistique française
James,24,James,24,James,24,Région linguistique française
Ryan,24,Ryan,24,Ryan,24,Région linguistique française
Leon,23,Leon,23,Leon,23,Région linguistique française
Léonard,23,Léonard,23,Léonard,23,Région linguistique française
Matias,23,Matias,23,Matias,23,Région linguistique française
Aron,22,Aron,22,Aron,22,Région linguistique française
Mathéo,22,Mathéo,22,Mathéo,22,Région linguistique française
Maxence,22,Maxence,22,Maxence,22,Région linguistique française
Oliver,22,Oliver,22,Oliver,22,Région linguistique française
Owen,22,Owen,22,Owen,22,Région linguistique française
Tom,22,Tom,22,Tom,22,Région linguistique française
Valentin,22,Valentin,22,Valentin,22,Région linguistique française
Charly,21,Charly,21,Charly,21,Région linguistique française
Noa,21,Noa,21,Noa,21,Région linguistique française
Roméo,21,Roméo,21,Roméo,21,Région linguistique française
Achille,20,Achille,20,Achille,20,Région linguistique française
Ezra,20,Ezra,20,Ezra,20,Région linguistique française
Jayden,20,Jayden,20,Jayden,20,Région linguistique française
Nael,20,Nael,20,Nael,20,Région linguistique française
Alessandro,19,Alessandro,19,Alessandro,19,Région linguistique française
Bryan,19,Bryan,19,Bryan,19,Région linguistique française
