Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Jean,13240,Jean,13240,Jean,13240,Région linguistique française
Daniel,11540,Daniel,11540,Daniel,11540,Région linguistique française
David,11288,David,11288,David,11288,Région linguistique française
Nicolas,10569,Nicolas,10569,Nicolas,10569,Région linguistique française
Pierre,10483,Pierre,10483,Pierre,10483,Région linguistique française
Michel,10221,Michel,10221,Michel,10221,Région linguistique française
Philippe,10098,Philippe,10098,Philippe,10098,Région linguistique française
José,9084,José,9084,José,9084,Région linguistique française
Alexandre,8688,Alexandre,8688,Alexandre,8688,Région linguistique française
Christian,7977,Christian,7977,Christian,7977,Région linguistique française
Olivier,7776,Olivier,7776,Olivier,7776,Région linguistique française
Patrick,7287,Patrick,7287,Patrick,7287,Région linguistique française
Christophe,6693,Christophe,6693,Christophe,6693,Région linguistique française
André,6622,André,6622,André,6622,Région linguistique française
Alain,6609,Alain,6609,Alain,6609,Région linguistique française
Julien,6534,Julien,6534,Julien,6534,Région linguistique française
Stéphane,6496,Stéphane,6496,Stéphane,6496,Région linguistique française
Laurent,6190,Laurent,6190,Laurent,6190,Région linguistique française
Thomas,5977,Thomas,5977,Thomas,5977,Région linguistique française
Marc,5964,Marc,5964,Marc,5964,Région linguistique française
Claude,5945,Claude,5945,Claude,5945,Région linguistique française
Pascal,5890,Pascal,5890,Pascal,5890,Région linguistique française
Sébastien,5879,Sébastien,5879,Sébastien,5879,Région linguistique française
François,5767,François,5767,François,5767,Région linguistique française
Eric,5736,Eric,5736,Eric,5736,Région linguistique française
Frédéric,5548,Frédéric,5548,Frédéric,5548,Région linguistique française
Antonio,5367,Antonio,5367,Antonio,5367,Région linguistique française
Vincent,5301,Vincent,5301,Vincent,5301,Région linguistique française
Bernard,5289,Bernard,5289,Bernard,5289,Région linguistique française
Jacques,4912,Jacques,4912,Jacques,4912,Région linguistique française
Samuel,4888,Samuel,4888,Samuel,4888,Région linguistique française
Gabriel,4793,Gabriel,4793,Gabriel,4793,Région linguistique française
Thierry,4490,Thierry,4490,Thierry,4490,Région linguistique française
Manuel,4348,Manuel,4348,Manuel,4348,Région linguistique française
Cédric,4334,Cédric,4334,Cédric,4334,Région linguistique française
Raphaël,4264,Raphaël,4264,Raphaël,4264,Région linguistique française
Carlos,4251,Carlos,4251,Carlos,4251,Région linguistique française
Maxime,4230,Maxime,4230,Maxime,4230,Région linguistique française
Bruno,3930,Bruno,3930,Bruno,3930,Région linguistique française
Luca,3859,Luca,3859,Luca,3859,Région linguistique française
Romain,3780,Romain,3780,Romain,3780,Région linguistique française
Yves,3776,Yves,3776,Yves,3776,Région linguistique française
Antoine,3771,Antoine,3771,Antoine,3771,Région linguistique française
Louis,3729,Louis,3729,Louis,3729,Région linguistique française
Paul,3653,Paul,3653,Paul,3653,Région linguistique française
Jean-Pierre,3556,Jean-Pierre,3556,Jean-Pierre,3556,Région linguistique française
Lucas,3517,Lucas,3517,Lucas,3517,Région linguistique française
Marco,3517,Marco,3517,Marco,3517,Région linguistique française
Jonathan,3509,Jonathan,3509,Jonathan,3509,Région linguistique française
Benjamin,3452,Benjamin,3452,Benjamin,3452,Région linguistique française
Guillaume,3451,Guillaume,3451,Guillaume,3451,Région linguistique française
Jérôme,3344,Jérôme,3344,Jérôme,3344,Région linguistique française
Simon,3337,Simon,3337,Simon,3337,Région linguistique française
Kevin,3309,Kevin,3309,Kevin,3309,Région linguistique française
Loïc,3298,Loïc,3298,Loïc,3298,Région linguistique française
Mathieu,3170,Mathieu,3170,Mathieu,3170,Région linguistique française
Michael,3157,Michael,3157,Michael,3157,Région linguistique française
Hugo,3127,Hugo,3127,Hugo,3127,Région linguistique française
Dominique,3091,Dominique,3091,Dominique,3091,Région linguistique française
Nathan,3084,Nathan,3084,Nathan,3084,Région linguistique française
Florian,3073,Florian,3073,Florian,3073,Région linguistique française
René,3067,René,3067,René,3067,Région linguistique française
Charles,3066,Charles,3066,Charles,3066,Région linguistique française
Roland,3056,Roland,3056,Roland,3056,Région linguistique française
Didier,2957,Didier,2957,Didier,2957,Région linguistique française
Adrien,2948,Adrien,2948,Adrien,2948,Région linguistique française
Damien,2882,Damien,2882,Damien,2882,Région linguistique française
Yann,2816,Yann,2816,Yann,2816,Région linguistique française
Arthur,2794,Arthur,2794,Arthur,2794,Région linguistique française
Pedro,2792,Pedro,2792,Pedro,2792,Région linguistique française
Serge,2762,Serge,2762,Serge,2762,Région linguistique française
Denis,2751,Denis,2751,Denis,2751,Région linguistique française
Anthony,2708,Anthony,2708,Anthony,2708,Région linguistique française
Arnaud,2697,Arnaud,2697,Arnaud,2697,Région linguistique française
Robert,2691,Robert,2691,Robert,2691,Région linguistique française
Paulo,2688,Paulo,2688,Paulo,2688,Région linguistique française
Georges,2662,Georges,2662,Georges,2662,Région linguistique française
Noah,2608,Noah,2608,Noah,2608,Région linguistique française
Gérard,2602,Gérard,2602,Gérard,2602,Région linguistique française
Marcel,2553,Marcel,2553,Marcel,2553,Région linguistique française
Roger,2535,Roger,2535,Roger,2535,Région linguistique française
Valentin,2533,Valentin,2533,Valentin,2533,Région linguistique française
Jean-Claude,2528,Jean-Claude,2528,Jean-Claude,2528,Région linguistique française
Martin,2523,Martin,2523,Martin,2523,Région linguistique française
Luis,2498,Luis,2498,Luis,2498,Région linguistique française
Giuseppe,2490,Giuseppe,2490,Giuseppe,2490,Région linguistique française
Théo,2467,Théo,2467,Théo,2467,Région linguistique française
Quentin,2466,Quentin,2466,Quentin,2466,Région linguistique française
Mohamed,2463,Mohamed,2463,Mohamed,2463,Région linguistique française
Léo,2446,Léo,2446,Léo,2446,Région linguistique française
João,2392,João,2392,João,2392,Région linguistique française
Matteo,2392,Matteo,2392,Matteo,2392,Région linguistique française
Xavier,2333,Xavier,2333,Xavier,2333,Région linguistique française
Dylan,2326,Dylan,2326,Dylan,2326,Région linguistique française
Joël,2322,Joël,2322,Joël,2322,Région linguistique française
Fernando,2299,Fernando,2299,Fernando,2299,Région linguistique française
Jean-Marc,2289,Jean-Marc,2289,Jean-Marc,2289,Région linguistique française
Jorge,2287,Jorge,2287,Jorge,2287,Région linguistique française
Fabrice,2282,Fabrice,2282,Fabrice,2282,Région linguistique française
Fabien,2267,Fabien,2267,Fabien,2267,Région linguistique française
