Prénom,Total,Vorname,Anzahl,Nome,region
Alice,124,Alice,124,Alice,Région linguistique française
Emma,105,Emma,105,Emma,Région linguistique française
Eva,89,Eva,89,Eva,Région linguistique française
Olivia,85,Olivia,85,Olivia,Région linguistique française
Sofia,83,Sofia,83,Sofia,Région linguistique française
Zoé,77,Zoé,77,Zoé,Région linguistique française
Giulia,74,Giulia,74,Giulia,Région linguistique française
Luna,72,Luna,72,Luna,Région linguistique française
Mia,69,Mia,69,Mia,Région linguistique française
Léa,68,Léa,68,Léa,Région linguistique française
Nora,67,Nora,67,Nora,Région linguistique française
Louise,66,Louise,66,Louise,Région linguistique française
Charlotte,64,Charlotte,64,Charlotte,Région linguistique française
Clara,64,Clara,64,Clara,Région linguistique française
Victoria,61,Victoria,61,Victoria,Région linguistique française
Alba,58,Alba,58,Alba,Région linguistique française
Jade,58,Jade,58,Jade,Région linguistique française
Elena,57,Elena,57,Elena,Région linguistique française
Chloé,54,Chloé,54,Chloé,Région linguistique française
Lina,51,Lina,51,Lina,Région linguistique française
Julia,50,Julia,50,Julia,Région linguistique française
Alma,49,Alma,49,Alma,Région linguistique française
Mila,48,Mila,48,Mila,Région linguistique française
Nina,48,Nina,48,Nina,Région linguistique française
Camille,47,Camille,47,Camille,Région linguistique française
Alicia,46,Alicia,46,Alicia,Région linguistique française
Iris,46,Iris,46,Iris,Région linguistique française
Ella,45,Ella,45,Ella,Région linguistique française
Léna,45,Léna,45,Léna,Région linguistique française
Lena,42,Lena,42,Lena,Région linguistique française
Lucie,42,Lucie,42,Lucie,Région linguistique française
Lara,41,Lara,41,Lara,Région linguistique française
Lou,41,Lou,41,Lou,Région linguistique française
Margaux,41,Margaux,41,Margaux,Région linguistique française
Mathilde,41,Mathilde,41,Mathilde,Région linguistique française
Juliette,40,Juliette,40,Juliette,Région linguistique française
Léonie,40,Léonie,40,Léonie,Région linguistique française
Inaya,39,Inaya,39,Inaya,Région linguistique française
Alix,38,Alix,38,Alix,Région linguistique française
Elisa,37,Elisa,37,Elisa,Région linguistique française
Elise,37,Elise,37,Elise,Région linguistique française
Lyana,37,Lyana,37,Lyana,Région linguistique française
Liv,36,Liv,36,Liv,Région linguistique française
Valentina,35,Valentina,35,Valentina,Région linguistique française
Inès,34,Inès,34,Inès,Région linguistique française
Chiara,32,Chiara,32,Chiara,Région linguistique française
Livia,32,Livia,32,Livia,Région linguistique française
Lya,32,Lya,32,Lya,Région linguistique française
Agathe,31,Agathe,31,Agathe,Région linguistique française
Ayla,31,Ayla,31,Ayla,Région linguistique française
Elina,31,Elina,31,Elina,Région linguistique française
Emilie,31,Emilie,31,Emilie,Région linguistique française
Matilde,31,Matilde,31,Matilde,Région linguistique française
Maria,30,Maria,30,Maria,Région linguistique française
Sophie,30,Sophie,30,Sophie,Région linguistique française
Anna,29,Anna,29,Anna,Région linguistique française
Ava,29,Ava,29,Ava,Région linguistique française
Adèle,28,Adèle,28,Adèle,Région linguistique française
Eléonore,28,Eléonore,28,Eléonore,Région linguistique française
Ambre,27,Ambre,27,Ambre,Région linguistique française
Clémence,27,Clémence,27,Clémence,Région linguistique française
Alya,26,Alya,26,Alya,Région linguistique française
Alyssa,26,Alyssa,26,Alyssa,Région linguistique française
Diana,26,Diana,26,Diana,Région linguistique française
Lisa,26,Lisa,26,Lisa,Région linguistique française
Maya,26,Maya,26,Maya,Région linguistique française
Sara,26,Sara,26,Sara,Région linguistique française
Charlie,25,Charlie,25,Charlie,Région linguistique française
Lia,25,Lia,25,Lia,Région linguistique française
Naomi,25,Naomi,25,Naomi,Région linguistique française
Rose,25,Rose,25,Rose,Région linguistique française
Amelia,24,Amelia,24,Amelia,Région linguistique française
Amélie,24,Amélie,24,Amélie,Région linguistique française
Théa,24,Théa,24,Théa,Région linguistique française
Amélia,23,Amélia,23,Amélia,Région linguistique française
Eloïse,23,Eloïse,23,Eloïse,Région linguistique française
Laura,23,Laura,23,Laura,Région linguistique française
Luana,23,Luana,23,Luana,Région linguistique française
Anaïs,22,Anaïs,22,Anaïs,Région linguistique française
Aria,22,Aria,22,Aria,Région linguistique française
Eline,22,Eline,22,Eline,Région linguistique française
Lana,22,Lana,22,Lana,Région linguistique française
Lea,22,Lea,22,Lea,Région linguistique française
Lily,21,Lily,21,Lily,Région linguistique française
Naya,21,Naya,21,Naya,Région linguistique française
Romy,21,Romy,21,Romy,Région linguistique française
Roxane,21,Roxane,21,Roxane,Région linguistique française
Yara,21,Yara,21,Yara,Région linguistique française
Camila,20,Camila,20,Camila,Région linguistique française
Elya,20,Elya,20,Elya,Région linguistique française
Emilia,20,Emilia,20,Emilia,Région linguistique française
Stella,20,Stella,20,Stella,Région linguistique française
Arya,19,Arya,19,Arya,Région linguistique française
Ellie,19,Ellie,19,Ellie,Région linguistique française
Lola,19,Lola,19,Lola,Région linguistique française
Margot,19,Margot,19,Margot,Région linguistique française
Serena,19,Serena,19,Serena,Région linguistique française
Sienna,19,Sienna,19,Sienna,Région linguistique française
Sophia,19,Sophia,19,Sophia,Région linguistique française
Zélie,19,Zélie,19,Zélie,Région linguistique française
