Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Leonardo,40,Leonardo,40,Leonardo,40,Région linguistique italienne
Liam,26,Liam,26,Liam,26,Région linguistique italienne
Alessandro,20,Alessandro,20,Alessandro,20,Région linguistique italienne
Noah,20,Noah,20,Noah,20,Région linguistique italienne
Enea,18,Enea,18,Enea,18,Région linguistique italienne
Federico,16,Federico,16,Federico,16,Région linguistique italienne
Lorenzo,16,Lorenzo,16,Lorenzo,16,Région linguistique italienne
Matteo,16,Matteo,16,Matteo,16,Région linguistique italienne
Nathan,16,Nathan,16,Nathan,16,Région linguistique italienne
Gabriel,15,Gabriel,15,Gabriel,15,Région linguistique italienne
Mattia,15,Mattia,15,Mattia,15,Région linguistique italienne
Edoardo,14,Edoardo,14,Edoardo,14,Région linguistique italienne
Zeno,14,Zeno,14,Zeno,14,Région linguistique italienne
Francesco,11,Francesco,11,Francesco,11,Région linguistique italienne
Gioele,11,Gioele,11,Gioele,11,Région linguistique italienne
Oliver,11,Oliver,11,Oliver,11,Région linguistique italienne
Ethan,10,Ethan,10,Ethan,10,Région linguistique italienne
Riccardo,10,Riccardo,10,Riccardo,10,Région linguistique italienne
Ryan,10,Ryan,10,Ryan,10,Région linguistique italienne
Daniel,9,Daniel,9,Daniel,9,Région linguistique italienne
Elia,9,Elia,9,Elia,9,Région linguistique italienne
Martino,9,Martino,9,Martino,9,Région linguistique italienne
Samuel,9,Samuel,9,Samuel,9,Région linguistique italienne
Tommaso,9,Tommaso,9,Tommaso,9,Région linguistique italienne
Alexander,8,Alexander,8,Alexander,8,Région linguistique italienne
Andrea,8,Andrea,8,Andrea,8,Région linguistique italienne
Aron,8,Aron,8,Aron,8,Région linguistique italienne
Davide,8,Davide,8,Davide,8,Région linguistique italienne
Diego,8,Diego,8,Diego,8,Région linguistique italienne
Filippo,8,Filippo,8,Filippo,8,Région linguistique italienne
Jacopo,8,Jacopo,8,Jacopo,8,Région linguistique italienne
Leo,8,Leo,8,Leo,8,Région linguistique italienne
Logan,8,Logan,8,Logan,8,Région linguistique italienne
Luca,8,Luca,8,Luca,8,Région linguistique italienne
Samuele,8,Samuele,8,Samuele,8,Région linguistique italienne
Christian,7,Christian,7,Christian,7,Région linguistique italienne
Dylan,7,Dylan,7,Dylan,7,Région linguistique italienne
Evan,7,Evan,7,Evan,7,Région linguistique italienne
Giacomo,7,Giacomo,7,Giacomo,7,Région linguistique italienne
Jason,7,Jason,7,Jason,7,Région linguistique italienne
Kevin,7,Kevin,7,Kevin,7,Région linguistique italienne
Noè,7,Noè,7,Noè,7,Région linguistique italienne
Antonio,6,Antonio,6,Antonio,6,Région linguistique italienne
Brando,6,Brando,6,Brando,6,Région linguistique italienne
Jordan,6,Jordan,6,Jordan,6,Région linguistique italienne
Leon,6,Leon,6,Leon,6,Région linguistique italienne
Manuel,6,Manuel,6,Manuel,6,Région linguistique italienne
Marco,6,Marco,6,Marco,6,Région linguistique italienne
Michele,6,Michele,6,Michele,6,Région linguistique italienne
Nico,6,Nico,6,Nico,6,Région linguistique italienne
Timo,6,Timo,6,Timo,6,Région linguistique italienne
Ares,5,Ares,5,Ares,5,Région linguistique italienne
Christopher,5,Christopher,5,Christopher,5,Région linguistique italienne
Dario,5,Dario,5,Dario,5,Région linguistique italienne
Gabriele,5,Gabriele,5,Gabriele,5,Région linguistique italienne
Giovanni,5,Giovanni,5,Giovanni,5,Région linguistique italienne
Giulio,5,Giulio,5,Giulio,5,Région linguistique italienne
Lio,5,Lio,5,Lio,5,Région linguistique italienne
Massimo,5,Massimo,5,Massimo,5,Région linguistique italienne
Michael,5,Michael,5,Michael,5,Région linguistique italienne
Nicolò,5,Nicolò,5,Nicolò,5,Région linguistique italienne
Pietro,5,Pietro,5,Pietro,5,Région linguistique italienne
Rayan,5,Rayan,5,Rayan,5,Région linguistique italienne
Theo,5,Theo,5,Theo,5,Région linguistique italienne
Thomas,5,Thomas,5,Thomas,5,Région linguistique italienne
Tobia,5,Tobia,5,Tobia,5,Région linguistique italienne
William,5,William,5,William,5,Région linguistique italienne
Aaron,4,Aaron,4,Aaron,4,Région linguistique italienne
Aleksej,4,Aleksej,4,Aleksej,4,Région linguistique italienne
Alessio,4,Alessio,4,Alessio,4,Région linguistique italienne
Alex,4,Alex,4,Alex,4,Région linguistique italienne
Aris,4,Aris,4,Aris,4,Région linguistique italienne
Damiano,4,Damiano,4,Damiano,4,Région linguistique italienne
Etienne,4,Etienne,4,Etienne,4,Région linguistique italienne
Gregorio,4,Gregorio,4,Gregorio,4,Région linguistique italienne
Ian,4,Ian,4,Ian,4,Région linguistique italienne
Jonas,4,Jonas,4,Jonas,4,Région linguistique italienne
Leandro,4,Leandro,4,Leandro,4,Région linguistique italienne
Luka,4,Luka,4,Luka,4,Région linguistique italienne
Mathias,4,Mathias,4,Mathias,4,Région linguistique italienne
Milo,4,Milo,4,Milo,4,Région linguistique italienne
Nicolas,4,Nicolas,4,Nicolas,4,Région linguistique italienne
Nicoló,4,Nicoló,4,Nicoló,4,Région linguistique italienne
Raffaele,4,Raffaele,4,Raffaele,4,Région linguistique italienne
Romeo,4,Romeo,4,Romeo,4,Région linguistique italienne
Ruben,4,Ruben,4,Ruben,4,Région linguistique italienne
Sebastian,4,Sebastian,4,Sebastian,4,Région linguistique italienne
Stefano,4,Stefano,4,Stefano,4,Région linguistique italienne
Vincenzo,4,Vincenzo,4,Vincenzo,4,Région linguistique italienne
Adam,3,Adam,3,Adam,3,Région linguistique italienne
Andri,3,Andri,3,Andri,3,Région linguistique italienne
Benjamin,3,Benjamin,3,Benjamin,3,Région linguistique italienne
Bryan,3,Bryan,3,Bryan,3,Région linguistique italienne
Cristian,3,Cristian,3,Cristian,3,Région linguistique italienne
Daniele,3,Daniele,3,Daniele,3,Région linguistique italienne
Edo,3,Edo,3,Edo,3,Région linguistique italienne
Elio,3,Elio,3,Elio,3,Région linguistique italienne
Emanuele,3,Emanuele,3,Emanuele,3,Région linguistique italienne
Eric,3,Eric,3,Eric,3,Région linguistique italienne
Giona,3,Giona,3,Giona,3,Région linguistique italienne
