Prénom,Total,Vorname,Anzahl,Nome,region
Sofia,30,Sofia,30,Sofia,Région linguistique italienne
Aurora,23,Aurora,23,Aurora,Région linguistique italienne
Emily,21,Emily,21,Emily,Région linguistique italienne
Ginevra,20,Ginevra,20,Ginevra,Région linguistique italienne
Nina,17,Nina,17,Nina,Région linguistique italienne
Amélie,16,Amélie,16,Amélie,Région linguistique italienne
Emma,16,Emma,16,Emma,Région linguistique italienne
Alice,15,Alice,15,Alice,Région linguistique italienne
Matilde,15,Matilde,15,Matilde,Région linguistique italienne
Mia,15,Mia,15,Mia,Région linguistique italienne
Sophie,15,Sophie,15,Sophie,Région linguistique italienne
Ambra,14,Ambra,14,Ambra,Région linguistique italienne
Beatrice,14,Beatrice,14,Beatrice,Région linguistique italienne
Noemi,14,Noemi,14,Noemi,Région linguistique italienne
Vittoria,14,Vittoria,14,Vittoria,Région linguistique italienne
Camilla,13,Camilla,13,Camilla,Région linguistique italienne
Gaia,13,Gaia,13,Gaia,Région linguistique italienne
Giulia,13,Giulia,13,Giulia,Région linguistique italienne
Diana,12,Diana,12,Diana,Région linguistique italienne
Martina,12,Martina,12,Martina,Région linguistique italienne
Amelia,11,Amelia,11,Amelia,Région linguistique italienne
Anna,10,Anna,10,Anna,Région linguistique italienne
Elodie,10,Elodie,10,Elodie,Région linguistique italienne
Giada,10,Giada,10,Giada,Région linguistique italienne
Melissa,10,Melissa,10,Melissa,Région linguistique italienne
Nora,10,Nora,10,Nora,Région linguistique italienne
Zoe,10,Zoe,10,Zoe,Région linguistique italienne
Agata,9,Agata,9,Agata,Région linguistique italienne
Arianna,9,Arianna,9,Arianna,Région linguistique italienne
Chloe,9,Chloe,9,Chloe,Région linguistique italienne
Lara,9,Lara,9,Lara,Région linguistique italienne
Luna,9,Luna,9,Luna,Région linguistique italienne
Nicole,9,Nicole,9,Nicole,Région linguistique italienne
Sara,9,Sara,9,Sara,Région linguistique italienne
Sole,9,Sole,9,Sole,Région linguistique italienne
Lea,8,Lea,8,Lea,Région linguistique italienne
Maria,8,Maria,8,Maria,Région linguistique italienne
Olivia,8,Olivia,8,Olivia,Région linguistique italienne
Bianca,7,Bianca,7,Bianca,Région linguistique italienne
Elisa,7,Elisa,7,Elisa,Région linguistique italienne
Isabella,7,Isabella,7,Isabella,Région linguistique italienne
Lia,7,Lia,7,Lia,Région linguistique italienne
Rebecca,7,Rebecca,7,Rebecca,Région linguistique italienne
Allegra,6,Allegra,6,Allegra,Région linguistique italienne
Alma,6,Alma,6,Alma,Région linguistique italienne
Amelie,6,Amelie,6,Amelie,Région linguistique italienne
Chiara,6,Chiara,6,Chiara,Région linguistique italienne
Cloe,6,Cloe,6,Cloe,Région linguistique italienne
Isabel,6,Isabel,6,Isabel,Région linguistique italienne
Valentina,6,Valentina,6,Valentina,Région linguistique italienne
Adele,5,Adele,5,Adele,Région linguistique italienne
Elena,5,Elena,5,Elena,Région linguistique italienne
Ella,5,Ella,5,Ella,Région linguistique italienne
Gioia,5,Gioia,5,Gioia,Région linguistique italienne
Giorgia,5,Giorgia,5,Giorgia,Région linguistique italienne
Jasmine,5,Jasmine,5,Jasmine,Région linguistique italienne
Letizia,5,Letizia,5,Letizia,Région linguistique italienne
Linda,5,Linda,5,Linda,Région linguistique italienne
Luce,5,Luce,5,Luce,Région linguistique italienne
Soleil,5,Soleil,5,Soleil,Région linguistique italienne
Victoria,5,Victoria,5,Victoria,Région linguistique italienne
Viola,5,Viola,5,Viola,Région linguistique italienne
Alba,4,Alba,4,Alba,Région linguistique italienne
Alissa,4,Alissa,4,Alissa,Région linguistique italienne
Ariel,4,Ariel,4,Ariel,Région linguistique italienne
Asia,4,Asia,4,Asia,Région linguistique italienne
Carlotta,4,Carlotta,4,Carlotta,Région linguistique italienne
Cecilia,4,Cecilia,4,Cecilia,Région linguistique italienne
Celeste,4,Celeste,4,Celeste,Région linguistique italienne
Céline,4,Céline,4,Céline,Région linguistique italienne
Eleonora,4,Eleonora,4,Eleonora,Région linguistique italienne
Erin,4,Erin,4,Erin,Région linguistique italienne
